t,Mean,Lower,Upper,variable,CRPS,simulation,TrueValue,posterior
1,5.005000000000075,0.25,9.75,R,NaN,Random walk,1.05075579797784,Filtering
2,1.137195317545134,0.95,1.3499999999999999,R,NaN,Random walk,1.15900937123493,Filtering
3,1.1623083515457986,0.9800000000000001,1.3599999999999999,R,NaN,Random walk,1.27904687521183,Filtering
4,1.1076944814947773,0.9300000000000002,1.29,R,NaN,Random walk,1.25432592311175,Filtering
5,1.0929601044174415,0.92,1.27,R,NaN,Random walk,1.21901276609247,Filtering
6,1.1157037541031147,0.95,1.3,R,NaN,Random walk,1.31982461556305,Filtering
7,1.1407172523788598,0.97,1.33,R,NaN,Random walk,1.33426741549276,Filtering
8,1.1908921683444398,1.02,1.38,R,NaN,Random walk,1.33722605619131,Filtering
9,1.2492492980970218,1.08,1.44,R,NaN,Random walk,1.38122648595819,Filtering
10,1.3045318632289238,1.1300000000000001,1.5,R,NaN,Random walk,1.46980665176169,Filtering
11,1.1173165782919483,0.95,1.28,R,NaN,Random walk,1.25954778340346,Filtering
12,1.3490510665634599,1.17,1.5499999999999998,R,NaN,Random walk,1.3479105093351,Filtering
13,1.230052726693805,1.08,1.39,R,NaN,Random walk,1.35394452271656,Filtering
14,1.3943970747696324,1.23,1.5899999999999999,R,NaN,Random walk,1.43794293409087,Filtering
15,1.2264853225306966,1.07,1.37,R,NaN,Random walk,1.32395180390399,Filtering
16,1.2105860019317378,1.07,1.34,R,NaN,Random walk,1.29365707384879,Filtering
17,1.2036031829524554,1.08,1.32,R,NaN,Random walk,1.19042944124553,Filtering
18,1.1846217619072583,1.06,1.29,R,NaN,Random walk,1.02019672710724,Filtering
19,1.1109021294386188,0.97,1.23,R,NaN,Random walk,1.13748865883978,Filtering
20,1.1657867734019587,1.06,1.27,R,NaN,Random walk,1.2926471263587,Filtering
21,1.201062742964086,1.1,1.32,R,NaN,Random walk,1.24790806219295,Filtering
22,1.1593246284189742,1.05,1.25,R,NaN,Random walk,1.26992577182373,Filtering
23,1.23741750303741,1.1400000000000001,1.37,R,NaN,Random walk,1.37300234856143,Filtering
24,1.2824196004971378,1.18,1.4200000000000002,R,NaN,Random walk,1.26157750118038,Filtering
25,1.3047514397193165,1.2,1.43,R,NaN,Random walk,1.24239833405177,Filtering
26,1.253567078198785,1.1600000000000001,1.3599999999999999,R,NaN,Random walk,1.15133041435367,Filtering
27,0.9093420220526192,0.79,1.0399999999999998,R,NaN,Random walk,0.937442694472502,Filtering
28,0.8882582714196452,0.7799999999999999,1.0,R,NaN,Random walk,0.80466476571653,Filtering
29,0.8469250603830851,0.75,0.95,R,NaN,Random walk,0.83997253619983,Filtering
30,0.7564748994400592,0.66,0.8599999999999999,R,NaN,Random walk,0.770540542072998,Filtering
31,0.8954419659418346,0.79,1.01,R,NaN,Random walk,0.876339512072316,Filtering
32,0.9693999918679579,0.8599999999999999,1.09,R,NaN,Random walk,0.935836791908507,Filtering
33,0.9263816584726912,0.8200000000000001,1.0399999999999998,R,NaN,Random walk,0.946752658260147,Filtering
34,0.8619376731314643,0.76,0.97,R,NaN,Random walk,0.938354461845845,Filtering
35,0.8586376942413694,0.76,0.97,R,NaN,Random walk,0.922556578053314,Filtering
36,0.9678620095913448,0.8599999999999999,1.08,R,NaN,Random walk,0.972493464862293,Filtering
37,0.8987506128315761,0.79,1.01,R,NaN,Random walk,0.875822968174508,Filtering
38,0.8779575511525626,0.77,0.99,R,NaN,Random walk,0.848120494406299,Filtering
39,0.6871236998835044,0.5800000000000001,0.7999999999999999,R,NaN,Random walk,0.649925608997018,Filtering
40,0.6898012480798084,0.59,0.79,R,NaN,Random walk,0.658019222189197,Filtering
41,0.6877971650548692,0.59,0.79,R,NaN,Random walk,0.736653639942764,Filtering
42,0.532592243869345,0.44,0.63,R,NaN,Random walk,0.534615273272704,Filtering
43,0.477908767628476,0.39,0.5700000000000001,R,NaN,Random walk,0.528510247902397,Filtering
44,0.529069301476178,0.44,0.63,R,NaN,Random walk,0.508145468302673,Filtering
45,0.4859028652570341,0.39,0.5800000000000001,R,NaN,Random walk,0.44697277599999,Filtering
46,0.5982221946274295,0.5,0.71,R,NaN,Random walk,0.514484786149741,Filtering
47,0.534212525341212,0.43,0.64,R,NaN,Random walk,0.687666652758221,Filtering
48,0.6300839453853606,0.52,0.75,R,NaN,Random walk,0.68915182037088,Filtering
49,0.5552352707093255,0.44,0.67,R,NaN,Random walk,0.724661142715747,Filtering
50,0.653324838468673,0.54,0.7799999999999999,R,NaN,Random walk,0.840263024138111,Filtering
51,0.9588482777739714,0.7999999999999999,1.1300000000000001,R,NaN,Random walk,0.976407115736378,Filtering
52,0.8196740607129361,0.67,0.9800000000000001,R,NaN,Random walk,0.809572465850976,Filtering
53,0.7473842158109945,0.6,0.9,R,NaN,Random walk,0.735767795852321,Filtering
54,0.859900121311057,0.71,1.02,R,NaN,Random walk,0.682530545189007,Filtering
55,0.6866046750856358,0.54,0.8400000000000001,R,NaN,Random walk,0.645923232664183,Filtering
56,0.6546800463394726,0.52,0.7999999999999999,R,NaN,Random walk,0.653307826746064,Filtering
57,0.7276344735858251,0.59,0.8799999999999999,R,NaN,Random walk,0.654546787631544,Filtering
58,0.8353930759438908,0.6799999999999999,1.01,R,NaN,Random walk,0.740303004888021,Filtering
59,0.7413015568666208,0.59,0.9099999999999999,R,NaN,Random walk,0.629911413056697,Filtering
