"t","Mean","Lower","Upper","variable","CRPS","simulation","TrueValue"
1,113.082048779656,92.2460785087489,136.824678161617,"R",NA,"Random walk",1.05075579797784
2,20.3211230389026,17.6024168292978,23.3540945103366,"R",NA,"Random walk",1.15900937123493
3,7.49981019534859,6.33671099605346,8.77826454705908,"R",NA,"Random walk",1.27904687521183
4,4.2789440995839,3.62676045963094,4.95410694458464,"R",NA,"Random walk",1.25432592311175
5,2.95942141437311,2.53709251697198,3.41913541345071,"R",NA,"Random walk",1.21901276609247
6,2.31900139003464,1.99304453594753,2.62890474217888,"R",NA,"Random walk",1.31982461556305
7,1.98446688139089,1.73747578936814,2.25823506821149,"R",NA,"Random walk",1.33426741549276
8,1.78829257576479,1.58084274290477,2.03396416522887,"R",NA,"Random walk",1.33722605619131
9,1.65051463144753,1.46637618723658,1.87052101285143,"R",NA,"Random walk",1.38122648595819
10,1.54811474832341,1.3668877900598,1.75701906852123,"R",NA,"Random walk",1.46980665176169
11,1.48270473811641,1.29728045472661,1.6777028450043,"R",NA,"Random walk",1.25954778340346
12,1.45850522264726,1.2939724130928,1.62950658667648,"R",NA,"Random walk",1.3479105093351
13,1.43395145218596,1.28177905185973,1.59862892031359,"R",NA,"Random walk",1.35394452271656
14,1.39285487238388,1.24385494167138,1.55970812038984,"R",NA,"Random walk",1.43794293409087
15,1.32690086663936,1.18101690259396,1.47989660131472,"R",NA,"Random walk",1.32395180390399
16,1.2528535330704,1.10688368672644,1.40712962930066,"R",NA,"Random walk",1.29365707384879
17,1.19847749395079,1.06151962313474,1.34579471034702,"R",NA,"Random walk",1.19042944124553
18,1.16177008227146,1.0360959704772,1.30420720660226,"R",NA,"Random walk",1.02019672710724
19,1.14468538550977,1.0274364251367,1.28697428614866,"R",NA,"Random walk",1.13748865883978
20,1.16328624195712,1.03998408491391,1.29376952156673,"R",NA,"Random walk",1.2926471263587
21,1.20188993232939,1.07447185554811,1.34282531306059,"R",NA,"Random walk",1.24790806219295
22,1.24542593167145,1.10937797334214,1.38523772869434,"R",NA,"Random walk",1.26992577182373
23,1.30126552082788,1.16560556786617,1.45235445821157,"R",NA,"Random walk",1.37300234856143
24,1.3218702418641,1.18437001390521,1.45354706044634,"R",NA,"Random walk",1.26157750118038
25,1.25913995395134,1.12489652285583,1.39680645160832,"R",NA,"Random walk",1.24239833405177
26,1.12344284149892,1.01264120913022,1.24753592746648,"R",NA,"Random walk",1.15133041435367
27,0.973522063535666,0.876555812981401,1.08865164168311,"R",NA,"Random walk",0.937442694472502
28,0.871995149898004,0.775712477221144,0.975317973638011,"R",NA,"Random walk",0.80466476571653
29,0.827502213624191,0.73447776409807,0.925741348076282,"R",NA,"Random walk",0.83997253619983
30,0.832883603664417,0.745748930952602,0.936683602485872,"R",NA,"Random walk",0.770540542072998
31,0.874879750048645,0.77875776292945,0.97518749988027,"R",NA,"Random walk",0.876339512072316
32,0.909842548051439,0.811107058085065,1.0166546105438,"R",NA,"Random walk",0.935836791908507
33,0.913059901057653,0.810835846592882,1.02229517010077,"R",NA,"Random walk",0.946752658260147
34,0.903725115416134,0.804777579222037,1.0166833952823,"R",NA,"Random walk",0.938354461845845
35,0.908599427204007,0.810360700115569,1.02279679516426,"R",NA,"Random walk",0.922556578053314
36,0.918337598978659,0.820817435575335,1.03152361386895,"R",NA,"Random walk",0.972493464862293
37,0.886373753976826,0.793647047775963,0.994415056000554,"R",NA,"Random walk",0.875822968174508
38,0.813575485009518,0.719020679865138,0.907982216868166,"R",NA,"Random walk",0.848120494406299
39,0.731864762637482,0.651221219990025,0.820167146607083,"R",NA,"Random walk",0.649925608997018
40,0.661874297022357,0.590956391857046,0.738994856352598,"R",NA,"Random walk",0.658019222189197
41,0.600014657292602,0.526906038571149,0.680144057820566,"R",NA,"Random walk",0.736653639942764
42,0.545336342170349,0.474969253638909,0.61770766744369,"R",NA,"Random walk",0.534615273272704
43,0.512163720331445,0.446116329846096,0.58126948489611,"R",NA,"Random walk",0.528510247902397
44,0.503970705967038,0.435130021684997,0.576561635236402,"R",NA,"Random walk",0.508145468302673
45,0.520396216390403,0.449335260183538,0.598159700517262,"R",NA,"Random walk",0.44697277599999
46,0.546370052368727,0.468896290282347,0.630800760517245,"R",NA,"Random walk",0.514484786149741
47,0.573113768622353,0.490879827644612,0.663984247241732,"R",NA,"Random walk",0.687666652758221
48,0.611305098663497,0.525814008306918,0.705114575466341,"R",NA,"Random walk",0.68915182037088
49,0.671855352291854,0.579305956554117,0.768357961419368,"R",NA,"Random walk",0.724661142715747
50,0.758317858389071,0.656230942868893,0.867410859447108,"R",NA,"Random walk",0.840263024138111
51,0.825806420991662,0.715492299630861,0.954427380688866,"R",NA,"Random walk",0.976407115736378
52,0.831853082327575,0.723631592089834,0.95936075817524,"R",NA,"Random walk",0.809572465850976
53,0.802646207287704,0.687042457001485,0.925491798312203,"R",NA,"Random walk",0.735767795852321
54,0.770147401341892,0.657444084616854,0.897999810578792,"R",NA,"Random walk",0.682530545189007
55,0.741807630767532,0.629580340477561,0.865506920264288,"R",NA,"Random walk",0.645923232664183
56,0.73049720239435,0.623288495981236,0.856946080608901,"R",NA,"Random walk",0.653307826746064
57,0.732247587870571,0.629962845662325,0.842877240388225,"R",NA,"Random walk",0.654546787631544
58,0.718114683300544,0.618608149793906,0.824772674497877,"R",NA,"Random walk",0.740303004888021
59,0.684556157770478,0.571614397180261,0.795964338371387,"R",NA,"Random walk",0.629911413056697
60,0.645507979105986,0.533804243365712,0.759907840049397,"R",NA,"Random walk",0.66478464188997
61,0.616615395319824,0.5086915753981,0.726659635034842,"R",NA,"Random walk",0.599627547992097
62,0.614129911896633,0.512897709621889,0.723345170685777,"R",NA,"Random walk",0.623908199446909
63,0.65530973188834,0.555514862911732,0.775491171156497,"R",NA,"Random walk",0.6598634125902
64,0.744952829153377,0.62955279121709,0.883095521664657,"R",NA,"Random walk",0.717115543950159
65,0.851838482645404,0.712357876722783,1.00258412773462,"R",NA,"Random walk",0.925592364770454
66,0.928983582971919,0.780172665659429,1.10484986055908,"R",NA,"Random walk",0.987107738116638
67,0.957112278008769,0.810223905543609,1.13009209254159,"R",NA,"Random walk",1.02435827657331
68,0.956445127512651,0.795922145141543,1.13693371225653,"R",NA,"Random walk",0.873799137534769
69,0.961996544879948,0.793990400442314,1.13892775107736,"R",NA,"Random walk",0.909444023549459
70,0.987256805438272,0.817704403850868,1.16255548195381,"R",NA,"Random walk",0.976222168201091
71,1.01157971784027,0.851555646469272,1.18230956290635,"R",NA,"Random walk",0.996468476611257
72,1.01729034884441,0.854540633549959,1.18798722591999,"R",NA,"Random walk",1.09900209489661
73,1.00610859616123,0.851853053488534,1.1833945240744,"R",NA,"Random walk",0.943010942561359
74,0.990138907723552,0.837946889139669,1.17098893132765,"R",NA,"Random walk",0.976883460044748
75,0.969292575354301,0.804599522130439,1.15308423437025,"R",NA,"Random walk",0.961959830272741
76,0.944550588232146,0.787064962619945,1.11683914734868,"R",NA,"Random walk",1.0091507222337
77,0.932415616860368,0.77141543656102,1.08953920971566,"R",NA,"Random walk",0.935757419047802
78,0.947041063951494,0.788886129469285,1.11153997401674,"R",NA,"Random walk",0.913152537129962
79,0.996649040966947,0.831660941396845,1.17081542839969,"R",NA,"Random walk",1.04529031057593
80,1.07561347619123,0.902616456404628,1.27319487532192,"R",NA,"Random walk",1.01211333437453
81,1.1712633369491,0.99232532431964,1.38962261692899,"R",NA,"Random walk",1.19935431101699
82,1.24073674419262,1.06363874675965,1.46146857916636,"R",NA,"Random walk",1.38549521020649
83,1.24887653208962,1.06715866994973,1.46291462638628,"R",NA,"Random walk",1.09715233869553
84,1.23718063861196,1.05685130535524,1.43556085402159,"R",NA,"Random walk",1.0743656787913
85,1.2304873866608,1.06297044880703,1.41793521075761,"R",NA,"Random walk",1.02816103456437
86,1.22732151972777,1.05351926950616,1.41691594492132,"R",NA,"Random walk",1.16846520553051
87,1.22770861096837,1.0511401910049,1.41918493286964,"R",NA,"Random walk",1.11991873158349
88,1.23352177199516,1.04973165317381,1.42472854662645,"R",NA,"Random walk",1.23624808384336
89,1.25061574810836,1.05474225300741,1.43497468487182,"R",NA,"Random walk",1.20476686479896
90,1.2687288168928,1.09748622783447,1.45798718571152,"R",NA,"Random walk",1.32892576555317
91,1.26619887065282,1.10247907054225,1.46065238654956,"R",NA,"Random walk",1.16025228126673
92,1.24420107383999,1.07112620277028,1.45049290251449,"R",NA,"Random walk",1.16722749201144
93,1.19382916513042,1.02314747153249,1.37620702802543,"R",NA,"Random walk",1.10382527773161
94,1.13390022374697,0.967181485399286,1.29813000359869,"R",NA,"Random walk",1.06947027708051
95,1.08459378201475,0.927593994021517,1.25803877934991,"R",NA,"Random walk",1.23422323504758
96,1.04968681219957,0.910909410126695,1.20960948230479,"R",NA,"Random walk",1.13784316826739
97,1.03447469331803,0.903086945577926,1.18494499577114,"R",NA,"Random walk",1.038436717091
98,1.0614919038085,0.91479817109749,1.22002088313633,"R",NA,"Random walk",1.14171462316315
99,1.1355484150145,0.963959338447377,1.31803172985631,"R",NA,"Random walk",1.07461161679909
100,1.23839444328792,0.983357318353938,1.52181413628458,"R",NA,"Random walk",1.08570007889435
1,113.236758499499,82,149,"I",4.30503844,"Random walk",109
2,119.99363432074,91,152,"I",4.02364008000001,"Random walk",123
3,126.263454838666,96,159,"I",4.63728555999999,"Random walk",132
4,130.910163661532,100,165,"I",3.80781996,"Random walk",130
5,134.85579108124,103,169,"I",4.11299052,"Random walk",132
6,139.456611746145,107,175,"I",3.94524696,"Random walk",138
7,146.149223184843,113,183,"I",4.23097452000001,"Random walk",144
8,154.358893635254,120,192,"I",4.288589,"Random walk",154
9,161.915186838705,126,202,"I",4.78349767999997,"Random walk",166
10,169.365967413588,133,212.025,"I",6.72806396000001,"Random walk",179
11,177.569706617202,138.975,220.025,"I",14.17298808,"Random walk",154
12,188.296762753851,148,235,"I",9.13113472,"Random walk",203
13,198.289696898779,155,246,"I",8.65797704000002,"Random walk",184
14,205.087773642666,160,252,"I",14.23051368,"Random walk",228
15,207.266959891301,164,254,"I",8.01612256,"Random walk",194
16,207.356668947465,164,257,"I",5.15947372000001,"Random walk",204
17,207.905692451633,164,258,"I",5.52463564000002,"Random walk",211
18,208.93861852156,167,258,"I",5.43988136,"Random walk",212
