"t","Mean","Lower","Upper","variable","CRPS","simulation","TrueValue"
1,113.787939610392,98.848461138687,130.985298624046,"R",NA,"Random walk",1.05075579797784
2,20.0512356762955,18.5830566934081,21.6354100823985,"R",NA,"Random walk",1.15900937123493
3,7.37795726449877,6.6983855501171,8.1264736091249,"R",NA,"Random walk",1.27904687521183
4,4.23534408768656,3.83118511614335,4.68213855433821,"R",NA,"Random walk",1.25432592311175
5,2.9691344299101,2.69760042442999,3.26800039881383,"R",NA,"Random walk",1.21901276609247
6,2.33866263895957,2.13867519443485,2.55735090260427,"R",NA,"Random walk",1.31982461556305
7,1.98808905144391,1.82864051334329,2.16144072475176,"R",NA,"Random walk",1.33426741549276
8,1.77927917510513,1.64378084110031,1.92594675871977,"R",NA,"Random walk",1.33722605619131
9,1.64651499130242,1.52601403296666,1.776531249397,"R",NA,"Random walk",1.38122648595819
10,1.55571511800991,1.44536094906133,1.67449489345646,"R",NA,"Random walk",1.46980665176169
11,1.49155809359356,1.38883603018356,1.60187775821918,"R",NA,"Random walk",1.25954778340346
12,1.44525975538767,1.34883390742125,1.5485789236546,"R",NA,"Random walk",1.3479105093351
13,1.40376371447864,1.31261556806115,1.50124119661139,"R",NA,"Random walk",1.35394452271656
14,1.35758370438502,1.27091299626983,1.45016497574667,"R",NA,"Random walk",1.43794293409087
15,1.30486079188381,1.22204961529703,1.39328359903113,"R",NA,"Random walk",1.32395180390399
16,1.25386528651555,1.17450857480746,1.33858380470867,"R",NA,"Random walk",1.29365707384879
17,1.21307545469103,1.1365913615817,1.29470635490843,"R",NA,"Random walk",1.19042944124553
18,1.18747006030455,1.11302455107041,1.26689491508843,"R",NA,"Random walk",1.02019672710724
19,1.18126500549569,1.10809885057263,1.25926221517839,"R",NA,"Random walk",1.13748865883978
20,1.19459470234119,1.12215137043238,1.27171479754266,"R",NA,"Random walk",1.2926471263587
21,1.21997733080271,1.1478865545288,1.29659562767808,"R",NA,"Random walk",1.24790806219295
22,1.24704120348933,1.17548117558982,1.32295760705808,"R",NA,"Random walk",1.26992577182373
23,1.26219809255341,1.19194652261801,1.33659018640053,"R",NA,"Random walk",1.37300234856143
24,1.24651016705888,1.17837738461444,1.31858232928457,"R",NA,"Random walk",1.26157750118038
25,1.18846694969219,1.12298585905274,1.25776623020177,"R",NA,"Random walk",1.24239833405177
26,1.09723064603461,1.03459273011329,1.16366088370416,"R",NA,"Random walk",1.15133041435367
27,1.00024402484622,0.940394971476754,1.06390201945619,"R",NA,"Random walk",0.937442694472502
28,0.923972224297197,0.866513497518227,0.985241053622193,"R",NA,"Random walk",0.80466476571653
29,0.879214897524617,0.82324138055103,0.938994144720723,"R",NA,"Random walk",0.83997253619983
30,0.865502135801477,0.81001667670542,0.924788302042999,"R",NA,"Random walk",0.770540542072998
31,0.874814667501278,0.819034607973781,0.934393608065791,"R",NA,"Random walk",0.876339512072316
32,0.892088193146381,0.835388011722256,0.95263677857968,"R",NA,"Random walk",0.935836791908507
33,0.905042369219529,0.847206700288144,0.966826265424852,"R",NA,"Random walk",0.946752658260147
34,0.910706458608639,0.852170522479818,0.973263251746814,"R",NA,"Random walk",0.938354461845845
35,0.908343324354599,0.84989795517858,0.970807836249232,"R",NA,"Random walk",0.922556578053314
36,0.89150809307371,0.833762255916496,0.953253369741796,"R",NA,"Random walk",0.972493464862293
37,0.852899194106186,0.796149942855334,0.913693509413668,"R",NA,"Random walk",0.875822968174508
38,0.794590566976779,0.739133936509847,0.854208064251245,"R",NA,"Random walk",0.848120494406299
