eta,p,simulation,model
0.001,2.694893213070044e-144,Random walk,EpiFilter
0.002,3.5111434800166254e-144,Random walk,EpiFilter
0.003,9.957341899584241e-131,Random walk,EpiFilter
0.004,1.9652496801118847e-110,Random walk,EpiFilter
0.005,4.158127161301316e-95,Random walk,EpiFilter
0.006,1.2854498655415825e-83,Random walk,EpiFilter
0.007,3.108668776680301e-74,Random walk,EpiFilter
0.008,2.4112686408160307e-66,Random walk,EpiFilter
0.009,1.1172552184420556e-59,Random walk,EpiFilter
0.01,4.93890608684572e-54,Random walk,EpiFilter
0.011,3.1374026518846655e-49,Random walk,EpiFilter
0.012,4.060350272403155e-45,Random walk,EpiFilter
0.013,1.4285100730087325e-41,Random walk,EpiFilter
0.014,1.726595252685413e-38,Random walk,EpiFilter
0.015,8.654725286136735e-36,Random walk,EpiFilter
0.016,2.0923275990453384e-33,Random walk,EpiFilter
0.017,2.7535785058157956e-31,Random walk,EpiFilter
0.018000000000000002,2.1743500996386438e-29,Random walk,EpiFilter
0.019,1.114413440797467e-27,Random walk,EpiFilter
0.02,3.9511356573562393e-26,Random walk,EpiFilter
0.021,1.0207609906954826e-24,Random walk,EpiFilter
0.022000000000000002,2.0052331679996117e-23,Random walk,EpiFilter
0.023,3.1025838254878146e-22,Random walk,EpiFilter
0.024,3.893059457249228e-21,Random walk,EpiFilter
0.025,4.059542910637721e-20,Random walk,EpiFilter
0.026000000000000002,3.590952341399849e-19,Random walk,EpiFilter
0.027,2.741892058122022e-18,Random walk,EpiFilter
0.028,1.8341963509589515e-17,Random walk,EpiFilter
0.028999999999999998,1.088747613731016e-16,Random walk,EpiFilter
0.030000000000000002,5.797893609993748e-16,Random walk,EpiFilter
0.031,2.7965572753710083e-15,Random walk,EpiFilter
0.032,1.2320074153682492e-14,Random walk,EpiFilter
0.033,4.993737509287394e-14,Random walk,EpiFilter
0.033999999999999996,1.8744636919229737e-13,Random walk,EpiFilter
0.035,6.553434690068509e-13,Random walk,EpiFilter
0.036000000000000004,2.145037222853281e-12,Random walk,EpiFilter
0.037,6.60355115859985e-12,Random walk,EpiFilter
0.038,1.9200002094395215e-11,Random walk,EpiFilter
0.039,5.292217891522406e-11,Random walk,EpiFilter
0.04,1.387612344049163e-10,Random walk,EpiFilter
0.041,3.4716987725358856e-10,Random walk,EpiFilter
0.041999999999999996,8.311753978104e-10,Random walk,EpiFilter
0.043000000000000003,1.9091965573093477e-9,Random walk,EpiFilter
0.044000000000000004,4.217500434088412e-9,Random walk,EpiFilter
0.045,8.979741531252133e-9,Random walk,EpiFilter
0.046,1.8465511728413842e-8,Random walk,EpiFilter
0.047,3.674231705600045e-8,Random walk,EpiFilter
0.048,7.086616731412037e-8,Random walk,EpiFilter
0.049,1.327041018046644e-7,Random walk,EpiFilter
0.049999999999999996,2.416349228443598e-7,Random walk,EpiFilter
0.051000000000000004,4.2842763779520426e-7,Random walk,EpiFilter
0.052000000000000005,7.406439970979228e-7,Random walk,EpiFilter
0.053,1.2499435375634698e-6,Random walk,EpiFilter
0.054,2.0616768399367376e-6,Random walk,EpiFilter
0.055,3.3271250412948907e-6,Random walk,EpiFilter
0.056,5.258671636930503e-6,Random walk,EpiFilter
0.057,8.148069231553759e-6,Random walk,EpiFilter
0.057999999999999996,1.2387785935642478e-5,Random walk,EpiFilter
0.059000000000000004,1.849518541424228e-5,Random walk,EpiFilter
0.06,2.7139018992547093e-5,Random walk,EpiFilter
0.061,3.91674017311741e-5,Random walk,EpiFilter
0.062,5.563612681368709e-5,Random walk,EpiFilter
0.063,7.78358683721111e-5,Random walk,EpiFilter
0.06399999999999999,0.0001073165592494047,Random walk,EpiFilter
0.065,0.00014590703488537567,Random walk,EpiFilter
0.066,0.0001957279331364388,Random walk,EpiFilter
0.06699999999999999,0.00025919585334977137,Random walk,EpiFilter
0.068,0.0003390169203632779,Random walk,EpiFilter
0.069,0.00043816817552761004,Random walk,EpiFilter
0.06999999999999999,0.000559865622778663,Random walk,EpiFilter
