t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,simulation,model,fit
1,1.0507557979778397,109,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1866.1916905928972,Random walk,EpiEstim,Marginalised
2,1.1590093712349343,123,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1852.7426110455237,Random walk,EpiEstim,Marginalised
3,1.2790468752118291,132,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1844.1317345043988,Random walk,EpiEstim,Marginalised
4,1.2543259231117483,130,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1846.042898159187,Random walk,EpiEstim,Marginalised
5,1.2190127660924688,132,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1844.1317345043988,Random walk,EpiEstim,Marginalised
6,1.3198246155630526,138,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1838.406350278761,Random walk,EpiEstim,Marginalised
7,1.3342674154927558,144,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1832.6931261612133,Random walk,EpiEstim,Marginalised
8,1.3372260561913143,154,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1823.1981084277224,Random walk,EpiEstim,Marginalised
9,1.381226485958193,166,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1811.8486742105295,Random walk,EpiEstim,Marginalised
10,1.4698066517616892,179,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1799.6083431853647,Random walk,EpiEstim,Marginalised
11,1.259547783403464,154,1.2063737147570204,1.11,1.3,13.371458372676464,2.0,29.0,177.37245762860238,145.0,207.0,13.153025533586884,Random walk,EpiEstim,Marginalised
12,1.3479105093350954,203,1.2490642966086367,1.1600000000000001,1.32,16.690973836545897,3.0,30.0,180.03840965799765,150.0,209.0,15.747032394242295,Random walk,EpiEstim,Marginalised
13,1.3539445227165612,184,1.2432667941652626,1.1600000000000001,1.31,16.70854842351585,4.0,30.0,189.8100384125279,161.0,220.0,4.362717937303054,Random walk,EpiEstim,Marginalised
14,1.4379429340908696,228,1.277046406259505,1.21,1.37,17.027499165655936,3.0,30.0,197.6348665602292,168.0,229.0,22.063258830860565,Random walk,EpiEstim,Marginalised
15,1.3239518039039873,194,1.2582615553352188,1.19,1.32,17.848670203932716,3.0,30.0,210.10564124770653,180.0,242.0,9.576121170379222,Random walk,EpiEstim,Marginalised
16,1.293657073848795,204,1.2471750685401228,1.18,1.31,18.066774059666646,4.0,30.0,216.0951435944332,185.0,248.0,7.115312752897964,Random walk,EpiEstim,Marginalised
17,1.1904294412455347,211,1.235985255152659,1.17,1.3,17.82802597515815,4.0,30.0,221.1594597562058,190.0,254.0,6.1831376710073025,Random walk,EpiEstim,Marginalised
18,1.0201967271072447,212,1.2237701270033663,1.1600000000000001,1.28,17.113536545105994,3.0,30.0,226.1132476839059,194.0,259.0,8.319929861235924,Random walk,EpiEstim,Marginalised
19,1.1374886588397761,197,1.189950448608631,1.09,1.26,13.880353062121001,3.0,29.0,228.3379134442729,195.0,262.0,22.23018651897098,Random walk,EpiEstim,Marginalised
20,1.292647126358695,230,1.1950808412667402,1.1,1.25,14.730993605002013,3.0,29.0,229.36808773230348,195.0,263.0,4.0244188639417695,Random walk,EpiEstim,Marginalised
21,1.247908062192948,244,1.2061218878529285,1.1400000000000001,1.26,15.962534634730467,3.0,29.0,236.00788310269934,203.0,269.0,5.417969670536035,Random walk,EpiEstim,Marginalised
22,1.2699257718237322,223,1.1939390194207498,1.12,1.25,14.857377986206593,4.0,29.0,242.963110911324,210.0,277.0,12.33825460830266,Random walk,EpiEstim,Marginalised
23,1.3730023485614349,276,1.2135976686869308,1.1600000000000001,1.26,16.411239673408478,4.0,29.0,248.2098185946905,215.0,282.0,19.01979456347413,Random walk,EpiEstim,Marginalised
24,1.2615775011803814,285,1.2261399586915307,1.18,1.28,16.67549373395174,3.0,30.0,259.363917884899,227.0,293.0,17.095388578677216,Random walk,EpiEstim,Marginalised
25,1.2423983340517655,296,1.242852930122581,1.19,1.3499999999999999,15.983087098574007,3.0,30.0,274.0828569258495,239.0,313.0,14.03012362246518,Random walk,EpiEstim,Marginalised
26,1.1513304143536727,281,1.233483463180947,1.19,1.3,17.068013296823842,4.0,30.0,286.87595645299507,252.0,325.0,4.902139007147693,Random walk,EpiEstim,Marginalised
27,0.9374426944725024,202,1.1630124313022998,0.9800000000000001,1.23,13.943916095727356,2.0,27.0,296.084386489959,258.0,336.0,83.00177652475178,Random walk,EpiEstim,Marginalised
28,0.8046647657165298,215,0.8722224701381323,0.7799999999999999,1.0,2.1180605824033583,2.0,3.0,211.19816595344665,169.0,267.0,6.202690073273896,Random walk,EpiEstim,Marginalised
29,0.83997253619983,204,0.8556148437103812,0.7799999999999999,0.94,2.1395022276476325,2.0,3.0,215.0638487312763,177.0,257.0,6.89585705904957,Random walk,EpiEstim,Marginalised
30,0.7705405420729977,177,0.7861551534578771,0.71,0.87,2.0811337529495466,2.0,3.0,202.85221115432736,165.0,243.0,16.246652472800637,Random walk,EpiEstim,Marginalised
31,0.8763395120723155,221,0.8332933627405334,0.76,0.9099999999999999,2.1821955369142563,2.0,3.0,175.69096840361112,140.0,213.0,34.86846279612483,Random walk,EpiEstim,Marginalised
32,0.9358367919085071,229,0.9614067619815849,0.87,1.05,2.034098746818349,2.0,3.0,216.1341230724242,176.0,259.0,8.132116424564614,Random walk,EpiEstim,Marginalised
33,0.9467526582601473,208,0.9534293611864059,0.87,1.0399999999999998,2.0461180239387065,2.0,3.0,226.14550558646988,186.0,269.0,10.549584788154739,Random walk,EpiEstim,Marginalised
34,0.9383544618458453,189,0.879741067413979,0.7999999999999999,0.97,2.026946071980642,2.0,3.0,206.32963027988006,168.0,247.0,10.08957420998055,Random walk,EpiEstim,Marginalised
35,0.9225565780533138,189,0.8500927639039445,0.77,0.94,2.029979843777692,2.0,3.0,186.85414532305222,151.0,226.0,4.626967508603759,Random walk,EpiEstim,Marginalised
36,0.9724934648622932,218,0.9308860878446743,0.8400000000000001,1.02,2.018148079506412,2.0,2.0,186.06223493654727,150.0,225.0,22.066627213293923,Random walk,EpiEstim,Marginalised
37,0.875822968174508,187,0.9410841783394379,0.8500000000000001,1.0399999999999998,2.0437704672764276,2.0,3.0,215.17912202944382,176.0,257.0,17.89056508793566,Random walk,EpiEstim,Marginalised
38,0.8481204944062992,183,0.8746014337810666,0.79,0.97,2.0337399186721314,2.0,3.0,185.61611608493251,149.0,225.0,4.596249350109803,Random walk,EpiEstim,Marginalised
39,0.6499256089970183,131,0.7533561196992187,0.67,0.8400000000000001,2.0106461798617707,2.0,2.0,180.75831251500784,145.0,219.0,39.12542442248551,Random walk,EpiEstim,Marginalised
40,0.6580192221891965,138,0.6618439336813384,0.5800000000000001,0.7400000000000001,2.0103241602116886,2.0,2.0,128.01206975029675,98.0,161.0,6.3724477696884865,Random walk,EpiEstim,Marginalised
41,0.7366536399427638,132,0.687857045145071,0.61,0.77,2.0112156166537325,2.0,2.0,133.19959985386623,103.0,166.0,3.7771122473303196,Random walk,EpiEstim,Marginalised
42,0.5346152732727038,89,0.5890898663460404,0.51,0.67,2.004674566838366,2.0,2.0,126.79498974482055,97.0,159.0,28.97256829559181,Random walk,EpiEstim,Marginalised
43,0.5285102479023974,79,0.47317784479980407,0.4,0.55,2.0008556177097163,2.0,2.0,84.56862727437269,61.0,111.0,3.790251910224139,Random walk,EpiEstim,Marginalised
44,0.5081454683026729,88,0.5034405991112532,0.43,0.5800000000000001,2.0010046651397775,2.0,2.0,74.10760814310237,52.0,99.0,8.826024950425573,Random walk,EpiEstim,Marginalised
45,0.44697277599998986,69,0.511656824821006,0.44,0.59,2.001744687317657,2.0,2.0,82.03176417253168,59.0,108.0,7.665066168182343,Random walk,EpiEstim,Marginalised
46,0.5144847861497415,89,0.559517994762686,0.48,0.65,2.0032283608893198,2.0,2.0,64.137797630265,44.0,87.0,18.794585044237767,Random walk,EpiEstim,Marginalised
47,0.687666652758221,63,0.5848341248698634,0.5,0.6799999999999999,2.01119481687711,2.0,2.0,82.7704728527803,59.0,109.0,13.107924915338607,Random walk,EpiEstim,Marginalised
48,0.68915182037088,79,0.5941111157873379,0.5,0.6900000000000001,2.0332691945001824,2.0,3.0,59.14751292668562,40.0,81.0,14.212243712674638,Random walk,EpiEstim,Marginalised
49,0.7246611427157469,55,0.6023291353833873,0.51,0.71,2.0975343287467916,2.0,3.0,73.07849569793171,51.0,98.0,11.759902919040242,Random walk,EpiEstim,Marginalised
50,0.8402630241381109,71,0.6212170468467608,0.52,0.73,2.2531583196029388,2.0,3.0,53.86934208539336,35.0,75.0,11.784038271528484,Random walk,EpiEstim,Marginalised
