t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,simulation,model,fit
1,NaN,8,5.005,0.25,9.75,15.5,1.0,30.0,7070.0,353.0,13787.0,4705.171770030043,Random walk,EpiEstim,Marginalised
2,NaN,11,5.005,0.25,9.75,15.5,1.0,30.0,7070.0,353.0,13787.0,4702.176013011445,Random walk,EpiEstim,Marginalised
3,NaN,14,5.005,0.25,9.75,15.5,1.0,30.0,7070.0,353.0,13787.0,4699.181528887268,Random walk,EpiEstim,Marginalised
4,NaN,21,1.9864132847367024,1.48,2.56,16.273406430374976,2.0,30.0,20.29065477140146,10.0,33.0,1.4465871218515516,Random walk,EpiEstim,Marginalised
5,NaN,27,2.058133153093365,1.6300000000000001,2.54,16.630440621064466,3.0,30.0,24.31774002956993,13.0,37.0,1.9866865464681331,Random walk,EpiEstim,Marginalised
6,NaN,36,2.1699817596391036,1.79,2.6,16.820523050260583,3.0,30.0,30.262478145074372,18.0,44.0,3.57397966873787,Random walk,EpiEstim,Marginalised
7,NaN,45,2.2644269400047854,1.92,2.66,16.834089140344588,2.0,30.0,38.862943331690616,25.0,54.0,3.8149128309974167,Random walk,EpiEstim,Marginalised
8,NaN,56,2.345167153911099,2.0300000000000002,2.7199999999999998,16.7012863276004,2.0,30.0,49.44900321961464,34.0,67.0,4.074147480449584,Random walk,EpiEstim,Marginalised
9,NaN,64,2.3613523633188875,2.08,2.6800000000000006,16.92690536907253,3.0,30.0,62.17079500358687,45.0,81.0,2.342269953869456,Random walk,EpiEstim,Marginalised
10,NaN,72,2.336236574309762,2.0900000000000003,2.6,17.32355971942111,3.0,30.0,75.14119775150172,57.0,96.0,2.636287088753756,Random walk,EpiEstim,Marginalised
11,NaN,71,2.2351995435477066,2.0,2.46,17.425998589386445,2.0,30.0,87.89656045197034,68.0,110.0,11.305068154957404,Random walk,EpiEstim,Marginalised
12,NaN,70,1.9924038913828135,1.5499999999999998,2.29,11.981226531987703,2.0,29.0,92.26026486616698,65.0,118.0,15.352425765691077,Random walk,EpiEstim,Marginalised
