k,p,simulation,model
1,2.6956126671692844e-184,Random walk,EpiEstim
2,0.9999999964540125,Random walk,EpiEstim
3,3.5459875418805454e-9,Random walk,EpiEstim
4,2.685240878506126e-24,Random walk,EpiEstim
5,4.1393506888709615e-40,Random walk,EpiEstim
6,5.407716158996398e-54,Random walk,EpiEstim
7,4.154049706695159e-64,Random walk,EpiEstim
8,7.90656795370812e-73,Random walk,EpiEstim
9,2.2613036811634066e-82,Random walk,EpiEstim
10,7.12316651227107e-93,Random walk,EpiEstim
11,1.4060315720850915e-103,Random walk,EpiEstim
12,7.988993989409177e-114,Random walk,EpiEstim
13,4.338813410499896e-123,Random walk,EpiEstim
14,7.181236257214995e-131,Random walk,EpiEstim
15,6.989587909720336e-138,Random walk,EpiEstim
16,6.340298124265302e-145,Random walk,EpiEstim
17,1.6289477153856633e-152,Random walk,EpiEstim
18,1.6792690435320065e-160,Random walk,EpiEstim
19,1.2300433703780251e-168,Random walk,EpiEstim
20,1.3889550244850506e-176,Random walk,EpiEstim
21,3.1048389923742703e-184,Random walk,EpiEstim
22,9.981032849079242e-192,Random walk,EpiEstim
23,1.495295901162976e-199,Random walk,EpiEstim
24,5.950131855218482e-208,Random walk,EpiEstim
25,7.831491217499115e-217,Random walk,EpiEstim
26,4.338079764970765e-226,Random walk,EpiEstim
27,1.7527560454936144e-235,Random walk,EpiEstim
28,8.756816801730695e-245,Random walk,EpiEstim
29,5.513550951917191e-254,Random walk,EpiEstim
30,2.9086532994667876e-263,Random walk,EpiEstim
