eta,p,simulation,model
0.001,0.0,Random walk,EpiFilter
0.002,0.0,Random walk,EpiFilter
0.003,0.0,Random walk,EpiFilter
0.004,0.0,Random walk,EpiFilter
0.005,6.556879948168397e-296,Random walk,EpiFilter
0.006,1.9622266209690904e-257,Random walk,EpiFilter
0.007,2.1783227719335875e-227,Random walk,EpiFilter
0.008,2.3024044951055067e-203,Random walk,EpiFilter
0.009,7.870973716110497e-184,Random walk,EpiFilter
0.01,1.104941470405541e-167,Random walk,EpiFilter
0.011,4.091647855877997e-154,Random walk,EpiFilter
0.012,1.5626079041507211e-142,Random walk,EpiFilter
0.013,1.6782264499129776e-132,Random walk,EpiFilter
0.014,1.0653990759852424e-123,Random walk,EpiFilter
0.015,6.96295549108255e-116,Random walk,EpiFilter
0.016,7.11981563874482e-109,Random walk,EpiFilter
0.017,1.5673599913506821e-102,Random walk,EpiFilter
0.018000000000000002,9.502744313334417e-97,Random walk,EpiFilter
0.019,1.923181736465183e-91,Random walk,EpiFilter
0.02,1.5124793972794035e-86,Random walk,EpiFilter
0.021,5.2200590893352186e-82,Random walk,EpiFilter
0.022000000000000002,8.72503227763432e-78,Random walk,EpiFilter
0.023,7.656863162055467e-74,Random walk,EpiFilter
0.024,3.7725963198282275e-70,Random walk,EpiFilter
0.025,1.1040028563219896e-66,Random walk,EpiFilter
0.026000000000000002,2.012674910558881e-63,Random walk,EpiFilter
0.027,2.381361750767429e-60,Random walk,EpiFilter
0.028,1.8945745202066906e-57,Random walk,EpiFilter
0.028999999999999998,1.0453726372541233e-54,Random walk,EpiFilter
0.030000000000000002,4.11091116579722e-52,Random walk,EpiFilter
0.031,1.1803559262702227e-49,Random walk,EpiFilter
0.032,2.528577868045183e-47,Random walk,EpiFilter
0.033,4.120595340947552e-45,Random walk,EpiFilter
0.033999999999999996,5.198583549709828e-43,Random walk,EpiFilter
0.035,5.159102367897093e-41,Random walk,EpiFilter
0.036000000000000004,4.086423748454843e-39,Random walk,EpiFilter
0.037,2.6180523524416282e-37,Random walk,EpiFilter
0.038,1.3734006346914987e-35,Random walk,EpiFilter
0.039,5.966290956190419e-34,Random walk,EpiFilter
0.04,2.168878012469675e-32,Random walk,EpiFilter
0.041,6.661835683937542e-31,Random walk,EpiFilter
0.041999999999999996,1.7445670387312901e-29,Random walk,EpiFilter
0.043000000000000003,3.927841838048929e-28,Random walk,EpiFilter
0.044000000000000004,7.66277504982561e-27,Random walk,EpiFilter
0.045,1.304831194355981e-25,Random walk,EpiFilter
0.046,1.9526549631761085e-24,Random walk,EpiFilter
0.047,2.5845183286025244e-23,Random walk,EpiFilter
0.048,3.0438618849581337e-22,Random walk,EpiFilter
0.049,3.207831211276286e-21,Random walk,EpiFilter
0.049999999999999996,3.0411870259403034e-20,Random walk,EpiFilter
0.051000000000000004,2.6066833740823383e-19,Random walk,EpiFilter
0.052000000000000005,2.029504135397e-18,Random walk,EpiFilter
0.053,1.441698658505678e-17,Random walk,EpiFilter
0.054,9.383392183417705e-17,Random walk,EpiFilter
0.055,5.617756805324574e-16,Random walk,EpiFilter
0.056,3.1053195321906993e-15,Random walk,EpiFilter
0.057,1.5904664154352687e-14,Random walk,EpiFilter
0.057999999999999996,7.573031835759227e-14,Random walk,EpiFilter
0.059000000000000004,3.362925899746484e-13,Random walk,EpiFilter
0.06,1.3969151116076495e-12,Random walk,EpiFilter
0.061,5.4433116296307395e-12,Random walk,EpiFilter
0.062,1.9951179159361607e-11,Random walk,EpiFilter
0.063,6.896014488506938e-11,Random walk,EpiFilter
0.06399999999999999,2.253242466371179e-10,Random walk,EpiFilter
0.065,6.975912510986404e-10,Random walk,EpiFilter
0.066,2.050836115429453e-9,Random walk,EpiFilter
0.06699999999999999,5.737258770548063e-9,Random walk,EpiFilter
0.068,1.53032649157625e-8,Random walk,EpiFilter
0.069,3.899338879442594e-8,Random walk,EpiFilter
0.06999999999999999,9.508388340171262e-8,Random walk,EpiFilter
0.07100000000000001,2.222678650348394e-7,Random walk,EpiFilter
0.072,4.988960816889449e-7,Random walk,EpiFilter
0.073,1.076921169046543e-6,Random walk,EpiFilter
0.07400000000000001,2.238946150006032e-6,Random walk,EpiFilter
0.075,4.489575128946382e-6,Random walk,EpiFilter
0.076,8.694741477490449e-6,Random walk,EpiFilter
0.07700000000000001,1.6283937551699775e-5,Random walk,EpiFilter
0.078,2.9529079683809404e-5,Random walk,EpiFilter
0.079,5.1908772385003095e-5,Random walk,EpiFilter
0.07999999999999999,8.85568310914007e-5,Random walk,EpiFilter
0.081,0.0001467785418245059,Random walk,EpiFilter
0.082,0.00023659780788549308,Random walk,EpiFilter
0.08299999999999999,0.00037127501134467147,Random walk,EpiFilter
0.084,0.0005677125784158173,Random walk,EpiFilter
0.085,0.0008466476108830634,Random walk,EpiFilter
0.086,0.0012325238147224745,Random walk,EpiFilter
0.08700000000000001,0.0017529431165974677,Random walk,EpiFilter
0.088,0.0024376239045611455,Random walk,EpiFilter
0.089,0.0033168380602745626,Random walk,EpiFilter
0.09000000000000001,0.004419359683648736,Random walk,EpiFilter
0.091,0.005770027950178362,Random walk,EpiFilter
0.092,0.007387095403593414,Random walk,EpiFilter
0.093,0.009279590323751412,Random walk,EpiFilter
0.094,0.011444957273416363,Random walk,EpiFilter
0.095,0.01386724561325716,Random walk,EpiFilter
0.09599999999999999,0.016516087830379184,Random walk,EpiFilter
0.097,0.019346649083876025,Random walk,EpiFilter
0.098,0.022300642585071997,Random walk,EpiFilter
0.09899999999999999,0.025308402611168825,Random walk,EpiFilter
0.1,0.02829190095986233,Random walk,EpiFilter
0.101,0.031168496880377598,Random walk,EpiFilter
0.102,0.03385513682161565,Random walk,EpiFilter
0.10300000000000001,0.036272677323725834,Random walk,EpiFilter
0.104,0.03834999628256755,Random walk,EpiFilter
0.105,0.04002758415699964,Random walk,EpiFilter
0.10600000000000001,0.04126036266925436,Random walk,EpiFilter
0.107,0.04201955606234341,Random walk,EpiFilter
0.108,0.04229352900469095,Random walk,EpiFilter
0.109,0.042087595344260806,Random walk,EpiFilter
0.11,0.04142288366421643,Random walk,EpiFilter
0.111,0.04033441157209772,Random walk,EpiFilter
0.11199999999999999,0.03886856613827795,Random walk,EpiFilter
0.113,0.03708021102701585,Random walk,EpiFilter
0.114,0.03502964242987293,Random walk,EpiFilter
0.11499999999999999,0.03277959885034179,Random walk,EpiFilter
0.116,0.030392498479057298,Random walk,EpiFilter
0.117,0.027928037428976142,Random walk,EpiFilter
0.118,0.025441237575030955,Random walk,EpiFilter
0.11900000000000001,0.022980988737962102,Random walk,EpiFilter
0.12,0.020589090131450286,Random walk,EpiFilter
0.121,0.018299762915602157,Random walk,EpiFilter
0.122,0.01613958079114482,Random walk,EpiFilter
0.123,0.01412774922032109,Random walk,EpiFilter
0.124,0.012276655616468318,Random walk,EpiFilter
0.125,0.010592611646286384,Random walk,EpiFilter
0.126,0.009076713203299345,Random walk,EpiFilter
0.127,0.0077257520650953595,Random walk,EpiFilter
0.128,0.006533124194473856,Random walk,EpiFilter
0.129,0.005489691710195858,Random walk,EpiFilter
0.13,0.004584567601429445,Random walk,EpiFilter
0.131,0.0038058034428827673,Random walk,EpiFilter
0.13199999999999998,0.0031409701153581942,Random walk,EpiFilter
0.13299999999999998,0.0025776295373335814,Random walk,EpiFilter
0.134,0.0021037015678227722,Random walk,EpiFilter
0.135,0.0017077346136822624,Random walk,EpiFilter
0.136,0.001379091243526441,Random walk,EpiFilter
0.137,0.0011080615207514299,Random walk,EpiFilter
0.13799999999999998,0.0008859170940833868,Random walk,EpiFilter
0.13899999999999998,0.0007049185996853276,Random walk,EpiFilter
0.14,0.0005582878866671755,Random walk,EpiFilter
0.14100000000000001,0.0004401551966111826,Random walk,EpiFilter
0.14200000000000002,0.0003454898857773019,Random walk,EpiFilter
0.143,0.000270021713122341,Random walk,EpiFilter
0.144,0.00021015822647849037,Random walk,EpiFilter
0.145,0.00016290242757607088,Random walk,EpiFilter
0.146,0.00012577372026186385,Random walk,EpiFilter
0.14700000000000002,9.673415961612117e-5,Random walk,EpiFilter
0.148,7.41212209021122e-5,Random walk,EpiFilter
0.149,5.658768371193102e-5,Random walk,EpiFilter
0.15,4.3048758970200434e-5,Random walk,EpiFilter
0.151,3.263625204591406e-5,Random walk,EpiFilter
0.152,2.4659330791585535e-5,Random walk,EpiFilter
0.15300000000000002,1.8571330537702005e-5,Random walk,EpiFilter
0.154,1.394195867439875e-5,Random walk,EpiFilter
0.155,1.043424186478184e-5,Random walk,EpiFilter
0.156,7.785574443897319e-6,Random walk,EpiFilter
0.157,5.792265278821698e-6,Random walk,EpiFilter
0.158,4.297033012548169e-6,Random walk,EpiFilter
0.15899999999999997,3.178959188434363e-6,Random walk,EpiFilter
0.16,2.3454701853424673e-6,Random walk,EpiFilter
0.161,1.7259786944910947e-6,Random walk,EpiFilter
0.162,1.2668713881770111e-6,Random walk,EpiFilter
0.163,9.275801679286081e-7,Random walk,EpiFilter
0.16399999999999998,6.77519332271635e-7,Random walk,EpiFilter
0.16499999999999998,4.937100623587086e-7,Random walk,EpiFilter
0.166,3.589470058422997e-7,Random walk,EpiFilter
0.167,2.6038986853219796e-7,Random walk,EpiFilter
0.168,1.8848633274777315e-7,Random walk,EpiFilter
0.169,1.3615188823756895e-7,Random walk,EpiFilter
0.16999999999999998,9.814786179243018e-8,Random walk,EpiFilter
0.17099999999999999,7.061161018754379e-8,Random walk,EpiFilter
0.17200000000000001,5.070299488131457e-8,Random walk,EpiFilter
0.17300000000000001,3.6339326839321966e-8,Random walk,EpiFilter
0.17400000000000002,2.5997338336986145e-8,Random walk,EpiFilter
0.175,1.8565731311141148e-8,Random walk,EpiFilter
0.176,1.3235741912066936e-8,Random walk,EpiFilter
0.177,9.420174363754493e-9,Random walk,EpiFilter
0.178,6.693678926969765e-9,Random walk,EpiFilter
0.17900000000000002,4.748828291984815e-9,Random walk,EpiFilter
0.18,3.363904077557052e-9,Random walk,EpiFilter
0.181,2.379335666862005e-9,Random walk,EpiFilter
0.182,1.6805126177365837e-9,Random walk,EpiFilter
0.183,1.185278287444704e-9,Random walk,EpiFilter
0.184,8.348519743498787e-10,Random walk,EpiFilter
0.18500000000000003,5.87255268182498e-10,Random walk,EpiFilter
0.186,4.12562688032013e-10,Random walk,EpiFilter
0.187,2.894779281667834e-10,Random walk,EpiFilter
0.188,2.0287099496884285e-10,Random walk,EpiFilter
0.189,1.420102203128515e-10,Random walk,EpiFilter
0.19,9.92956360287045e-11,Random walk,EpiFilter
0.19099999999999998,6.935329019444322e-11,Random walk,EpiFilter
0.192,4.838886188777858e-11,Random walk,EpiFilter
0.193,3.3727171975325447e-11,Random walk,EpiFilter
0.194,2.348470195224896e-11,Random walk,EpiFilter
0.195,1.6337097200128032e-11,Random walk,EpiFilter
0.19599999999999998,1.135437535196908e-11,Random walk,EpiFilter
0.19699999999999998,7.884308589049887e-12,Random walk,EpiFilter
0.198,5.4700236063582924e-12,Random walk,EpiFilter
0.199,3.791865530647326e-12,Random walk,EpiFilter
