k,p,simulation,model,TrueParam,iter
1,1.7802718715482816e-66,Sinusoidal,EpiEstim,25,1
2,0.9888077700016795,Sinusoidal,EpiEstim,25,1
3,0.011191490582148375,Sinusoidal,EpiEstim,25,1
4,7.394161715383329e-7,Sinusoidal,EpiEstim,25,1
5,5.807473520115423e-16,Sinusoidal,EpiEstim,25,1
6,6.022249362487776e-25,Sinusoidal,EpiEstim,25,1
7,1.70012560051229e-34,Sinusoidal,EpiEstim,25,1
8,7.351584428265058e-44,Sinusoidal,EpiEstim,25,1
9,1.8511462928816088e-52,Sinusoidal,EpiEstim,25,1
10,2.671633870733008e-60,Sinusoidal,EpiEstim,25,1
11,6.048418666964427e-68,Sinusoidal,EpiEstim,25,1
12,2.2800163298535813e-73,Sinusoidal,EpiEstim,25,1
13,4.123537218496096e-76,Sinusoidal,EpiEstim,25,1
14,8.5358860286200245e-78,Sinusoidal,EpiEstim,25,1
15,9.019642212458176e-78,Sinusoidal,EpiEstim,25,1
16,7.814122246837601e-76,Sinusoidal,EpiEstim,25,1
17,8.088063155836338e-73,Sinusoidal,EpiEstim,25,1
18,1.5114141769481209e-68,Sinusoidal,EpiEstim,25,1
19,8.345880568038396e-64,Sinusoidal,EpiEstim,25,1
20,1.415789053949768e-58,Sinusoidal,EpiEstim,25,1
21,9.779265279771358e-54,Sinusoidal,EpiEstim,25,1
22,2.3283973140897828e-49,Sinusoidal,EpiEstim,25,1
23,1.5863483749759127e-45,Sinusoidal,EpiEstim,25,1
24,8.351917118838917e-43,Sinusoidal,EpiEstim,25,1
25,4.532478033002142e-41,Sinusoidal,EpiEstim,25,1
26,1.172600672540834e-40,Sinusoidal,EpiEstim,25,1
27,5.712809009576763e-41,Sinusoidal,EpiEstim,25,1
28,2.633792404377115e-42,Sinusoidal,EpiEstim,25,1
29,2.9319573004729954e-44,Sinusoidal,EpiEstim,25,1
30,2.0902537453298516e-46,Sinusoidal,EpiEstim,25,1
1,2.960097268319149e-75,Sinusoidal,EpiEstim,50,1
2,0.9999477933981934,Sinusoidal,EpiEstim,50,1
3,5.220660180655472e-5,Sinusoidal,EpiEstim,50,1
4,6.596694495413948e-19,Sinusoidal,EpiEstim,50,1
5,3.6834408933230795e-35,Sinusoidal,EpiEstim,50,1
6,1.538479909615719e-55,Sinusoidal,EpiEstim,50,1
7,3.5247496049644345e-75,Sinusoidal,EpiEstim,50,1
8,1.1631297687824859e-94,Sinusoidal,EpiEstim,50,1
9,2.2653096954590784e-113,Sinusoidal,EpiEstim,50,1
10,2.7525143510561166e-130,Sinusoidal,EpiEstim,50,1
11,3.182424933981182e-144,Sinusoidal,EpiEstim,50,1
12,7.129700696329695e-155,Sinusoidal,EpiEstim,50,1
13,9.338971426864608e-163,Sinusoidal,EpiEstim,50,1
14,1.1041614174449115e-166,Sinusoidal,EpiEstim,50,1
15,8.617880648269498e-167,Sinusoidal,EpiEstim,50,1
16,1.4451029502161802e-163,Sinusoidal,EpiEstim,50,1
17,7.030626930326451e-158,Sinusoidal,EpiEstim,50,1
18,7.340081249088625e-150,Sinusoidal,EpiEstim,50,1
19,7.606404021338106e-140,Sinusoidal,EpiEstim,50,1
20,1.1290104388251096e-129,Sinusoidal,EpiEstim,50,1
21,8.290162812852016e-120,Sinusoidal,EpiEstim,50,1
22,7.81031652294925e-111,Sinusoidal,EpiEstim,50,1
23,1.8151536455382775e-103,Sinusoidal,EpiEstim,50,1
24,1.5450201084763305e-98,Sinusoidal,EpiEstim,50,1
25,1.592810037026921e-95,Sinusoidal,EpiEstim,50,1
26,1.0646381413290971e-94,Sinusoidal,EpiEstim,50,1
27,8.183067205516205e-96,Sinusoidal,EpiEstim,50,1
28,1.5837293920471473e-98,Sinusoidal,EpiEstim,50,1
29,2.42195730794542e-102,Sinusoidal,EpiEstim,50,1
30,4.5042502567944077e-107,Sinusoidal,EpiEstim,50,1
1,8.64568870896847e-84,Sinusoidal,EpiEstim,100,1
2,1.0,Sinusoidal,EpiEstim,100,1
3,1.0505531595456559e-22,Sinusoidal,EpiEstim,100,1
4,9.110184984404077e-60,Sinusoidal,EpiEstim,100,1
5,2.232780027643096e-108,Sinusoidal,EpiEstim,100,1
6,6.256237312617741e-162,Sinusoidal,EpiEstim,100,1
7,8.923735246517419e-219,Sinusoidal,EpiEstim,100,1
8,1.8315286550663727e-274,Sinusoidal,EpiEstim,100,1
9,0.0,Sinusoidal,EpiEstim,100,1
10,0.0,Sinusoidal,EpiEstim,100,1
11,0.0,Sinusoidal,EpiEstim,100,1
12,0.0,Sinusoidal,EpiEstim,100,1
13,0.0,Sinusoidal,EpiEstim,100,1
14,0.0,Sinusoidal,EpiEstim,100,1
15,0.0,Sinusoidal,EpiEstim,100,1
16,0.0,Sinusoidal,EpiEstim,100,1
17,0.0,Sinusoidal,EpiEstim,100,1
18,0.0,Sinusoidal,EpiEstim,100,1
19,0.0,Sinusoidal,EpiEstim,100,1
20,0.0,Sinusoidal,EpiEstim,100,1
21,0.0,Sinusoidal,EpiEstim,100,1
22,1.949984447542028e-306,Sinusoidal,EpiEstim,100,1
23,4.2969612894602376e-285,Sinusoidal,EpiEstim,100,1
24,2.022275339096187e-269,Sinusoidal,EpiEstim,100,1
25,2.094347747406472e-259,Sinusoidal,EpiEstim,100,1
26,2.182146376163788e-255,Sinusoidal,EpiEstim,100,1
27,3.947151396754514e-257,Sinusoidal,EpiEstim,100,1
28,9.896307537713887e-264,Sinusoidal,EpiEstim,100,1
29,6.675039119878303e-274,Sinusoidal,EpiEstim,100,1
30,5.595887262869676e-287,Sinusoidal,EpiEstim,100,1
1,2.8112053553538775e-80,Sinusoidal,EpiEstim,200,1
2,1.0,Sinusoidal,EpiEstim,200,1
3,2.79791040421848e-40,Sinusoidal,EpiEstim,200,1
4,4.103510823809954e-107,Sinusoidal,EpiEstim,200,1
5,2.977141709591189e-188,Sinusoidal,EpiEstim,200,1
6,1.8398041855528374e-278,Sinusoidal,EpiEstim,200,1
7,0.0,Sinusoidal,EpiEstim,200,1
8,0.0,Sinusoidal,EpiEstim,200,1
9,0.0,Sinusoidal,EpiEstim,200,1
10,0.0,Sinusoidal,EpiEstim,200,1
11,0.0,Sinusoidal,EpiEstim,200,1
12,0.0,Sinusoidal,EpiEstim,200,1
13,0.0,Sinusoidal,EpiEstim,200,1
14,0.0,Sinusoidal,EpiEstim,200,1
15,0.0,Sinusoidal,EpiEstim,200,1
16,0.0,Sinusoidal,EpiEstim,200,1
17,0.0,Sinusoidal,EpiEstim,200,1
18,0.0,Sinusoidal,EpiEstim,200,1
