k,p,simulation,model,TrueParam,iter
1,4.179312457270979e-62,Step change,EpiEstim,51,1
2,4.197589081826421e-8,Step change,EpiEstim,51,1
3,1.5869812624130431e-6,Step change,EpiEstim,51,1
4,0.0022347456888025066,Step change,EpiEstim,51,1
5,0.646666034550298,Step change,EpiEstim,51,1
6,0.3455050747795873,Step change,EpiEstim,51,1
7,0.00524220674871988,Step change,EpiEstim,51,1
8,0.0003323114443870938,Step change,EpiEstim,51,1
9,1.4908665947679031e-5,Step change,EpiEstim,51,1
10,2.9952942794900925e-6,Step change,EpiEstim,51,1
11,9.003733539365957e-8,Step change,EpiEstim,51,1
12,3.726663272258903e-9,Step change,EpiEstim,51,1
13,4.8117265106174146e-11,Step change,EpiEstim,51,1
14,3.483234134835652e-11,Step change,EpiEstim,51,1
15,2.1818738526390158e-11,Step change,EpiEstim,51,1
16,1.1375990574018827e-12,Step change,EpiEstim,51,1
17,7.149251579253246e-13,Step change,EpiEstim,51,1
18,5.622325997317049e-14,Step change,EpiEstim,51,1
19,1.1701685495077534e-13,Step change,EpiEstim,51,1
20,2.38790868186486e-14,Step change,EpiEstim,51,1
21,5.7150113666352916e-15,Step change,EpiEstim,51,1
22,1.5694032894798545e-15,Step change,EpiEstim,51,1
23,6.59869906557977e-16,Step change,EpiEstim,51,1
24,1.3481431212551013e-16,Step change,EpiEstim,51,1
25,1.981532062008573e-17,Step change,EpiEstim,51,1
26,1.564415575454676e-17,Step change,EpiEstim,51,1
27,5.606467356455396e-18,Step change,EpiEstim,51,1
28,1.3612537971774544e-18,Step change,EpiEstim,51,1
29,1.4123750775981497e-19,Step change,EpiEstim,51,1
30,5.1306285978596063e-20,Step change,EpiEstim,51,1
1,1.8373311037233134e-71,Step change,EpiEstim,34,1
2,0.9976866793984134,Step change,EpiEstim,34,1
3,0.0023133182792922473,Step change,EpiEstim,34,1
4,2.3222861998484463e-9,Step change,EpiEstim,34,1
5,8.104772353659206e-15,Step change,EpiEstim,34,1
6,2.5562739574361535e-20,Step change,EpiEstim,34,1
7,4.028903043582588e-25,Step change,EpiEstim,34,1
8,7.68114164132956e-30,Step change,EpiEstim,34,1
9,3.1731553654251936e-33,Step change,EpiEstim,34,1
10,4.363458194180291e-37,Step change,EpiEstim,34,1
11,1.3328613271075574e-41,Step change,EpiEstim,34,1
12,8.562094919220901e-46,Step change,EpiEstim,34,1
13,6.454160861247727e-50,Step change,EpiEstim,34,1
14,5.856433930131673e-55,Step change,EpiEstim,34,1
15,2.2467241715599182e-60,Step change,EpiEstim,34,1
16,1.3159715351536341e-65,Step change,EpiEstim,34,1
17,3.659502832650379e-71,Step change,EpiEstim,34,1
18,2.084431872428728e-76,Step change,EpiEstim,34,1
19,1.8017044033410354e-81,Step change,EpiEstim,34,1
20,2.725440693130776e-86,Step change,EpiEstim,34,1
21,1.99542538362855e-91,Step change,EpiEstim,34,1
22,9.481061889454415e-96,Step change,EpiEstim,34,1
23,3.4374959981576254e-100,Step change,EpiEstim,34,1
24,7.359698432343544e-104,Step change,EpiEstim,34,1
25,3.973544269751254e-107,Step change,EpiEstim,34,1
26,1.266256708713482e-110,Step change,EpiEstim,34,1
27,2.324008069556617e-114,Step change,EpiEstim,34,1
28,3.8816168073809126e-118,Step change,EpiEstim,34,1
29,1.0573034425335542e-121,Step change,EpiEstim,34,1
30,5.735295798899138e-125,Step change,EpiEstim,34,1
1,5.490957506748084e-69,Step change,EpiEstim,26,1
2,0.9999503662917439,Step change,EpiEstim,26,1
3,4.9633690060780724e-5,Step change,EpiEstim,26,1
4,1.8195126344933656e-11,Step change,EpiEstim,26,1
5,1.0044384525993817e-17,Step change,EpiEstim,26,1
6,2.630131411469197e-25,Step change,EpiEstim,26,1
7,6.187254868622682e-30,Step change,EpiEstim,26,1
8,3.219025328350606e-33,Step change,EpiEstim,26,1
9,8.48428665320966e-39,Step change,EpiEstim,26,1
10,7.337187396225968e-46,Step change,EpiEstim,26,1
11,1.7940968842695815e-52,Step change,EpiEstim,26,1
12,2.0025500317803428e-60,Step change,EpiEstim,26,1
13,5.537668117850004e-70,Step change,EpiEstim,26,1
14,3.269332431880657e-78,Step change,EpiEstim,26,1
15,2.8692133642483866e-85,Step change,EpiEstim,26,1
16,2.104321641015856e-92,Step change,EpiEstim,26,1
17,1.6757192303304443e-99,Step change,EpiEstim,26,1
18,8.269979643419293e-106,Step change,EpiEstim,26,1
19,1.4841462759929013e-113,Step change,EpiEstim,26,1
20,2.2151035396408674e-122,Step change,EpiEstim,26,1
21,9.557898043419478e-131,Step change,EpiEstim,26,1
22,3.860509431659336e-138,Step change,EpiEstim,26,1
23,2.0995777023256245e-145,Step change,EpiEstim,26,1
24,5.5152838087913485e-152,Step change,EpiEstim,26,1
25,2.3388990407267207e-158,Step change,EpiEstim,26,1
26,1.1476516653888671e-164,Step change,EpiEstim,26,1
27,9.817503344605631e-172,Step change,EpiEstim,26,1
28,2.2716458610817507e-177,Step change,EpiEstim,26,1
29,1.7216361960848805e-182,Step change,EpiEstim,26,1
30,7.491875248104339e-187,Step change,EpiEstim,26,1
1,3.0715634057682726e-68,Step change,EpiEstim,21,1
2,0.9999120411671184,Step change,EpiEstim,21,1
3,8.795883288163362e-5,Step change,EpiEstim,21,1
4,4.063548387787977e-17,Step change,EpiEstim,21,1
