t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,simulation,model,fit
1,1.0507557979778397,96,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1912.046614626523,Random walk,EpiEstim,Marginalised
2,1.1590093712349343,138,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1871.6858772074897,Random walk,EpiEstim,Marginalised
3,1.2790468752118291,131,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1878.3719758621983,Random walk,EpiEstim,Marginalised
4,1.2543259231117483,125,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1884.1158722249288,Random walk,EpiEstim,Marginalised
5,1.2190127660924688,162,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1848.8856779050484,Random walk,EpiEstim,Marginalised
6,1.3198246155630526,115,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1893.7156064883402,Random walk,EpiEstim,Marginalised
7,1.3342674154927558,128,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1881.2424292752526,Random walk,EpiEstim,Marginalised
8,1.3372260561913143,171,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1840.3849305208928,Random walk,EpiEstim,Marginalised
9,1.381226485958193,210,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1803.8592703315558,Random walk,EpiEstim,Marginalised
10,1.4698066517616892,166,5.005,0.25,9.75,15.5,1.0,30.0,3010.0,150.0,5870.0,1845.1042462491773,Random walk,EpiEstim,Marginalised
11,1.259547783403464,149,1.1748710733502443,1.0,1.31,8.419910947130576,1.0,28.0,195.5849468437761,145.0,227.0,21.73668972587444,Random walk,EpiEstim,Marginalised
12,1.3479105093350954,199,1.2401406244964526,1.1400000000000001,1.33,12.248261979700032,2.0,29.0,185.9526968437172,151.0,217.0,8.666969627938885,Random walk,EpiEstim,Marginalised
13,1.3539445227165612,230,1.310347758969967,1.22,1.45,12.628285492928734,2.0,29.0,199.44422362279843,168.0,232.0,22.533035231677335,Random walk,EpiEstim,Marginalised
14,1.4379429340908696,224,1.3179214863650326,1.24,1.45,13.014767855579525,2.0,30.0,214.42769869708354,182.0,255.0,6.5673737014630085,Random walk,EpiEstim,Marginalised
15,1.3239518039039873,187,1.2554031379726143,1.18,1.33,11.179688171717956,2.0,29.0,221.83919455918038,190.0,256.0,25.439122454439723,Random walk,EpiEstim,Marginalised
16,1.293657073848795,173,1.0630658950488474,0.9300000000000002,1.25,3.3746012371355314,2.0,14.0,200.3501264186105,159.0,245.0,16.702341133637123,Random walk,EpiEstim,Marginalised
17,1.1904294412455347,202,1.0790942025092916,0.95,1.25,3.687943952994617,2.0,14.0,187.55642737816282,144.0,243.0,10.704736930747275,Random walk,EpiEstim,Marginalised
18,1.0201967271072447,240,1.2090130232848635,1.11,1.31,5.392299427235143,2.0,15.0,212.83079114192256,172.0,251.0,17.240474734788055,Random walk,EpiEstim,Marginalised
19,1.1374886588397761,212,1.1832394370171004,1.1,1.29,6.846991701702883,2.0,15.0,230.80338978081733,194.0,278.0,10.43056820037081,Random walk,EpiEstim,Marginalised
20,1.292647126358695,205,1.1071486318073542,1.01,1.21,5.222181144533987,2.0,14.0,218.8943135714038,184.0,256.0,8.121222379367012,Random walk,EpiEstim,Marginalised
21,1.247908062192948,250,1.1605062299490276,1.08,1.25,7.237250878652896,2.0,15.0,222.55233822773673,183.0,262.0,17.754928614365976,Random walk,EpiEstim,Marginalised
22,1.2699257718237322,193,1.130518747125075,1.06,1.2,6.2023342312758,2.0,14.0,239.09161105881213,205.0,278.0,35.71475227738463,Random walk,EpiEstim,Marginalised
23,1.3730023485614349,301,1.1924368171367576,1.1300000000000001,1.25,7.5006055421690245,6.0,15.0,234.71511437518856,202.0,269.0,56.65560858696671,Random walk,EpiEstim,Marginalised
24,1.2615775011803814,232,1.1624976952993238,1.1,1.22,7.116227243923337,6.0,15.0,249.79191689804063,216.0,284.0,10.64739357712251,Random walk,EpiEstim,Marginalised
25,1.2423983340517655,282,1.1895096527609934,1.1300000000000001,1.25,7.496611400123614,6.0,15.0,255.5912324929206,222.0,291.0,17.597026087102627,Random walk,EpiEstim,Marginalised
26,1.1513304143536727,254,1.1939653515066802,1.1400000000000001,1.25,7.813203566130009,6.0,15.0,272.4758821587797,238.0,309.0,11.02422144279356,Random walk,EpiEstim,Marginalised
27,0.9374426944725024,201,1.1308170583663721,1.07,1.19,7.799077799493923,6.0,14.0,274.0692920387975,239.0,311.0,62.796467895669664,Random walk,EpiEstim,Marginalised
28,0.8046647657165298,204,1.0557691321911973,0.8200000000000001,1.1600000000000001,7.3692063745501795,2.0,14.0,255.00645359209415,180.0,303.0,36.582104164388554,Random walk,EpiEstim,Marginalised
29,0.83997253619983,209,0.9152661252894683,0.8099999999999999,1.06,3.042566319752201,2.0,6.0,213.5349544582341,168.0,267.0,6.338976029021291,Random walk,EpiEstim,Marginalised
30,0.7705405420729977,190,0.8615498431001525,0.7799999999999999,0.9599999999999999,2.141203078671298,2.0,3.0,207.87181016394476,170.0,249.0,10.38242059571419,Random walk,EpiEstim,Marginalised
31,0.8763395120723155,212,0.8800638029246203,0.7999999999999999,0.9599999999999999,2.276718286555169,2.0,6.0,189.22483784199164,152.0,228.0,14.280201863090312,Random walk,EpiEstim,Marginalised
32,0.9358367919085071,230,0.9787651649853436,0.89,1.07,2.0791023386421705,2.0,3.0,208.67321822614795,170.0,250.0,13.194078489622234,Random walk,EpiEstim,Marginalised
33,0.9467526582601473,197,0.9580415304796616,0.87,1.05,2.2181910165711693,2.0,6.0,226.87179147540047,186.0,271.0,19.066347767293067,Random walk,EpiEstim,Marginalised
34,0.9383544618458453,145,0.7780111300587325,0.7,0.8599999999999999,2.0085112543731656,2.0,2.0,195.73311671289002,158.0,236.0,39.644591347583976,Random walk,EpiEstim,Marginalised
35,0.9225565780533138,174,0.7403715311844273,0.66,0.83,2.043323445381352,2.0,2.0,142.7174464786439,111.0,179.0,22.33401776862886,Random walk,EpiEstim,Marginalised
36,0.9724934648622932,258,1.0280694441215972,0.9300000000000002,1.1300000000000001,2.002487762312624,2.0,2.0,169.65686232672223,135.0,207.0,78.03989312869336,Random walk,EpiEstim,Marginalised
37,0.875822968174508,177,0.9912409243680195,0.87,1.1400000000000001,3.7999654185798675,2.0,6.0,226.64207634152962,167.0,296.0,28.941238842519738,Random walk,EpiEstim,Marginalised
38,0.8481204944062992,142,0.7888464561440144,0.7,0.89,2.4203733171069097,2.0,6.0,176.96651429605333,142.0,214.0,24.899919732699825,Random walk,EpiEstim,Marginalised
39,0.6499256089970183,135,0.6890766730474014,0.61,0.7799999999999999,2.0210198956074206,2.0,2.0,139.8729382835088,109.0,174.0,4.347638462724559,Random walk,EpiEstim,Marginalised
40,0.6580192221891965,130,0.6777459703926658,0.6,0.76,2.000777786252697,2.0,2.0,131.19436896878702,101.0,164.0,3.7576147220846177,Random walk,EpiEstim,Marginalised
41,0.7366536399427638,119,0.6624383564827119,0.5800000000000001,0.75,2.000028736019899,2.0,2.0,125.27483957831745,96.0,157.0,4.503291333974581,Random walk,EpiEstim,Marginalised
42,0.5346152732727038,93,0.5915755553122114,0.52,0.67,2.000002637649772,2.0,2.0,113.9523392589384,86.0,145.0,13.42885609842164,Random walk,EpiEstim,Marginalised
43,0.5285102479023974,63,0.46116452745583586,0.39,0.54,2.0000000052430553,2.0,2.0,88.26838653144335,64.0,115.0,18.059048628988776,Random walk,EpiEstim,Marginalised
44,0.5081454683026729,93,0.49467284884841745,0.42,0.5700000000000001,2.00000028164087,2.0,2.0,59.05448619018413,40.0,81.0,27.9653017533308,Random walk,EpiEstim,Marginalised
45,0.44697277599998986,73,0.5697936618036304,0.49,0.66,2.000000515616693,2.0,2.0,86.64244099428961,63.0,113.0,8.061156598655247,Random walk,EpiEstim,Marginalised
46,0.5144847861497415,98,0.6364881208606966,0.55,0.73,2.0000001450879004,2.0,2.0,68.0504707385904,47.0,92.0,23.586588481523698,Random walk,EpiEstim,Marginalised
47,0.687666652758221,44,0.5714216160109288,0.48,0.67,2.000022377820312,2.0,2.0,92.0807681730247,67.0,120.0,40.5714646288895,Random walk,EpiEstim,Marginalised
48,0.68915182037088,78,0.530394956939166,0.44,0.63,2.0015511575800975,2.0,2.0,41.4054112038816,25.0,60.0,31.578932669900766,Random walk,EpiEstim,Marginalised
49,0.7246611427157469,61,0.653109278413712,0.55,0.77,2.0032759263892133,2.0,2.0,73.09414255087708,51.0,98.0,7.076603813666578,Random walk,EpiEstim,Marginalised
50,0.8402630241381109,70,0.6634179319339164,0.56,0.7799999999999999,2.002742579635467,2.0,2.0,57.51331183058913,38.0,79.0,7.990080599582363,Random walk,EpiEstim,Marginalised
51,0.9764071157363778,101,0.9262646509852678,0.79,1.07,2.000006869694493,2.0,2.0,66.41351577398956,46.0,90.0,28.228372133617505,Random walk,EpiEstim,Marginalised
52,0.8095724658509756,70,0.9739565543812252,0.83,1.12,2.0000526553063054,2.0,2.0,98.26182584981599,72.0,127.0,20.56029597114139,Random walk,EpiEstim,Marginalised
53,0.7357677958523211,53,0.7246997056641252,0.6,0.8599999999999999,2.000006395425709,2.0,2.0,68.87671578548883,47.0,93.0,10.03032498337763,Random walk,EpiEstim,Marginalised
54,0.6825305451890074,76,0.7851488921097031,0.66,0.9300000000000002,2.0000297432511855,2.0,2.0,51.868153131446945,34.0,73.0,18.578470349192568,Random walk,EpiEstim,Marginalised
55,0.6459232326641831,48,0.7812900770809776,0.65,0.92,2.0000810866015706,2.0,2.0,74.4919858082707,52.0,100.0,19.730543183282663,Random walk,EpiEstim,Marginalised
56,0.6533078267460641,55,0.6733808774928285,0.55,0.8099999999999999,2.000117868673134,2.0,2.0,46.95270149946806,30.0,67.0,5.015628797009759,Random walk,EpiEstim,Marginalised
57,0.6545467876315437,55,0.749495905697029,0.62,0.9,2.000123727829807,2.0,2.0,53.449772214897784,35.0,75.0,2.5378960606595404,Random walk,EpiEstim,Marginalised
58,0.7403030048880206,67,0.8675208270201789,0.72,1.03,2.000072429092063,2.0,2.0,53.47831255651475,35.0,75.0,8.862401514865983,Random walk,EpiEstim,Marginalised
59,0.6299114130566966,38,0.7758527575816386,0.64,0.9300000000000002,2.000365932587309,2.0,2.0,65.75236045487236,45.0,89.0,21.367608219082015,Random walk,EpiEstim,Marginalised
60,0.6647846418899696,51,0.6830310287718773,0.55,0.83,2.0013736604550245,2.0,2.0,37.29985083666827,22.0,55.0,9.46394263485997,Random walk,EpiEstim,Marginalised
61,0.5996275479920967,39,0.7200062965606775,0.5800000000000001,0.8799999999999999,2.001963281427109,2.0,2.0,49.703247015033014,32.0,70.0,6.302312577666085,Random walk,EpiEstim,Marginalised
62,0.6239081994469086,26,0.5462700376672227,0.42,0.6900000000000001,2.0003340565870222,2.0,2.0,37.99264708251194,23.0,56.0,7.588102063898002,Random walk,EpiEstim,Marginalised
63,0.6598634125902005,24,0.44658003462003704,0.33,0.5800000000000001,2.000195178298534,2.0,2.0,25.21389349477501,13.0,40.0,1.6466499445501106,Random walk,EpiEstim,Marginalised
64,0.7171155439501588,38,0.5928333104433806,0.45999999999999996,0.75,2.000204484934415,2.0,2.0,23.00057861946682,11.0,37.0,11.40927628806309,Random walk,EpiEstim,Marginalised
65,0.925592364770454,59,0.9949098125110403,0.8099999999999999,1.2,2.000000580202627,2.0,2.0,36.1466194374963,21.0,54.0,18.21453041913572,Random walk,EpiEstim,Marginalised
66,0.9871077381166382,67,1.359885251350394,1.1300000000000001,1.6099999999999999,2.000000047648184,2.0,2.0,57.76677033489026,38.0,80.0,5.727622796920423,Random walk,EpiEstim,Marginalised
67,1.0243582765733084,39,1.1596956312037237,0.95,1.39,2.0000000756993424,2.0,2.0,68.36406324923978,47.0,93.0,22.786260126880787,Random walk,EpiEstim,Marginalised
68,0.8737991375347693,38,0.8390537180818487,0.66,1.0399999999999998,2.000000015275226,2.0,2.0,40.043007390019895,24.0,59.0,2.1851908181658444,Random walk,EpiEstim,Marginalised
69,0.9094440235494591,29,0.7321813730100779,0.5700000000000001,0.92,2.0000000135035787,2.0,2.0,38.550218538668986,23.0,57.0,5.599926930404523,Random walk,EpiEstim,Marginalised
