t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,simulation,model,fit
1,1.616875,13,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1133.5529400367982,SIR,EpiEstim,Marginalised
2,1.6147625,22,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1124.647098711602,SIR,EpiEstim,Marginalised
3,1.6111875,21,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1125.634311731073,SIR,EpiEstim,Marginalised
4,1.607775,12,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1134.5453840937582,SIR,EpiEstim,Marginalised
5,1.6058249999999998,12,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1134.5453840937582,SIR,EpiEstim,Marginalised
6,1.603875,17,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1129.5889760728342,SIR,EpiEstim,Marginalised
7,1.6011125,14,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1132.5610772062257,SIR,EpiEstim,Marginalised
8,1.5988375,14,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1132.5610772062257,SIR,EpiEstim,Marginalised
9,1.5965625,19,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1127.6104814491782,SIR,EpiEstim,Marginalised
10,1.593475,31,5.005,0.25,9.75,15.5,1.0,30.0,1720.0000000000005,86.0,3354.0,1115.7883367238078,SIR,EpiEstim,Marginalised
11,1.5884375,21,1.1942764814436446,0.99,1.4200000000000002,16.910802688603933,4.0,30.0,23.006963865904087,13.0,34.0,1.3844970931026803,SIR,EpiEstim,Marginalised
12,1.5850250000000001,20,1.1725216952559019,0.9800000000000001,1.37,17.21156297877318,5.0,30.0,22.896257643804173,13.0,34.0,1.7329484140093374,SIR,EpiEstim,Marginalised
13,1.5817750000000002,30,1.2302513023003,1.05,1.46,17.278810571293214,4.0,30.0,22.995898407223216,13.0,34.0,4.617135981614682,SIR,EpiEstim,Marginalised
14,1.5769,30,1.2601239676295921,1.09,1.51,17.0703372291365,4.0,30.0,26.298795969310493,16.0,38.0,2.366717117771489,SIR,EpiEstim,Marginalised
15,1.572025,35,1.3076510535531556,1.1300000000000001,1.57,15.972776663468998,4.0,30.0,28.949033619321106,18.0,41.0,3.7966341836064124,SIR,EpiEstim,Marginalised
16,1.5663375,37,1.344659576590586,1.1600000000000001,1.6099999999999999,14.934391826608303,4.0,30.0,32.80124795595548,21.0,46.0,2.7002263165228917,SIR,EpiEstim,Marginalised
17,1.5603250000000002,26,1.2724078257745857,1.12,1.4700000000000002,17.80216006538217,5.0,30.0,35.22392144284675,23.0,49.0,5.866325609593982,SIR,EpiEstim,Marginalised
18,1.5561,37,1.2879407902876534,1.1400000000000001,1.49,17.6344763220037,5.0,30.0,34.03821506866501,22.0,47.0,2.1025637185495287,SIR,EpiEstim,Marginalised
19,1.5500875,46,1.3413538508629612,1.18,1.5499999999999998,15.813749624208807,5.0,30.0,36.95041932538725,25.0,51.0,5.94738540681174,SIR,EpiEstim,Marginalised
20,1.5426125000000002,33,1.293092543730495,1.1600000000000001,1.46,17.73711137603022,5.0,30.0,41.29072515677485,28.0,56.0,5.0230172604153225,SIR,EpiEstim,Marginalised
21,1.53725,50,1.3316522493425735,1.19,1.51,16.5481305474368,5.0,30.0,40.8807405863281,28.0,55.0,5.935774273602833,SIR,EpiEstim,Marginalised
22,1.5291249999999998,58,1.3901550281746344,1.24,1.5899999999999999,14.132663730481113,4.0,30.0,46.34518701091317,32.0,62.0,7.929606834347368,SIR,EpiEstim,Marginalised
23,1.5197,59,1.4228198132318728,1.27,1.62,12.831775041001983,4.0,29.0,53.55618477568725,38.0,70.0,3.4321001430507465,SIR,EpiEstim,Marginalised
24,1.5101125,69,1.4929228616375014,1.32,1.72,10.387496155580543,4.0,28.0,60.585995825463804,44.0,79.0,5.211329716727139,SIR,EpiEstim,Marginalised
