k,p,simulation,model
1,1.7682485802360022e-90,SIR,EpiEstim
2,2.3480227320589902e-8,SIR,EpiEstim
3,0.0017366650422307702,SIR,EpiEstim
4,0.8631080599697133,SIR,EpiEstim
5,0.10824435526663163,SIR,EpiEstim
6,0.026045108560473332,SIR,EpiEstim
7,0.0008577669834526868,SIR,EpiEstim
8,7.598649236789712e-6,SIR,EpiEstim
9,4.121175263493749e-7,SIR,EpiEstim
10,9.911765173232636e-9,SIR,EpiEstim
11,1.8675078010234863e-11,SIR,EpiEstim
12,6.671532573493253e-14,SIR,EpiEstim
13,9.30865256506159e-16,SIR,EpiEstim
14,3.418915646493179e-18,SIR,EpiEstim
15,8.270945138047214e-21,SIR,EpiEstim
16,8.43345903305132e-24,SIR,EpiEstim
17,1.0516417469576009e-26,SIR,EpiEstim
18,6.561713615563726e-30,SIR,EpiEstim
19,4.4352375752105586e-33,SIR,EpiEstim
20,1.3839667632222884e-36,SIR,EpiEstim
21,9.231614899533946e-40,SIR,EpiEstim
22,5.6646843319674515e-43,SIR,EpiEstim
23,2.8728669460642747e-46,SIR,EpiEstim
24,1.6680126514568568e-49,SIR,EpiEstim
25,1.9390698983464658e-52,SIR,EpiEstim
26,1.4981203872798302e-55,SIR,EpiEstim
27,1.3427349001912044e-58,SIR,EpiEstim
28,1.4038926257438622e-61,SIR,EpiEstim
29,9.029730598244445e-65,SIR,EpiEstim
30,7.1423588536444505e-68,SIR,EpiEstim
1,9.58984641866403e-78,SIR (with noise),EpiEstim
2,2.309445604159714e-11,SIR (with noise),EpiEstim
3,9.758165082580908e-5,SIR (with noise),EpiEstim
4,0.9897475187570004,SIR (with noise),EpiEstim
5,0.010043020487357812,SIR (with noise),EpiEstim
6,8.523992347825212e-5,SIR (with noise),EpiEstim
7,2.6290609732979215e-5,SIR (with noise),EpiEstim
8,3.472028713373381e-7,SIR (with noise),EpiEstim
9,1.31796984524876e-9,SIR (with noise),EpiEstim
10,2.7342566280198677e-11,SIR (with noise),EpiEstim
11,3.246011320172001e-13,SIR (with noise),EpiEstim
12,1.986021614335311e-15,SIR (with noise),EpiEstim
13,1.5473707178357675e-17,SIR (with noise),EpiEstim
14,5.647663922809201e-20,SIR (with noise),EpiEstim
15,1.3743262447398942e-22,SIR (with noise),EpiEstim
16,3.181323513374288e-25,SIR (with noise),EpiEstim
17,4.187185856181906e-28,SIR (with noise),EpiEstim
18,5.0804488364733405e-31,SIR (with noise),EpiEstim
19,3.8508466160539925e-34,SIR (with noise),EpiEstim
20,2.449429890098468e-37,SIR (with noise),EpiEstim
21,8.061541996034609e-41,SIR (with noise),EpiEstim
22,4.855635998589728e-44,SIR (with noise),EpiEstim
23,3.4287929702194393e-47,SIR (with noise),EpiEstim
24,1.621452913965148e-50,SIR (with noise),EpiEstim
25,1.5906777354465734e-53,SIR (with noise),EpiEstim
26,1.5288354387328028e-56,SIR (with noise),EpiEstim
27,1.685978254962387e-59,SIR (with noise),EpiEstim
28,1.3589104795930675e-62,SIR (with noise),EpiEstim
29,7.729894272850968e-66,SIR (with noise),EpiEstim
30,8.834843347259663e-69,SIR (with noise),EpiEstim
