t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,simulation,model,fit
1,1.05075579797784,109,5.00500000000001,0.23533834586466165,9.749624060150376,0.5004999999999998,0.026037593984962405,0.9749624060150376,1480.0000000000034,74,2886,881.5493639536301,Random walk,EpiFilter,SI Uncertainty
2,1.15900937123493,123,1.13720794734039,0.936390977443609,1.3369924812030074,0.5004999999999998,0.026037593984962405,0.9749624060150376,527.8510351493175,22,1058,240.1653051561492,Random walk,EpiFilter,SI Uncertainty
3,1.27904687521183,132,1.1671857936514978,0.9864661654135338,1.36203007518797,0.5004999999999998,0.026037593984962405,0.9749624060150376,136.83796944054663,22,291,12.216462062447361,Random walk,EpiFilter,SI Uncertainty
4,1.25432592311175,130,1.1156192479877016,0.936390977443609,1.311954887218045,0.5004999999999998,0.026037593984962405,0.9749624060150376,145.44496415492466,24,308,13.36427118637298,Random walk,EpiFilter,SI Uncertainty
5,1.21901276609247,132,1.1011730636515151,0.936390977443609,1.2869172932330828,0.5004999999999998,0.026037593984962405,0.9749624060150376,143.31337254549643,23,305,12.854396868624603,Random walk,EpiFilter,SI Uncertainty
6,1.31982461556305,138,1.1240229637989003,0.9614285714285714,1.311954887218045,0.5004999999999998,0.026037593984962405,0.9749624060150376,144.39866811670262,23,308,12.744962623150904,Random walk,EpiFilter,SI Uncertainty
7,1.33426741549276,144,1.1500446526150065,0.9864661654135338,1.3369924812030074,0.5004999999999998,0.026037593984962405,0.9749624060150376,149.7649188722558,24,319,13.145941766428946,Random walk,EpiFilter,SI Uncertainty
8,1.33722605619131,154,1.2023753691630157,1.0365413533834584,1.3870676691729324,0.5004999999999998,0.026037593984962405,0.9749624060150376,155.83628896027912,26,331,13.836670857208285,Random walk,EpiFilter,SI Uncertainty
9,1.38122648595819,166,1.264566461654973,1.0866165413533835,1.4621804511278194,0.5004999999999998,0.026037593984962405,0.9749624060150376,165.9511706429433,28,350,14.815271515390686,Random walk,EpiFilter,SI Uncertainty
10,1.46980665176169,179,1.3255585065541302,1.136691729323308,1.5372932330827065,0.5004999999999998,0.026037593984962405,0.9749624060150376,178.6372713817673,31,373,15.774163887104907,Random walk,EpiFilter,SI Uncertainty
11,1.25954778340346,154,1.1410708050478249,0.9614285714285714,1.311954887218045,0.3575361791037508,0.006007518796992481,0.9499248120300752,186.80324094106453,51,361,17.594690187556594,Random walk,EpiFilter,SI Uncertainty
12,1.3479105093351,203,1.3784356506696431,1.1867669172932331,1.5873684210526315,0.34310366940007114,0.021030075187969923,0.927390977443609,167.4448938285903,44,313,23.497327398963545,Random walk,EpiFilter,SI Uncertainty
13,1.35394452271656,184,1.2604268785016994,1.1116541353383458,1.4121052631578948,0.20414178808546973,0.008511278195488721,0.7871804511278195,200.37475096567488,104,325,9.681933546039732,Random walk,EpiFilter,SI Uncertainty
14,1.43794293409087,228,1.4359034238000241,1.2618796992481203,1.6374436090225561,0.20245488911151543,0.028541353383458645,0.6870300751879699,194.81716894048245,99,295,21.00666231072952,Random walk,EpiFilter,SI Uncertainty
15,1.32395180390399,194,1.2652817870684459,1.1116541353383458,1.4121052631578948,0.1552532432338372,0.018526315789473682,0.5167744360902256,226.93196079899442,148,326,18.20239973250107,Random walk,EpiFilter,SI Uncertainty
16,1.29365707384879,204,1.2496349558298925,1.1116541353383458,1.3870676691729324,0.11171757030144387,0.013518796992481203,0.3590375939849624,211.5148973452285,143,276,7.1917677399651225,Random walk,EpiFilter,SI Uncertainty
17,1.19042944124553,211,1.2417302233203007,1.1116541353383458,1.36203007518797,0.0835992347424634,0.011015037593984962,0.26389473684210524,215.63611857797147,160,270,5.953428581656703,Random walk,EpiFilter,SI Uncertainty
18,1.02019672710724,212,1.2203881025716121,1.0866165413533835,1.3369924812030074,0.06761278951426286,0.006007518796992481,0.20881203007518795,220.85175949848443,171,271,6.613981079919735,Random walk,EpiFilter,SI Uncertainty
19,1.13748865883978,197,1.1432163049467343,1.0115037593984961,1.2618796992481203,0.07305080478852959,0.008511278195488721,0.198796992481203,222.6958482783381,171,274,15.776270194523198,Random walk,EpiFilter,SI Uncertainty
20,1.2926471263587,230,1.1981743480263507,1.0866165413533835,1.311954887218045,0.05939078513341009,0.006007518796992481,0.1687518796992481,215.94622015148715,166,261,8.351320626147718,Random walk,EpiFilter,SI Uncertainty
21,1.24790806219295,244,1.2344927130674495,1.136691729323308,1.36203007518797,0.05257032165355219,0.0035037593984962407,0.1487218045112782,229.4235809656477,185,276,8.98517215269427,Random walk,EpiFilter,SI Uncertainty
22,1.26992577182373,223,1.1890401424036166,1.0866165413533835,1.2869172932330828,0.047197942913636805,0.0035037593984962407,0.13369924812030073,242.04765050559962,200,289,11.000494212348327,Random walk,EpiFilter,SI Uncertainty
23,1.37300234856143,276,1.2736609592384458,1.1867669172932331,1.4121052631578948,0.05104407286241931,0.0035037593984962407,0.14121052631578945,238.95495952030475,192,285,25.349731073307428,Random walk,EpiFilter,SI Uncertainty
24,1.26157750118038,285,1.3227684848971244,1.2118045112781954,1.4621804511278194,0.05607866985601901,0.008511278195488721,0.13870676691729322,264.9790756696356,218,321,12.692153062862703,Random walk,EpiFilter,SI Uncertainty
25,1.24239833405177,296,1.349275993414784,1.2368421052631577,1.4872180451127819,0.056071472969840754,0.013518796992481203,0.12869172932330827,284.2873742168901,236,341,8.607252842919177,Random walk,EpiFilter,SI Uncertainty
26,1.15133041435367,281,1.2982371721876136,1.1867669172932331,1.4121052631578948,0.0496631813042174,0.011015037593984962,0.11617293233082707,299.65232652439806,251,356,10.625963274802622,Random walk,EpiFilter,SI Uncertainty
27,0.937442694472502,202,0.9466140764418655,0.8112030075187969,1.0866165413533835,0.12252125860322316,0.06359398496240601,0.20881203007518795,298.06995894443406,218,381,73.61581410646262,Random walk,EpiFilter,SI Uncertainty
28,0.80466476571653,215,0.9173340681709804,0.8112030075187969,1.0365413533834584,0.11998852323688458,0.0686015037593985,0.198796992481203,225.0532724562654,153,295,9.38968526838752,Random walk,EpiFilter,SI Uncertainty
29,0.83997253619983,204,0.8662829586570056,0.7611278195488721,0.9614285714285714,0.11674372506123082,0.0686015037593985,0.18878195488721802,220.3474969410918,154,289,10.79655742133509,Random walk,EpiFilter,SI Uncertainty
30,0.770540542072998,177,0.7653010817261421,0.6609774436090226,0.8612781954887218,0.11745462212981551,0.07110526315789473,0.1862781954887218,207.6981052170128,143,275,18.18859821530293,Random walk,EpiFilter,SI Uncertainty
31,0.876339512072316,221,0.8969699891360938,0.7861654135338345,1.0115037593984961,0.11763727973853885,0.07110526315789473,0.1862781954887218,181.32410711792437,121,244,25.506693078840332,Random walk,EpiFilter,SI Uncertainty
32,0.935836791908507,229,0.9635781744464671,0.8612781954887218,1.0866165413533835,0.11600221451658568,0.07110526315789473,0.1812706766917293,209.15086735648674,147,277,12.659310520233491,Random walk,EpiFilter,SI Uncertainty
33,0.946752658260147,208,0.9177689098975106,0.8112030075187969,1.0365413533834584,0.11158128474562634,0.0686015037593985,0.17375939849624059,221.60964622343266,160,289,9.429602567991726,Random walk,EpiFilter,SI Uncertainty
34,0.938354461845845,189,0.8523223013978896,0.7611278195488721,0.9614285714285714,0.10922565619884282,0.06609774436090225,0.1687518796992481,208.88510667469214,149,272,11.873405194594476,Random walk,EpiFilter,SI Uncertainty
35,0.922556578053314,189,0.847252693373821,0.7360902255639097,0.9614285714285714,0.10564480573001114,0.06609774436090225,0.16374436090225564,191.36750124355854,135,250,6.680652182234519,Random walk,EpiFilter,SI Uncertainty
36,0.972493464862293,218,0.9530907722705315,0.8362406015037593,1.061578947368421,0.10592833760241155,0.06609774436090225,0.16124060150375938,186.8534203242326,132,245,19.431504498111327,Random walk,EpiFilter,SI Uncertainty
37,0.875822968174508,187,0.8843735733371558,0.7861654135338345,0.9864661654135338,0.10284300428935551,0.06359398496240601,0.15623308270676692,206.97731293747825,152,267,11.666548398807745,Random walk,EpiFilter,SI Uncertainty
