k,p,simulation,model
1,1.1622139464193255e-69,Standard,EpiEstim
2,0.6633144473696689,Standard,EpiEstim
3,0.33662755283949086,Standard,EpiEstim
4,5.799979007898281e-5,Standard,EpiEstim
5,7.611080697226273e-13,Standard,EpiEstim
6,8.619845156439185e-19,Standard,EpiEstim
7,1.2319254393378113e-24,Standard,EpiEstim
8,6.024124142201614e-29,Standard,EpiEstim
9,2.7652518345569736e-32,Standard,EpiEstim
10,9.280674603126446e-38,Standard,EpiEstim
11,1.8014284993810396e-40,Standard,EpiEstim
12,1.8364769425458027e-42,Standard,EpiEstim
13,2.7638906566089646e-45,Standard,EpiEstim
14,1.2058171865675596e-46,Standard,EpiEstim
15,2.7672794403699318e-49,Standard,EpiEstim
16,1.4938658430020697e-52,Standard,EpiEstim
17,1.6288126059784831e-56,Standard,EpiEstim
18,5.5435842610538355e-61,Standard,EpiEstim
19,3.2015991480931085e-66,Standard,EpiEstim
20,2.110965901780269e-71,Standard,EpiEstim
21,6.269529559556307e-76,Standard,EpiEstim
22,3.136541587989671e-81,Standard,EpiEstim
23,5.925250814684298e-86,Standard,EpiEstim
24,1.1784204666423225e-90,Standard,EpiEstim
25,5.086342253966556e-95,Standard,EpiEstim
26,2.4975297898943816e-99,Standard,EpiEstim
27,2.455620424287328e-104,Standard,EpiEstim
28,2.92799859331181e-109,Standard,EpiEstim
29,1.5938641531255388e-113,Standard,EpiEstim
30,3.0395953375824837e-118,Standard,EpiEstim
1,6.969106934064322e-66,Exponential(4.2),EpiEstim
2,0.0004851031478353976,Exponential(4.2),EpiEstim
3,0.6816127513874569,Exponential(4.2),EpiEstim
4,0.3178988457472462,Exponential(4.2),EpiEstim
5,3.2941322982003678e-6,Exponential(4.2),EpiEstim
6,5.580107251283328e-9,Exponential(4.2),EpiEstim
7,4.95507676289577e-12,Exponential(4.2),EpiEstim
8,8.943657928166542e-14,Exponential(4.2),EpiEstim
9,1.149138074725218e-14,Exponential(4.2),EpiEstim
10,1.712962323061148e-18,Exponential(4.2),EpiEstim
11,1.7455404523441633e-19,Exponential(4.2),EpiEstim
12,6.508228419938264e-20,Exponential(4.2),EpiEstim
13,1.9422414289562397e-21,Exponential(4.2),EpiEstim
14,2.2000405124118043e-21,Exponential(4.2),EpiEstim
15,1.300960554903814e-22,Exponential(4.2),EpiEstim
16,3.108072233421738e-24,Exponential(4.2),EpiEstim
17,2.4767673067257332e-26,Exponential(4.2),EpiEstim
18,9.724170135076888e-29,Exponential(4.2),EpiEstim
19,9.854261409453826e-32,Exponential(4.2),EpiEstim
20,1.4643006029969233e-34,Exponential(4.2),EpiEstim
21,1.1837194133744308e-36,Exponential(4.2),EpiEstim
22,1.3419231321047777e-39,Exponential(4.2),EpiEstim
23,5.712870264255894e-42,Exponential(4.2),EpiEstim
24,1.7105166761092168e-44,Exponential(4.2),EpiEstim
25,8.641035750546243e-47,Exponential(4.2),EpiEstim
26,3.64166187929374e-49,Exponential(4.2),EpiEstim
27,3.0025319432350077e-52,Exponential(4.2),EpiEstim
28,3.281090102321098e-55,Exponential(4.2),EpiEstim
29,1.9058383017617346e-57,Exponential(4.2),EpiEstim
30,2.91636639966459e-60,Exponential(4.2),EpiEstim
1,2.818304815992224e-72,Mean x1.5,EpiEstim
2,0.6057003089314944,Mean x1.5,EpiEstim
3,0.3942908353083709,Mean x1.5,EpiEstim
4,8.85576013300357e-6,Mean x1.5,EpiEstim
5,1.623447405778496e-15,Mean x1.5,EpiEstim
6,2.6255137638156656e-24,Mean x1.5,EpiEstim
7,8.97497726299476e-34,Mean x1.5,EpiEstim
8,2.772269098280459e-42,Mean x1.5,EpiEstim
9,3.789092443210642e-50,Mean x1.5,EpiEstim
10,3.2699661558687006e-60,Mean x1.5,EpiEstim
11,1.398765177460798e-67,Mean x1.5,EpiEstim
12,3.0321272436166076e-74,Mean x1.5,EpiEstim
13,8.111457252680903e-82,Mean x1.5,EpiEstim
14,6.415194463154845e-88,Mean x1.5,EpiEstim
15,2.4359869422844114e-95,Mean x1.5,EpiEstim
16,1.947924147311031e-103,Mean x1.5,EpiEstim
17,2.6747206405062803e-112,Mean x1.5,EpiEstim
18,9.154015375813775e-122,Mean x1.5,EpiEstim
19,3.5806513959787115e-132,Mean x1.5,EpiEstim
20,1.352483333261457e-142,Mean x1.5,EpiEstim
21,1.8438295125180287e-152,Mean x1.5,EpiEstim
22,3.717033996687795e-163,Mean x1.5,EpiEstim
23,3.27785475414756e-173,Mean x1.5,EpiEstim
24,4.01572419644278e-183,Mean x1.5,EpiEstim
25,1.6646622720907357e-192,Mean x1.5,EpiEstim
26,1.3548162679546472e-201,Mean x1.5,EpiEstim
27,3.1877005577510563e-211,Mean x1.5,EpiEstim
28,1.2301542879041958e-220,Mean x1.5,EpiEstim
29,2.5532510647762326e-229,Mean x1.5,EpiEstim
30,2.1423643426212066e-238,Mean x1.5,EpiEstim
