eta,p,simulation,model
0.001,1.1941486847481892e-145,Standard,EpiFilter
0.002,1.574342197480118e-145,Standard,EpiFilter
0.003,7.279861134988775e-132,Standard,EpiFilter
0.004,2.1274649710739484e-111,Standard,EpiFilter
0.005,5.973692929226887e-96,Standard,EpiFilter
0.006,2.3741318977644825e-84,Standard,EpiFilter
0.007,7.097935667401157e-75,Standard,EpiFilter
0.008,6.579586130018654e-67,Standard,EpiFilter
0.009,3.54037503176068e-60,Standard,EpiFilter
0.01,1.7747347229916924e-54,Standard,EpiFilter
0.011,1.2537099758978813e-49,Standard,EpiFilter
0.012,1.7757966716971245e-45,Standard,EpiFilter
0.013,6.749493120765691e-42,Standard,EpiFilter
0.014,8.720069788884144e-39,Standard,EpiFilter
0.015,4.631592353396158e-36,Standard,EpiFilter
0.016,1.1779243636040542e-33,Standard,EpiFilter
0.017,1.6210055200748052e-31,Standard,EpiFilter
0.018000000000000002,1.3317613153053576e-29,Standard,EpiFilter
0.019,7.071379514124351e-28,Standard,EpiFilter
0.02,2.5880209572592006e-26,Standard,EpiFilter
0.021,6.880350219906169e-25,Standard,EpiFilter
0.022000000000000002,1.3871702419666515e-23,Standard,EpiFilter
0.023,2.19764579854297e-22,Standard,EpiFilter
0.024,2.8178171749768685e-21,Standard,EpiFilter
0.025,2.9971713268385406e-20,Standard,EpiFilter
0.026000000000000002,2.7000498014870525e-19,Standard,EpiFilter
0.027,2.096677192386957e-18,Standard,EpiFilter
0.028,1.4246319110425664e-17,Standard,EpiFilter
0.028999999999999998,8.5797013325987e-17,Standard,EpiFilter
0.030000000000000002,4.630886077184612e-16,Standard,EpiFilter
0.031,2.2618781479139918e-15,Standard,EpiFilter
0.032,1.0082071446642337e-14,Standard,EpiFilter
0.033,4.131659811905873e-14,Standard,EpiFilter
0.033999999999999996,1.566888160579721e-13,Standard,EpiFilter
0.035,5.531167744814403e-13,Standard,EpiFilter
0.036000000000000004,1.8269076811249415e-12,Standard,EpiFilter
0.037,5.6723121955688655e-12,Standard,EpiFilter
0.038,1.6625294951767085e-11,Standard,EpiFilter
0.039,4.6173415205483976e-11,Standard,EpiFilter
0.04,1.2193370298876064e-10,Standard,EpiFilter
0.041,3.071334789175789e-10,Standard,EpiFilter
0.041999999999999996,7.400266455272029e-10,Standard,EpiFilter
0.043000000000000003,1.7101165040587606e-9,Standard,EpiFilter
0.044000000000000004,3.799366890166131e-9,Standard,EpiFilter
0.045,8.133372041058483e-9,Standard,EpiFilter
0.046,1.6811124534597427e-8,Standard,EpiFilter
0.047,3.361368009322914e-8,Standard,EpiFilter
0.048,6.513209315517768e-8,Standard,EpiFilter
0.049,1.225027678807176e-7,Standard,EpiFilter
0.049999999999999996,2.2399151164811016e-7,Standard,EpiFilter
0.051000000000000004,3.987218010373101e-7,Standard,EpiFilter
0.052000000000000005,6.918916562188807e-7,Standard,EpiFilter
0.053,1.171858668662128e-6,Standard,EpiFilter
0.054,1.939484274230644e-6,Standard,EpiFilter
0.055,3.140105886336221e-6,Standard,EpiFilter
0.056,4.9784392692839344e-6,Standard,EpiFilter
0.057,7.736595966674934e-6,Standard,EpiFilter
0.057999999999999996,1.1795227801503941e-5,Standard,EpiFilter
0.059000000000000004,1.7657583542688014e-5,Standard,EpiFilter
0.06,2.597598885774543e-5,Standard,EpiFilter
0.061,3.757995304422075e-5,Standard,EpiFilter
0.062,5.350478414921025e-5,Standard,EpiFilter
0.063,7.501928225490508e-5,Standard,EpiFilter
0.06399999999999999,0.00010365080637979836,Standard,EpiFilter
0.065,0.00014120580190672165,Standard,EpiFilter
0.066,0.00018978375920682066,Standard,EpiFilter
0.06699999999999999,0.0002517825722561556,Standard,EpiFilter
0.068,0.0003298933937776417,Standard,EpiFilter
0.069,0.0004270833473075704,Standard,EpiFilter
0.06999999999999999,0.0005465648532230477,Standard,EpiFilter
0.07100000000000001,0.0006917508416259564,Standard,EpiFilter
0.072,0.000866195736929342,Standard,EpiFilter
0.073,0.0010735227757125247,Standard,EpiFilter
0.07400000000000001,0.0013173389235821968,Standard,EpiFilter
0.075,0.0016011393476660135,Standard,EpiFilter
0.076,0.0019282040377923608,Standard,EpiFilter
0.07700000000000001,0.0023014897126052624,Standard,EpiFilter
0.078,0.002723520563215035,Standard,EpiFilter
0.079,0.003196281650249397,Standard,EpiFilter
0.07999999999999999,0.0037211188631179463,Standard,EpiFilter
0.081,0.004298649265682219,Standard,EpiFilter
0.082,0.00492868539331521,Standard,EpiFilter
0.08299999999999999,0.005610176645124201,Standard,EpiFilter
0.084,0.006341170353335635,Standard,EpiFilter
0.085,0.007118794437555271,Standard,EpiFilter
0.086,0.007939262798461133,Standard,EpiFilter
0.08700000000000001,0.008797903809472866,Standard,EpiFilter
0.088,0.009689211463232728,Standard,EpiFilter
0.089,0.010606917957972722,Standard,EpiFilter
0.09000000000000001,0.011544085799476468,Standard,EpiFilter
0.091,0.012493216875408232,Standard,EpiFilter
0.092,0.013446375452064493,Standard,EpiFilter
0.093,0.014395321664968564,Standard,EpiFilter
0.094,0.015331651832933845,Standard,EpiFilter
0.095,0.016246941822231846,Standard,EpiFilter
0.09599999999999999,0.01713288971974677,Standard,EpiFilter
