t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,movingaverage,model,fit
1,NaN,5,5.005,0.25,9.75,15.5,1.0,30.0,7459.999999999999,373.0,14547.0,4968.168688424895,Raw,EpiEstim,Marginalised
2,NaN,4,5.005,0.25,9.75,15.5,1.0,30.0,7459.999999999999,373.0,14547.0,4969.168018228528,Raw,EpiEstim,Marginalised
3,NaN,16,5.005,0.25,9.75,15.5,1.0,30.0,7459.999999999999,373.0,14547.0,4957.184907176989,Raw,EpiEstim,Marginalised
4,NaN,20,2.7618628833389507,2.0100000000000002,3.65,16.135085308271716,2.0,30.0,18.35128059388123,8.0,31.0,1.6592334035277418,Raw,EpiEstim,Marginalised
5,NaN,27,2.7852168506449377,2.17,3.48,16.422598929440916,2.0,30.0,26.31924354436214,15.0,40.0,1.584142817009882,Raw,EpiEstim,Marginalised
6,NaN,36,2.8112403666265076,2.3000000000000003,3.3800000000000003,16.59010544877227,3.0,30.0,35.09453422342604,22.0,50.0,1.779594356562477,Raw,EpiEstim,Marginalised
7,NaN,38,2.667540278285017,2.24,3.1300000000000003,16.7097526818873,3.0,30.0,45.606206247470524,31.0,62.0,4.389279886919145,Raw,EpiEstim,Marginalised
8,NaN,60,2.762697660054875,2.39,3.1599999999999997,16.891395670701847,4.0,30.0,53.23302289518545,37.0,71.0,4.158426231832058,Raw,EpiEstim,Marginalised
9,NaN,66,2.7331839710799115,2.41,3.07,17.013845342379348,4.0,30.0,68.7920970402876,51.0,89.0,2.5070743676170433,Raw,EpiEstim,Marginalised
10,NaN,79,2.6937953479626264,2.41,2.9899999999999998,17.095693693191862,4.0,30.0,83.9031334035771,64.0,105.0,3.265022054837901,Raw,EpiEstim,Marginalised
11,NaN,77,2.5402760885922087,2.27,2.8,16.44965578563289,3.0,30.0,100.43668268967356,79.0,124.0,17.062705715098346,Raw,EpiEstim,Marginalised
12,NaN,78,2.1703336473096657,1.6999999999999997,2.55,8.47927656388713,2.0,29.0,103.04813175154281,72.0,132.0,17.009640013480723,Raw,EpiEstim,Marginalised
13,NaN,54,1.4169455296232472,1.18,1.6800000000000002,2.027295383566788,2.0,3.0,89.75004685000262,64.0,118.0,27.97271752759557,Raw,EpiEstim,Marginalised
14,NaN,63,1.133842539688893,0.94,1.3599999999999999,2.0154416278940386,2.0,2.0,59.45990499042464,39.0,83.0,3.2114216583497317,Raw,EpiEstim,Marginalised
15,NaN,58,1.0979617253005387,0.9099999999999999,1.3,2.019354998409647,2.0,2.0,66.9282717139644,46.0,91.0,5.088637884730482,Raw,EpiEstim,Marginalised
16,NaN,44,0.8927492685698248,0.73,1.07,2.0070763596731496,2.0,2.0,60.49716633045708,40.0,84.0,10.734871821894556,Raw,EpiEstim,Marginalised
17,NaN,28,0.6231659533349255,0.49,0.77,2.0004951440574796,2.0,2.0,44.91213252065198,28.0,65.0,11.730606219371111,Raw,EpiEstim,Marginalised
18,NaN,22,0.442023600187419,0.33,0.5700000000000001,2.0001072398146387,2.0,2.0,27.985727149172533,15.0,44.0,3.332192271628996,Raw,EpiEstim,Marginalised
19,NaN,24,0.42678237518677875,0.31,0.56,2.0001351392340303,2.0,2.0,21.54449956945341,10.0,35.0,2.0089180788102463,Raw,EpiEstim,Marginalised
20,NaN,15,0.38954757346542057,0.28,0.52,2.0001824234199805,2.0,2.0,23.014792076653382,11.0,37.0,4.790373463229987,Raw,EpiEstim,Marginalised
21,NaN,26,0.44649276124502074,0.32,0.59,2.000393011785533,2.0,2.0,14.45620028677158,6.0,26.0,8.75296675011553,Raw,EpiEstim,Marginalised
22,NaN,13,0.46823097759404186,0.33,0.62,2.0014926892800893,2.0,2.0,24.412003553809893,12.0,39.0,7.705371012921297,Raw,EpiEstim,Marginalised
23,NaN,14,0.3624097252181183,0.24000000000000002,0.51,2.001532948556854,2.0,2.0,12.550255840692623,4.0,23.0,1.412257238405757,Raw,EpiEstim,Marginalised
24,NaN,10,0.3601939966265537,0.23,0.51,2.001968735742195,2.0,2.0,13.345249268594134,5.0,24.0,1.826388288656172,Raw,EpiEstim,Marginalised
25,NaN,22,0.5332350548606791,0.37,0.73,2.0015126462873,2.0,2.0,9.702690948848689,3.0,19.0,9.960539914308796,Raw,EpiEstim,Marginalised
26,NaN,15,0.6851269127076683,0.48,0.92,2.0025284092940625,2.0,2.0,20.651246378828233,10.0,34.0,3.145215378994026,Raw,EpiEstim,Marginalised
27,NaN,40,1.1100678828709913,0.8400000000000001,1.4200000000000002,2.0012619322317864,2.0,2.0,14.52869223437178,6.0,26.0,22.531603371525815,Raw,EpiEstim,Marginalised
28,NaN,14,1.139046472486172,0.8400000000000001,1.4700000000000002,2.0722178254210384,2.0,3.0,38.751253487440785,21.0,58.0,19.476305215950823,Raw,EpiEstim,Marginalised
29,NaN,10,0.5371355922408169,0.35000000000000003,0.77,2.001018487016996,2.0,2.0,14.542602578874305,6.0,26.0,2.4652824993667224,Raw,EpiEstim,Marginalised
30,NaN,16,0.6002004983337506,0.4,0.8500000000000001,2.001464768254232,2.0,2.0,10.406375481758596,3.0,20.0,3.751554609833935,Raw,EpiEstim,Marginalised
31,NaN,10,0.6299438462133065,0.42,0.89,2.002694440026232,2.0,2.0,16.00085430884383,7.0,28.0,3.43020153034482,Raw,EpiEstim,Marginalised
32,NaN,21,0.7902819952296272,0.54,1.09,2.0048311050298575,2.0,2.0,10.235515441472351,3.0,20.0,8.384482318243379,Raw,EpiEstim,Marginalised
33,NaN,23,1.1711831704875189,0.8500000000000001,1.5399999999999998,2.001572187098811,2.0,2.0,20.87465629218338,10.0,35.0,1.8891389540576282,Raw,EpiEstim,Marginalised
34,NaN,24,1.28324594693321,0.95,1.6700000000000002,2.001662647460443,2.0,2.0,23.47761297920908,12.0,38.0,1.6352359848512141,Raw,EpiEstim,Marginalised
35,NaN,11,0.9614893617290807,0.67,1.3,2.0012392766957485,2.0,2.0,25.07047388764528,13.0,40.0,10.131027293640734,Raw,EpiEstim,Marginalised
