k,p,movingaverage,model
1,1.0252060242365694e-35,Raw,EpiEstim
2,1.0,Raw,EpiEstim
3,1.0956196601454766e-48,Raw,EpiEstim
4,3.827434714640922e-77,Raw,EpiEstim
5,3.174794763990286e-106,Raw,EpiEstim
6,2.1692207037123063e-124,Raw,EpiEstim
7,2.1257833630220713e-117,Raw,EpiEstim
8,3.6451587996719165e-112,Raw,EpiEstim
9,1.305655905539225e-119,Raw,EpiEstim
10,2.832918104591819e-133,Raw,EpiEstim
11,4.977830872686397e-151,Raw,EpiEstim
12,1.9488319411536328e-164,Raw,EpiEstim
13,1.5089942125722646e-178,Raw,EpiEstim
14,3.261974248400477e-183,Raw,EpiEstim
15,9.21846524830077e-186,Raw,EpiEstim
16,2.582036977385698e-189,Raw,EpiEstim
17,4.578970577018076e-197,Raw,EpiEstim
18,7.109180477533512e-207,Raw,EpiEstim
19,4.2795836454436474e-217,Raw,EpiEstim
20,3.8963506123418025e-227,Raw,EpiEstim
21,1.6569472709140644e-234,Raw,EpiEstim
22,3.7668878319569744e-239,Raw,EpiEstim
23,3.8392262657427086e-245,Raw,EpiEstim
24,8.583352119491799e-254,Raw,EpiEstim
25,6.068727849315987e-264,Raw,EpiEstim
26,4.646629430595618e-275,Raw,EpiEstim
27,3.282141052258394e-286,Raw,EpiEstim
28,9.511721790373945e-296,Raw,EpiEstim
29,4.785563672052448e-303,Raw,EpiEstim
30,8.555565411126e-312,Raw,EpiEstim
1,2.6956126671705104e-184,5-day,EpiEstim
2,0.9999999964540125,5-day,EpiEstim
3,3.5459875418837705e-9,5-day,EpiEstim
4,2.6852408785085682e-24,5-day,EpiEstim
5,4.139350688881314e-40,5-day,EpiEstim
6,5.407716159007464e-54,5-day,EpiEstim
7,4.154049706697521e-64,5-day,EpiEstim
8,7.906567953722502e-73,5-day,EpiEstim
9,2.2613036811682913e-82,5-day,EpiEstim
10,7.1231665122856465e-93,5-day,EpiEstim
11,1.4060315720900467e-103,5-day,EpiEstim
12,7.988993989443691e-114,5-day,EpiEstim
13,4.338813410510748e-123,5-day,EpiEstim
14,7.181236257247652e-131,5-day,EpiEstim
15,6.989587909751325e-138,5-day,EpiEstim
16,6.3402981242955756e-145,5-day,EpiEstim
17,1.6289477153927006e-152,5-day,EpiEstim
18,1.6792690435398338e-160,5-day,EpiEstim
19,1.2300433703845976e-168,5-day,EpiEstim
20,1.3889550244919985e-176,5-day,EpiEstim
21,3.1048389923876835e-184,5-day,EpiEstim
22,9.981032849120092e-192,5-day,EpiEstim
23,1.4952959011714756e-199,5-day,EpiEstim
24,5.950131855250952e-208,5-day,EpiEstim
25,7.831491217540071e-217,5-day,EpiEstim
26,4.338079764990492e-226,5-day,EpiEstim
27,1.7527560455027806e-235,5-day,EpiEstim
28,8.756816801788435e-245,5-day,EpiEstim
29,5.51355095195856e-254,5-day,EpiEstim
30,2.9086532994872896e-263,5-day,EpiEstim
1,5.397837809558488e-200,10-day,EpiEstim
2,7.489278133488324e-5,10-day,EpiEstim
3,0.9997374155595976,10-day,EpiEstim
4,0.00018769160206703712,10-day,EpiEstim
5,5.700024700635608e-11,10-day,EpiEstim
6,5.108114594833112e-18,10-day,EpiEstim
7,4.791629727226812e-25,10-day,EpiEstim
8,3.932623571911191e-32,10-day,EpiEstim
9,1.308311210959792e-39,10-day,EpiEstim
10,1.3154658022087527e-47,10-day,EpiEstim
11,1.0250460256971121e-55,10-day,EpiEstim
12,5.9877833526597076e-64,10-day,EpiEstim
13,3.200867760888356e-72,10-day,EpiEstim
14,2.7725281781827387e-80,10-day,EpiEstim
15,3.5882677102929726e-88,10-day,EpiEstim
16,5.681411584759783e-96,10-day,EpiEstim
17,9.276360822459348e-104,10-day,EpiEstim
18,1.3788148424677202e-111,10-day,EpiEstim
19,1.821429511641125e-119,10-day,EpiEstim
20,2.5018717005699087e-127,10-day,EpiEstim
21,4.231018476551385e-135,10-day,EpiEstim
22,9.274677927209642e-143,10-day,EpiEstim
23,1.854709934330376e-150,10-day,EpiEstim
24,2.5925018897056747e-158,10-day,EpiEstim
25,2.2602441430519943e-166,10-day,EpiEstim
26,1.2602134462517485e-174,10-day,EpiEstim
27,5.666990673223203e-183,10-day,EpiEstim
28,2.5760156291905523e-191,10-day,EpiEstim
29,1.3097655602249818e-199,10-day,EpiEstim
30,6.725582879633181e-208,10-day,EpiEstim
