eta,p,movingaverage,model
0.001,0.0,Raw,EpiFilter
0.002,0.0,Raw,EpiFilter
0.003,0.0,Raw,EpiFilter
0.004,0.0,Raw,EpiFilter
0.005,0.0,Raw,EpiFilter
0.006,0.0,Raw,EpiFilter
0.007,0.0,Raw,EpiFilter
0.008,0.0,Raw,EpiFilter
0.009,8.76283356207e-312,Raw,EpiFilter
0.01,3.361467802129819e-294,Raw,EpiFilter
0.011,2.7427761882365898e-279,Raw,EpiFilter
0.012,1.9891769601187963e-266,Raw,EpiFilter
0.013,3.6653760162456856e-255,Raw,EpiFilter
0.014,3.729476571229254e-245,Raw,EpiFilter
0.015,3.7364063954768905e-236,Raw,EpiFilter
0.016,5.694607817137289e-228,Raw,EpiFilter
0.017,1.8374950338718957e-220,Raw,EpiFilter
0.018000000000000002,1.618040843241321e-213,Raw,EpiFilter
0.019,4.7355932996546195e-207,Raw,EpiFilter
0.02,5.3782223459772735e-201,Raw,EpiFilter
0.021,2.680603347540997e-195,Raw,EpiFilter
0.022000000000000002,6.47341071413511e-190,Raw,EpiFilter
0.023,8.20927892448217e-185,Raw,EpiFilter
0.024,5.8415361137691094e-180,Raw,EpiFilter
0.025,2.4646798012302454e-175,Raw,EpiFilter
0.026000000000000002,6.459217050754375e-171,Raw,EpiFilter
0.027,1.0938460449887427e-166,Raw,EpiFilter
0.028,1.2383859841487602e-162,Raw,EpiFilter
0.028999999999999998,9.653905996552281e-159,Raw,EpiFilter
0.030000000000000002,5.317854484497385e-155,Raw,EpiFilter
0.031,2.1178287827462326e-151,Raw,EpiFilter
0.032,6.223246951014292e-148,Raw,EpiFilter
0.033,1.3742219654873635e-144,Raw,EpiFilter
0.033999999999999996,2.3183724037731548e-141,Raw,EpiFilter
0.035,3.033278474359124e-138,Raw,EpiFilter
0.036000000000000004,3.120292322373239e-135,Raw,EpiFilter
0.037,2.5555995860860303e-132,Raw,EpiFilter
0.038,1.685917853461697e-129,Raw,EpiFilter
0.039,9.054814740013206e-127,Raw,EpiFilter
0.04,3.998898270207066e-124,Raw,EpiFilter
0.041,1.4656738913105315e-121,Raw,EpiFilter
0.041999999999999996,4.496971608023065e-119,Raw,EpiFilter
0.043000000000000003,1.1643818114309664e-116,Raw,EpiFilter
0.044000000000000004,2.563594737136322e-114,Raw,EpiFilter
0.045,4.833561632780179e-112,Raw,EpiFilter
0.046,7.856884130531546e-110,Raw,EpiFilter
0.047,1.1079773352726725e-107,Raw,EpiFilter
0.048,1.3635946127530246e-105,Raw,EpiFilter
0.049,1.4728072858093125e-103,Raw,EpiFilter
0.049999999999999996,1.4034975102806433e-101,Raw,EpiFilter
0.051000000000000004,1.1859248615063308e-99,Raw,EpiFilter
0.052000000000000005,8.927742700200857e-98,Raw,EpiFilter
0.053,6.014734348198729e-96,Raw,EpiFilter
0.054,3.6419340253952767e-94,Raw,EpiFilter
0.055,1.98996178270056e-92,Raw,EpiFilter
0.056,9.849681740320783e-91,Raw,EpiFilter
