k,p,simulation,model,TrueParam,iter
1,8.694013557016862e-112,Random walk,EpiEstim,0.01,1
2,2.862353671229206e-9,Random walk,EpiEstim,0.01,1
3,0.000444795051686494,Random walk,EpiEstim,0.01,1
4,0.001262797836587344,Random walk,EpiEstim,0.01,1
5,0.008716400064914902,Random walk,EpiEstim,0.01,1
6,0.05562837634348028,Random walk,EpiEstim,0.01,1
7,0.35797147721552053,Random walk,EpiEstim,0.01,1
8,0.1657692189079356,Random walk,EpiEstim,0.01,1
9,0.05767362381272504,Random walk,EpiEstim,0.01,1
10,0.0736519428621152,Random walk,EpiEstim,0.01,1
11,0.026451505191221143,Random walk,EpiEstim,0.01,1
12,0.05601797284623857,Random walk,EpiEstim,0.01,1
13,0.050019423873456655,Random walk,EpiEstim,0.01,1
14,0.028495643091982586,Random walk,EpiEstim,0.01,1
15,0.023393275439453316,Random walk,EpiEstim,0.01,1
16,0.008174669301489659,Random walk,EpiEstim,0.01,1
17,0.017151404863027454,Random walk,EpiEstim,0.01,1
18,0.01363469670867682,Random walk,EpiEstim,0.01,1
19,0.011494630585778511,Random walk,EpiEstim,0.01,1
20,0.013501220031933832,Random walk,EpiEstim,0.01,1
21,0.0058453354112490835,Random walk,EpiEstim,0.01,1
22,0.0020793471667870456,Random walk,EpiEstim,0.01,1
23,0.0019259630105714074,Random walk,EpiEstim,0.01,1
24,0.0025416754298709797,Random walk,EpiEstim,0.01,1
25,0.002078112634277086,Random walk,EpiEstim,0.01,1
26,0.00392533053124762,Random walk,EpiEstim,0.01,1
27,0.003173251851442953,Random walk,EpiEstim,0.01,1
28,0.002501046776441693,Random walk,EpiEstim,0.01,1
29,0.003709198566278531,Random walk,EpiEstim,0.01,1
30,0.0027676617312560286,Random walk,EpiEstim,0.01,1
1,1.2067049709860123e-85,Random walk,EpiEstim,0.05,1
2,2.328633681863989e-6,Random walk,EpiEstim,0.05,1
3,1.691383803336921e-5,Random walk,EpiEstim,0.05,1
4,0.010148895567979783,Random walk,EpiEstim,0.05,1
5,0.5744462750721447,Random walk,EpiEstim,0.05,1
6,0.26379003293215486,Random walk,EpiEstim,0.05,1
7,0.1024295689640995,Random walk,EpiEstim,0.05,1
8,0.014178478748008948,Random walk,EpiEstim,0.05,1
9,0.011279676730651946,Random walk,EpiEstim,0.05,1
10,0.018624534155951403,Random walk,EpiEstim,0.05,1
11,0.0039898348846289025,Random walk,EpiEstim,0.05,1
12,0.00023017364265604106,Random walk,EpiEstim,0.05,1
13,0.00016770255508313274,Random walk,EpiEstim,0.05,1
14,0.00025561042400214305,Random walk,EpiEstim,0.05,1
15,0.00011422146397836307,Random walk,EpiEstim,0.05,1
16,5.7053985846100464e-5,Random walk,EpiEstim,0.05,1
17,0.00018009383772388441,Random walk,EpiEstim,0.05,1
18,8.077344112001802e-5,Random walk,EpiEstim,0.05,1
19,5.2674524480047055e-6,Random walk,EpiEstim,0.05,1
20,1.5854863674930504e-6,Random walk,EpiEstim,0.05,1
21,3.874071285389648e-7,Random walk,EpiEstim,0.05,1
22,3.13964312268972e-7,Random walk,EpiEstim,0.05,1
23,1.7418039171841436e-7,Random walk,EpiEstim,0.05,1
24,2.0222957826260147e-8,Random walk,EpiEstim,0.05,1
25,5.9165959714109146e-9,Random walk,EpiEstim,0.05,1
26,1.427277080519754e-8,Random walk,EpiEstim,0.05,1
27,1.504514532713068e-8,Random walk,EpiEstim,0.05,1
28,1.345661952072975e-8,Random walk,EpiEstim,0.05,1
29,1.2338036420065714e-8,Random walk,EpiEstim,0.05,1
