k,p,simulation,model,TrueParam,iter
1,6.657494628534243e-57,Sinusoidal,EpiEstim,10,1
2,1.0,Sinusoidal,EpiEstim,10,1
3,1.0620099841810478e-54,Sinusoidal,EpiEstim,10,1
4,3.964038555760823e-123,Sinusoidal,EpiEstim,10,1
5,7.229545697042576e-185,Sinusoidal,EpiEstim,10,1
6,3.4801119417348107e-225,Sinusoidal,EpiEstim,10,1
7,5.226738113901747e-238,Sinusoidal,EpiEstim,10,1
8,1.4397963748240977e-224,Sinusoidal,EpiEstim,10,1
9,2.5846966511639154e-191,Sinusoidal,EpiEstim,10,1
10,2.8245872269192585e-150,Sinusoidal,EpiEstim,10,1
11,1.1184559585697096e-114,Sinusoidal,EpiEstim,10,1
12,4.590671294979481e-92,Sinusoidal,EpiEstim,10,1
13,2.8408237662900086e-87,Sinusoidal,EpiEstim,10,1
14,3.627602652382579e-98,Sinusoidal,EpiEstim,10,1
15,1.0835464169953968e-118,Sinusoidal,EpiEstim,10,1
16,1.3965636121466896e-140,Sinusoidal,EpiEstim,10,1
17,4.946410966100877e-155,Sinusoidal,EpiEstim,10,1
18,6.16520342377764e-159,Sinusoidal,EpiEstim,10,1
19,2.172474987892791e-151,Sinusoidal,EpiEstim,10,1
20,4.484032152017727e-137,Sinusoidal,EpiEstim,10,1
21,2.995299569733638e-121,Sinusoidal,EpiEstim,10,1
22,7.176339996913449e-110,Sinusoidal,EpiEstim,10,1
23,1.154916157290692e-106,Sinusoidal,EpiEstim,10,1
24,9.180705544169084e-112,Sinusoidal,EpiEstim,10,1
25,2.3571928901841023e-122,Sinusoidal,EpiEstim,10,1
26,2.747781623839885e-134,Sinusoidal,EpiEstim,10,1
27,3.449577514419701e-143,Sinusoidal,EpiEstim,10,1
28,4.343118399255446e-146,Sinusoidal,EpiEstim,10,1
29,9.898921969132047e-143,Sinusoidal,EpiEstim,10,1
30,2.1050196624513402e-134,Sinusoidal,EpiEstim,10,1
1,2.4122485540575988e-76,Sinusoidal,EpiEstim,15,1
2,1.0,Sinusoidal,EpiEstim,15,1
3,1.2244294005347409e-32,Sinusoidal,EpiEstim,15,1
4,1.7905059403657067e-76,Sinusoidal,EpiEstim,15,1
5,3.5558007663545504e-129,Sinusoidal,EpiEstim,15,1
6,5.856618451509747e-181,Sinusoidal,EpiEstim,15,1
7,7.72783683498398e-228,Sinusoidal,EpiEstim,15,1
8,3.67906442261364e-265,Sinusoidal,EpiEstim,15,1
9,2.3817896565950667e-289,Sinusoidal,EpiEstim,15,1
10,6.348650212638722e-301,Sinusoidal,EpiEstim,15,1
11,5.5490675297306067e-300,Sinusoidal,EpiEstim,15,1
12,2.8874867802682393e-287,Sinusoidal,EpiEstim,15,1
13,1.663033816615708e-265,Sinusoidal,EpiEstim,15,1
14,2.9021354994238924e-238,Sinusoidal,EpiEstim,15,1
15,8.263699416782572e-210,Sinusoidal,EpiEstim,15,1
16,1.996330601621333e-184,Sinusoidal,EpiEstim,15,1
17,2.0926683166968844e-164,Sinusoidal,EpiEstim,15,1
18,1.0917327833630862e-152,Sinusoidal,EpiEstim,15,1
19,6.036015028854239e-149,Sinusoidal,EpiEstim,15,1
20,5.978021073281809e-153,Sinusoidal,EpiEstim,15,1
21,4.264942860697625e-163,Sinusoidal,EpiEstim,15,1
22,1.1687367872200952e-176,Sinusoidal,EpiEstim,15,1
23,1.910668938072868e-191,Sinusoidal,EpiEstim,15,1
24,4.428357183373903e-205,Sinusoidal,EpiEstim,15,1
25,1.7768884173033746e-215,Sinusoidal,EpiEstim,15,1
26,1.6824050415577303e-221,Sinusoidal,EpiEstim,15,1
27,5.2474290604388884e-222,Sinusoidal,EpiEstim,15,1
28,1.0865922740868379e-217,Sinusoidal,EpiEstim,15,1
29,1.1531221345892559e-209,Sinusoidal,EpiEstim,15,1
30,1.725506322641578e-199,Sinusoidal,EpiEstim,15,1
1,1.0016128530114543e-68,Sinusoidal,EpiEstim,20,1
2,1.0,Sinusoidal,EpiEstim,20,1
3,5.730986853767983e-17,Sinusoidal,EpiEstim,20,1
4,1.8534199529463098e-54,Sinusoidal,EpiEstim,20,1
5,3.529566104026083e-98,Sinusoidal,EpiEstim,20,1
6,1.363024098342806e-146,Sinusoidal,EpiEstim,20,1
7,6.314117017863879e-197,Sinusoidal,EpiEstim,20,1
8,2.1813719486374757e-245,Sinusoidal,EpiEstim,20,1
9,2.4369449212587446e-290,Sinusoidal,EpiEstim,20,1
10,0.0,Sinusoidal,EpiEstim,20,1
11,0.0,Sinusoidal,EpiEstim,20,1
12,0.0,Sinusoidal,EpiEstim,20,1
13,0.0,Sinusoidal,EpiEstim,20,1
14,0.0,Sinusoidal,EpiEstim,20,1
15,0.0,Sinusoidal,EpiEstim,20,1
16,0.0,Sinusoidal,EpiEstim,20,1
17,0.0,Sinusoidal,EpiEstim,20,1
18,0.0,Sinusoidal,EpiEstim,20,1
19,9.89298086741684e-310,Sinusoidal,EpiEstim,20,1
20,1.3621392059656393e-284,Sinusoidal,EpiEstim,20,1
21,1.8219617398508012e-261,Sinusoidal,EpiEstim,20,1
22,2.139499664304885e-242,Sinusoidal,EpiEstim,20,1
23,4.901641614995679e-228,Sinusoidal,EpiEstim,20,1
