eta,p,simulation,model
0.001,8.028333588756109e-146,Random walk,EpiFilter
0.002,9.696518935738581e-146,Random walk,EpiFilter
0.003,2.2360304639893574e-133,Random walk,EpiFilter
0.004,4.192658838788329e-114,Random walk,EpiFilter
0.005,1.0308773227407687e-99,Random walk,EpiFilter
0.006,4.206301069476265e-89,Random walk,EpiFilter
0.007,1.6701044826747915e-80,Random walk,EpiFilter
0.008,2.5173114972140743e-73,Random walk,EpiFilter
0.009,2.694477419215249e-67,Random walk,EpiFilter
0.01,3.2399836641680755e-62,Random walk,EpiFilter
0.011,6.488393865090904e-58,Random walk,EpiFilter
0.012,3.0170318563146974e-54,Random walk,EpiFilter
0.013,4.2780269818055265e-51,Random walk,EpiFilter
0.014,2.304508138220825e-48,Random walk,EpiFilter
0.015,5.622568802124193e-46,Random walk,EpiFilter
0.016,7.148826886443089e-44,Random walk,EpiFilter
0.017,5.2982470634252975e-42,Random walk,EpiFilter
0.018000000000000002,2.5037972203741417e-40,Random walk,EpiFilter
0.019,8.10934424168e-39,Random walk,EpiFilter
0.02,1.908265358749325e-37,Random walk,EpiFilter
0.021,3.421098355951725e-36,Random walk,EpiFilter
0.022000000000000002,4.8575640683873e-35,Random walk,EpiFilter
0.023,5.6397856680376676e-34,Random walk,EpiFilter
0.024,5.4976164241000153e-33,Random walk,EpiFilter
0.025,4.599514523805489e-32,Random walk,EpiFilter
0.026000000000000002,3.364214067828393e-31,Random walk,EpiFilter
0.027,2.1849398847162333e-30,Random walk,EpiFilter
0.028,1.2767406926445344e-29,Random walk,EpiFilter
0.028999999999999998,6.788179925349145e-29,Random walk,EpiFilter
0.030000000000000002,3.3157046384023795e-28,Random walk,EpiFilter
0.031,1.5002973387372739e-27,Random walk,EpiFilter
0.032,6.33407858478157e-27,Random walk,EpiFilter
0.033,2.5108215944133592e-26,Random walk,EpiFilter
0.033999999999999996,9.396274553243659e-26,Random walk,EpiFilter
0.035,3.3357651549828913e-25,Random walk,EpiFilter
0.036000000000000004,1.1281887517823077e-24,Random walk,EpiFilter
0.037,3.648805226185024e-24,Random walk,EpiFilter
0.038,1.132288807186231e-23,Random walk,EpiFilter
0.039,3.3814257427643717e-23,Random walk,EpiFilter
0.04,9.744088577905776e-23,Random walk,EpiFilter
0.041,2.715973223216436e-22,Random walk,EpiFilter
0.041999999999999996,7.33826011818462e-22,Random walk,EpiFilter
0.043000000000000003,1.925721205124305e-21,Random walk,EpiFilter
0.044000000000000004,4.916945244179551e-21,Random walk,EpiFilter
0.045,1.2234797789570995e-20,Random walk,EpiFilter
0.046,2.971203061209795e-20,Random walk,EpiFilter
0.047,7.051481616704287e-20,Random walk,EpiFilter
0.048,1.6374538822785331e-19,Random walk,EpiFilter
0.049,3.724616727955336e-19,Random walk,EpiFilter
0.049999999999999996,8.30731517667165e-19,Random walk,EpiFilter
0.051000000000000004,1.818497940474354e-18,Random walk,EpiFilter
0.052000000000000005,3.910314196075771e-18,Random walk,EpiFilter
0.053,8.266112560573632e-18,Random walk,EpiFilter
0.054,1.7190920401229515e-17,Random walk,EpiFilter
0.055,3.519639421113372e-17,Random walk,EpiFilter
0.056,7.098547636335858e-17,Random walk,EpiFilter
0.057,1.411120668459423e-16,Random walk,EpiFilter
0.057999999999999996,2.766399861179338e-16,Random walk,EpiFilter
0.059000000000000004,5.351039213350466e-16,Random walk,EpiFilter
0.06,1.0217267922763839e-15,Random walk,EpiFilter
0.061,1.9266027114791025e-15,Random walk,EpiFilter
0.062,3.589094762806838e-15,Random walk,EpiFilter
0.063,6.6080928377459995e-15,Random walk,EpiFilter
0.06399999999999999,1.202868910182141e-14,Random walk,EpiFilter
0.065,2.165480246113305e-14,Random walk,EpiFilter
0.066,3.8567175669129216e-14,Random walk,EpiFilter
0.06699999999999999,6.797275868310024e-14,Random walk,EpiFilter
0.068,1.1858334240831983e-13,Random walk,EpiFilter
0.069,2.0483096502678575e-13,Random walk,EpiFilter
0.06999999999999999,3.503932616170757e-13,Random walk,EpiFilter
0.07100000000000001,5.937496294303619e-13,Random walk,EpiFilter
0.072,9.968557869084134e-13,Random walk,EpiFilter
0.073,1.6585618337026937e-12,Random walk,EpiFilter
0.07400000000000001,2.735179154249506e-12,Random walk,EpiFilter
0.075,4.4717230804277795e-12,Random walk,EpiFilter
0.076,7.248955000115843e-12,Random walk,EpiFilter
0.07700000000000001,1.1653599252813923e-11,Random walk,EpiFilter
0.078,1.8582255227948606e-11,Random walk,EpiFilter
0.079,2.939387671523837e-11,Random walk,EpiFilter
0.07999999999999999,4.6131655188712635e-11,Random walk,EpiFilter
