eta,p,simulation,model
0.001,1.5116031118834357e-125,SIR,EpiFilter
0.002,1.9140968575532452e-125,SIR,EpiFilter
0.003,3.5740467329835e-108,SIR,EpiFilter
0.004,5.045855336232169e-84,SIR,EpiFilter
0.005,3.243407469929389e-68,SIR,EpiFilter
0.006,1.837553148133399e-56,SIR,EpiFilter
0.007,3.7648246879712363e-47,SIR,EpiFilter
0.008,1.0336796634943478e-39,SIR,EpiFilter
0.009,9.673183284116199e-34,SIR,EpiFilter
0.01,6.404253211409536e-29,SIR,EpiFilter
0.011,5.347845925443396e-25,SIR,EpiFilter
0.012,8.836417980936147e-22,SIR,EpiFilter
0.013,4.084186408412837e-19,SIR,EpiFilter
0.014,6.881146653601732e-17,SIR,EpiFilter
0.015,5.1760234283851286e-15,SIR,EpiFilter
0.016,2.031752453424065e-13,SIR,EpiFilter
0.017,4.696745070656087e-12,SIR,EpiFilter
0.018000000000000002,7.027605674577536e-11,SIR,EpiFilter
0.019,7.332383480057664e-10,SIR,EpiFilter
0.02,5.6601846272841646e-9,SIR,EpiFilter
0.021,3.389972926908087e-8,SIR,EpiFilter
0.022000000000000002,1.6369440193726438e-7,SIR,EpiFilter
0.023,6.57592671700737e-7,SIR,EpiFilter
0.024,2.25504254602241e-6,SIR,EpiFilter
0.025,6.743589033744993e-6,SIR,EpiFilter
0.026000000000000002,1.7901493630891656e-5,SIR,EpiFilter
0.027,4.281837296165557e-5,SIR,EpiFilter
0.028,9.345137944546424e-5,SIR,EpiFilter
0.028999999999999998,0.0001881060842306673,SIR,EpiFilter
0.030000000000000002,0.00035241097263466687,SIR,EpiFilter
0.031,0.0006193427224872159,SIR,EpiFilter
0.032,0.001027980616053344,SIR,EpiFilter
0.033,0.0016208993775779445,SIR,EpiFilter
0.033999999999999996,0.0024403895282593202,SIR,EpiFilter
0.035,0.003523948224011022,SIR,EpiFilter
0.036000000000000004,0.0048996484810901325,SIR,EpiFilter
0.037,0.006582036859724401,SIR,EpiFilter
0.038,0.00856912931450475,SIR,EpiFilter
0.039,0.01084090032029307,SIR,EpiFilter
0.04,0.013359435590195144,SIR,EpiFilter
0.041,0.016070690231945975,SIR,EpiFilter
0.041999999999999996,0.01890760055140087,SIR,EpiFilter
0.043000000000000003,0.021794163537494256,SIR,EpiFilter
0.044000000000000004,0.024650032794530416,SIR,EpiFilter
0.045,0.027395179692405704,SIR,EpiFilter
0.046,0.029954221069595263,SIR,EpiFilter
0.047,0.03226010261236823,SIR,EpiFilter
0.048,0.034256932014357006,SIR,EpiFilter
0.049,0.035901862312864144,SIR,EpiFilter
0.049999999999999996,0.037166021314435936,SIR,EpiFilter
0.051000000000000004,0.03803456003236967,SIR,EpiFilter
0.052000000000000005,0.038505947953116224,SIR,EpiFilter
0.053,0.03859067550749023,SIR,EpiFilter
0.054,0.03830953656360919,SIR,EpiFilter
0.055,0.03769165977706865,SIR,EpiFilter
0.056,0.036772441561438086,SIR,EpiFilter
0.057,0.035591509601237054,SIR,EpiFilter
0.057999999999999996,0.0341908180867202,SIR,EpiFilter
0.059000000000000004,0.032612947371539844,SIR,EpiFilter
0.06,0.030899653902549663,SIR,EpiFilter
0.061,0.029090692626862424,SIR,EpiFilter
0.062,0.027222914530585632,SIR,EpiFilter
0.063,0.025329626825884695,SIR,EpiFilter
0.06399999999999999,0.023440192474975356,SIR,EpiFilter
0.065,0.02157983882536164,SIR,EpiFilter
0.066,0.019769641564409784,SIR,EpiFilter
0.06699999999999999,0.01802664933883015,SIR,EpiFilter
0.068,0.016364115577327042,SIR,EpiFilter
0.069,0.014791806697959972,SIR,EpiFilter
0.06999999999999999,0.013316359445229806,SIR,EpiFilter
0.07100000000000001,0.01194166414597582,SIR,EpiFilter
0.072,0.010669254850009798,SIR,EpiFilter
0.073,0.009498691373080199,SIR,EpiFilter
0.07400000000000001,0.0084279220073441,SIR,EpiFilter
0.075,0.007453618996116522,SIR,EpiFilter
0.076,0.006571481728337565,SIR,EpiFilter
0.07700000000000001,0.005776504978392028,SIR,EpiFilter
0.078,0.005063211413778759,SIR,EpiFilter
0.079,0.004425849052417821,SIR,EpiFilter
0.07999999999999999,0.003858555421207409,SIR,EpiFilter
0.081,0.003355490902456504,SIR,EpiFilter
0.082,0.0029109442105608235,SIR,EpiFilter
0.08299999999999999,0.0025194131718039906,SIR,EpiFilter
0.084,0.002175664034847498,SIR,EpiFilter
0.085,0.001874772462425455,SIR,EpiFilter
0.086,0.0016121491836853495,SIR,EpiFilter
0.08700000000000001,0.0013835530531972043,SIR,EpiFilter
0.088,0.001185093992358177,SIR,EpiFilter
0.089,0.0010132280019566023,SIR,EpiFilter
0.09000000000000001,0.0008647461461900772,SIR,EpiFilter
0.091,0.0007367591296813943,SIR,EpiFilter
0.092,0.0006266788275816936,SIR,EpiFilter
0.093,0.0005321978896079542,SIR,EpiFilter
0.094,0.00045126832444692116,SIR,EpiFilter
0.095,0.0003820797823246709,SIR,EpiFilter
0.09599999999999999,0.00032303809040298007,SIR,EpiFilter
0.097,0.00027274445683849304,SIR,EpiFilter
0.098,0.00022997564305709414,SIR,EpiFilter
0.09899999999999999,0.0001936653079768179,SIR,EpiFilter
0.1,0.00016288665026864758,SIR,EpiFilter
0.101,0.0001368364130025888,SIR,EpiFilter
0.102,0.0001148202669492625,SIR,EpiFilter
0.10300000000000001,9.623955231638777e-5,SIR,EpiFilter
0.104,8.05793318738927e-5,SIR,EpiFilter
0.105,6.739768954599023e-5,SIR,EpiFilter
0.10600000000000001,5.6316196109137434e-5,SIR,EpiFilter
0.107,4.701145631570602e-5,SIR,EpiFilter
0.108,3.920764844458681e-5,SIR,EpiFilter
0.109,3.266996701453127e-5,SIR,EpiFilter
0.11,2.7198881398159068e-5,SIR,EpiFilter
0.111,2.2625126701308158e-5,SIR,EpiFilter
0.11199999999999999,1.880534800310974e-5,SIR,EpiFilter
0.113,1.561832447444902e-5,SIR,EpiFilter
0.114,1.296170568277185e-5,SIR,EpiFilter
0.11499999999999999,1.0749198304227421e-5,SIR,EpiFilter
0.116,8.908147313938898e-6,SIR,EpiFilter
0.117,7.3774613803269295e-6,SIR,EpiFilter
0.118,6.10583755655196e-6,SIR,EpiFilter
0.11900000000000001,5.050245382897282e-6,SIR,EpiFilter
0.12,4.174635153486905e-6,SIR,EpiFilter
0.121,3.4488393448978265e-6,SIR,EpiFilter
0.122,2.847640052754828e-6,SIR,EpiFilter
0.123,2.3499787455823405e-6,SIR,EpiFilter
0.124,1.938287740898156e-6,SIR,EpiFilter
0.125,1.5979255591885957e-6,SIR,EpiFilter
0.126,1.316700742491495e-6,SIR,EpiFilter
0.127,1.084470862529662e-6,SIR,EpiFilter
0.128,8.928053157596754e-7,SIR,EpiFilter
0.129,7.347021357367983e-7,SIR,EpiFilter
0.13,6.043504722469203e-7,SIR,EpiFilter
0.131,4.969316155247354e-7,SIR,EpiFilter
0.13199999999999998,4.0845250470207555e-7,SIR,EpiFilter
0.13299999999999998,3.356065727213168e-7,SIR,EpiFilter
0.134,2.7565756370461677e-7,SIR,EpiFilter
0.135,2.263426298105901e-7,SIR,EpiFilter
0.136,1.857915877566656e-7,SIR,EpiFilter
