t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,simulation,model,fit
1,NaN,1,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,558.8346222486605,NZCOVID,EpiEstim,Marginalised
2,NaN,0,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,559.8334324806652,NZCOVID,EpiEstim,Marginalised
3,NaN,0,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,559.8334324806652,NZCOVID,EpiEstim,Marginalised
4,NaN,0,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,559.8334324806652,NZCOVID,EpiEstim,Marginalised
5,NaN,0,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,559.8334324806652,NZCOVID,EpiEstim,Marginalised
6,NaN,1,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,558.8346222486605,NZCOVID,EpiEstim,Marginalised
7,NaN,0,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,559.8334324806652,NZCOVID,EpiEstim,Marginalised
8,NaN,2,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,557.8370017846509,NZCOVID,EpiEstim,Marginalised
9,NaN,2,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,557.8370017846509,NZCOVID,EpiEstim,Marginalised
10,NaN,1,5.005,0.25,9.75,15.5,1.0,30.0,840.0,42.0,1638.0,558.8346222486605,NZCOVID,EpiEstim,Marginalised
11,NaN,0,1.630340621340476,0.54,3.2800000000000002,16.937573631251773,1.0,30.0,1.5634498142216173,0.0,5.0,0.7736212173014545,NZCOVID,EpiEstim,Marginalised
12,NaN,0,1.328568853723897,0.22,2.62,17.018613760657548,2.0,30.0,1.3002634688665857,0.0,4.0,0.6087538246961061,NZCOVID,EpiEstim,Marginalised
13,NaN,0,1.1266639877044549,0.09999999999999999,2.27,16.521911816295955,2.0,30.0,1.018765004901154,0.0,4.0,0.4319992243625368,NZCOVID,EpiEstim,Marginalised
14,NaN,0,0.9917395780568476,0.07,2.07,15.85035180895261,2.0,30.0,0.7857778875773942,0.0,3.0,0.2950939497447942,NZCOVID,EpiEstim,Marginalised
15,NaN,0,0.9063707389279229,0.05,1.9500000000000002,15.260447570630927,2.0,30.0,0.6095335581430145,0.0,3.0,0.1994948574870069,NZCOVID,EpiEstim,Marginalised
16,NaN,1,1.1443066457251971,0.32,2.51,16.3431249026114,2.0,30.0,0.5030515337662258,0.0,2.0,0.4041199806763166,NZCOVID,EpiEstim,Marginalised
17,NaN,1,1.3693862013001543,0.51,3.73,16.40551245973473,2.0,30.0,0.6038251830453215,0.0,3.0,0.35880936156530824,NZCOVID,EpiEstim,Marginalised
18,NaN,1,1.4704306027978928,0.5700000000000001,4.04,16.480922043273463,2.0,30.0,0.6937700285519902,0.0,3.0,0.3219034690654421,NZCOVID,EpiEstim,Marginalised
19,NaN,1,1.4745047905419923,0.6,3.8099999999999996,16.759060260879174,2.0,30.0,0.7773256435275797,0.0,3.0,0.2901279110958492,NZCOVID,EpiEstim,Marginalised
20,NaN,7,5.97159962402832,2.21,9.55,2.8100593815914627,2.0,13.0,1.5645211145391213,0.0,6.0,4.620789137307687,NZCOVID,EpiEstim,Marginalised
21,NaN,12,8.463116195611407,5.83,9.94,2.170055281748825,2.0,3.0,9.315785495330648,2.0,20.0,1.9261659641752746,NZCOVID,EpiEstim,Marginalised
22,NaN,5,5.570740238845654,1.8500000000000003,8.8,1.9677851512428493,1.0,3.0,19.14563227444528,2.0,37.0,9.7023210611259,NZCOVID,EpiEstim,Marginalised
23,NaN,18,5.770180527276902,3.47,8.57,2.28640019969521,1.0,5.0,11.916974737226656,1.0,31.0,4.334028931107052,NZCOVID,EpiEstim,Marginalised
24,NaN,11,3.6151846727073416,1.6999999999999997,5.56,2.0359179269744283,1.0,4.0,21.721480636563022,1.0,57.0,5.747022101325479,NZCOVID,EpiEstim,Marginalised
25,NaN,24,4.3101630712977625,3.02,5.76,2.5871481293712315,1.0,4.0,22.90149231531369,4.0,53.0,2.225981790043071,NZCOVID,EpiEstim,Marginalised
26,NaN,44,5.24067783929492,3.92,7.18,2.352850898898249,1.0,4.0,31.10408748942301,4.0,79.0,9.870787538211342,NZCOVID,EpiEstim,Marginalised
27,NaN,41,4.533273045790824,3.2899999999999996,5.609999999999999,2.7500915839175835,1.0,4.0,55.49444461158527,8.0,102.0,8.439103108143955,NZCOVID,EpiEstim,Marginalised
28,NaN,58,4.303080431834834,3.42,5.13,2.9595264012296734,1.0,4.0,66.1393610491851,36.0,94.0,4.802271589275745,NZCOVID,EpiEstim,Marginalised
29,NaN,84,4.2140886440548435,3.58,4.88,3.123139746042466,2.0,5.0,80.61952212616968,56.0,107.0,3.494658098053478,NZCOVID,EpiEstim,Marginalised
30,NaN,79,3.6377379395546434,3.1,4.15,3.021236922002486,2.0,4.0,111.11538376730357,82.0,143.0,23.46005450735192,NZCOVID,EpiEstim,Marginalised
31,NaN,75,2.5547033890096875,2.1100000000000003,3.0300000000000002,1.9903558890059327,1.0,3.0,105.76713703504628,70.0,144.0,19.193267046934334,NZCOVID,EpiEstim,Marginalised
32,NaN,72,1.956609172898751,1.65,2.29,1.9887265709982123,2.0,2.0,93.30551547827963,65.0,124.0,12.603470651705454,NZCOVID,EpiEstim,Marginalised
33,NaN,74,1.6481329273689127,1.39,1.93,1.9991676801181,2.0,2.0,84.06955448521124,59.0,112.0,5.638334276006004,NZCOVID,EpiEstim,Marginalised
34,NaN,52,1.2573508762342245,1.0399999999999998,1.49,1.9962313717605906,2.0,2.0,83.8264160734553,59.0,111.0,23.711605330087156,NZCOVID,EpiEstim,Marginalised
35,NaN,77,1.186100877847573,0.99,1.4,1.9988095360730866,2.0,2.0,56.51295663752015,37.0,79.0,15.136762783234484,NZCOVID,EpiEstim,Marginalised
36,NaN,73,1.3032171819990312,1.1,1.52,2.0006343391010817,2.0,2.0,81.73963826702004,58.0,109.0,5.052534691962823,NZCOVID,EpiEstim,Marginalised
37,NaN,82,1.285928701099265,1.09,1.5,2.001004173894644,2.0,2.0,76.94868750942379,54.0,103.0,3.8803338005186556,NZCOVID,EpiEstim,Marginalised
38,NaN,75,1.248450160405322,1.06,1.45,2.001313544738621,2.0,2.0,86.30910510001985,62.0,114.0,6.485227892694004,NZCOVID,EpiEstim,Marginalised
39,NaN,77,1.1629929250033042,0.99,1.3499999999999999,2.0013013984143844,2.0,2.0,78.51039102689175,55.0,105.0,2.9739361368397743,NZCOVID,EpiEstim,Marginalised
40,NaN,70,1.0891075365013647,0.92,1.27,2.0013371702546525,2.0,2.0,80.09172496613225,57.0,106.0,5.772980973850931,NZCOVID,EpiEstim,Marginalised
41,NaN,53,0.8907731763238405,0.7400000000000001,1.05,2.000415107332284,2.0,2.0,72.15069548463633,50.0,97.0,12.758192915115838,NZCOVID,EpiEstim,Marginalised
42,NaN,37,0.6482934376677252,0.52,0.79,2.0000324161882856,2.0,2.0,53.72528099565025,35.0,75.0,11.193949145763613,NZCOVID,EpiEstim,Marginalised
43,NaN,28,0.4778898811205063,0.37,0.6,2.0000064420623014,2.0,2.0,36.75310163640791,22.0,55.0,5.060660609256575,NZCOVID,EpiEstim,Marginalised
44,NaN,44,0.5522821664117512,0.43,0.6900000000000001,2.0000113411604783,2.0,2.0,27.286158252285343,14.0,43.0,12.760254332423704,NZCOVID,EpiEstim,Marginalised
45,NaN,27,0.5784042167429801,0.45,0.72,2.000044224698683,2.0,2.0,42.14730906912886,26.0,61.0,10.265806472050254,NZCOVID,EpiEstim,Marginalised
46,NaN,25,0.4556578020426175,0.33999999999999997,0.59,2.000027914016447,2.0,2.0,25.918931042796764,13.0,41.0,1.6460432109725942,NZCOVID,EpiEstim,Marginalised
47,NaN,20,0.42793394594255607,0.31,0.56,2.000031301946615,2.0,2.0,23.806999796947217,12.0,38.0,2.225834720735894,NZCOVID,EpiEstim,Marginalised
48,NaN,11,0.32557033254788237,0.22,0.45,2.0000182449381394,2.0,2.0,19.01683640065935,9.0,32.0,4.94422723812052,NZCOVID,EpiEstim,Marginalised
49,NaN,16,0.31586700661140277,0.21,0.44,2.0000350338387687,2.0,2.0,10.676766488501572,3.0,21.0,3.536096035086926,NZCOVID,EpiEstim,Marginalised
50,NaN,11,0.3544589148081594,0.24000000000000002,0.5,2.000052255306779,2.0,2.0,15.02198183097576,6.0,27.0,2.1867906332924596,NZCOVID,EpiEstim,Marginalised
51,NaN,17,0.414724262935836,0.28,0.5800000000000001,2.0000691064333496,2.0,2.0,10.522249072063758,3.0,20.0,4.464800554908338,NZCOVID,EpiEstim,Marginalised
52,NaN,12,0.4848316599499325,0.33,0.67,2.000100138906189,2.0,2.0,15.885034804443578,7.0,28.0,2.1258416451942033,NZCOVID,EpiEstim,Marginalised
53,NaN,10,0.4178316665083892,0.26,0.61,2.0001002973141095,2.0,2.0,11.500883717884363,4.0,22.0,1.1593612546949592,NZCOVID,EpiEstim,Marginalised
54,NaN,10,0.42816451514056914,0.27,0.63,2.000115603261993,2.0,2.0,9.719247165706925,3.0,19.0,1.0263007518899183,NZCOVID,EpiEstim,Marginalised
55,NaN,3,0.320151565729757,0.18000000000000002,0.51,2.000122636840136,2.0,2.0,9.727213319681754,3.0,19.0,4.40007970829743,NZCOVID,EpiEstim,Marginalised
56,NaN,6,0.2580537274286471,0.12,0.44,2.0002353531224943,2.0,2.0,3.4811527527120187,0.0,10.0,1.7432734115302746,NZCOVID,EpiEstim,Marginalised
57,NaN,5,0.3530241989986796,0.18000000000000002,0.5800000000000001,2.0002481519005655,2.0,2.0,6.049973874932877,1.0,14.0,0.796390163987353,NZCOVID,EpiEstim,Marginalised
58,NaN,5,0.37036333184824044,0.18000000000000002,0.62,2.0002834532674116,2.0,2.0,5.166440719403885,1.0,12.0,0.7014800347448444,NZCOVID,EpiEstim,Marginalised
59,NaN,6,0.46253415353577787,0.24000000000000002,0.76,2.00028280653937,2.0,2.0,5.16478146528719,1.0,12.0,0.9020815093139121,NZCOVID,EpiEstim,Marginalised
60,NaN,6,0.5703349563035162,0.3,0.92,2.0002914045184093,2.0,2.0,6.07589008010524,1.0,14.0,0.7732169899133781,NZCOVID,EpiEstim,Marginalised
61,NaN,3,0.4932585354815871,0.24000000000000002,0.8400000000000001,2.0003511421150395,2.0,2.0,6.150527240444809,1.0,14.0,1.6572800717096,NZCOVID,EpiEstim,Marginalised
62,NaN,3,0.38574089239037346,0.16,0.72,2.0003663247003045,2.0,2.0,3.4978036448147343,0.0,10.0,0.5563627192463698,NZCOVID,EpiEstim,Marginalised
63,NaN,1,0.3087938410342762,0.09999999999999999,0.63,2.0004344714756677,2.0,2.0,3.4736614409446256,0.0,10.0,1.2603111348482643,NZCOVID,EpiEstim,Marginalised
64,NaN,2,0.2796023752209257,0.08,0.61,2.0005342441225484,2.0,2.0,1.7036380521681571,0.0,6.0,0.49151130497506673,NZCOVID,EpiEstim,Marginalised
65,NaN,3,0.4800352030492537,0.18000000000000002,0.9300000000000002,2.0004239551056724,2.0,2.0,2.529033002746027,0.0,8.0,0.6165125244825326,NZCOVID,EpiEstim,Marginalised
