eta,p,simulation,model
0.001,2.823769132313268e-192,NZCOVID,EpiFilter
0.002,2.8348241254632568e-192,NZCOVID,EpiFilter
0.003,8.105300118078885e-191,NZCOVID,EpiFilter
0.004,7.337586286801798e-184,NZCOVID,EpiFilter
0.005,2.201261896497279e-177,NZCOVID,EpiFilter
0.006,2.199626757093765e-171,NZCOVID,EpiFilter
0.007,5.177682782018456e-165,NZCOVID,EpiFilter
0.008,2.4129635300951423e-158,NZCOVID,EpiFilter
0.009,1.639276147251374e-151,NZCOVID,EpiFilter
0.01,1.1945927521689987e-144,NZCOVID,EpiFilter
0.011,7.241560224832199e-138,NZCOVID,EpiFilter
0.012,3.0005920448080813e-131,NZCOVID,EpiFilter
0.013,7.366526870364834e-125,NZCOVID,EpiFilter
0.014,9.725214853706218e-119,NZCOVID,EpiFilter
0.015,6.507647091382465e-113,NZCOVID,EpiFilter
0.016,2.1432955482889036e-107,NZCOVID,EpiFilter
0.017,3.450932087357749e-102,NZCOVID,EpiFilter
0.018000000000000002,2.7429383143627674e-97,NZCOVID,EpiFilter
0.019,1.0993992029833697e-92,NZCOVID,EpiFilter
0.02,2.2871531567403182e-88,NZCOVID,EpiFilter
0.021,2.5537956844873828e-84,NZCOVID,EpiFilter
0.022000000000000002,1.586452617985099e-80,NZCOVID,EpiFilter
0.023,5.6881605272712825e-77,NZCOVID,EpiFilter
0.024,1.2207968482259824e-73,NZCOVID,EpiFilter
0.025,1.6248249599810994e-70,NZCOVID,EpiFilter
0.026000000000000002,1.3872594823278776e-67,NZCOVID,EpiFilter
0.027,7.845121818402736e-65,NZCOVID,EpiFilter
0.028,3.0281558887058115e-62,NZCOVID,EpiFilter
0.028999999999999998,8.204658778945251e-60,NZCOVID,EpiFilter
0.030000000000000002,1.6015599431655157e-57,NZCOVID,EpiFilter
0.031,2.307168650944981e-55,NZCOVID,EpiFilter
0.032,2.507942772588311e-53,NZCOVID,EpiFilter
0.033,2.0996570011170097e-51,NZCOVID,EpiFilter
0.033999999999999996,1.3795993764983537e-49,NZCOVID,EpiFilter
0.035,7.238599832123099e-48,NZCOVID,EpiFilter
0.036000000000000004,3.0815378075077508e-46,NZCOVID,EpiFilter
0.037,1.0800543191376212e-44,NZCOVID,EpiFilter
0.038,3.1588405985047197e-43,NZCOVID,EpiFilter
0.039,7.805138096929261e-42,NZCOVID,EpiFilter
0.04,1.6479302122513406e-40,NZCOVID,EpiFilter
0.041,3.0042891919169536e-39,NZCOVID,EpiFilter
0.041999999999999996,4.774935472778726e-38,NZCOVID,EpiFilter
