t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,movingaverage,model,fit
1,NaN,5,5.005,0.25,9.75,15.5,1.0,30.0,7459.999999999999,373.0,14547.0,4968.168688424895,Raw,EpiEstim,Marginalised
2,NaN,4,5.005,0.25,9.75,15.5,1.0,30.0,7459.999999999999,373.0,14547.0,4969.168018228528,Raw,EpiEstim,Marginalised
3,NaN,16,5.005,0.25,9.75,15.5,1.0,30.0,7459.999999999999,373.0,14547.0,4957.184907176989,Raw,EpiEstim,Marginalised
4,NaN,20,2.964063309979922,2.15,3.98,15.82699023125387,2.0,30.0,15.268444799964474,6.0,27.0,3.155931508711675,Raw,EpiEstim,Marginalised
5,NaN,27,3.2017464239908855,2.48,4.079999999999999,15.881871267596964,2.0,30.0,21.982700554115997,11.0,35.0,3.230448740324647,Raw,EpiEstim,Marginalised
6,NaN,36,3.374446414690218,2.7399999999999998,4.140000000000001,15.798160395983617,2.0,30.0,31.066674357800625,19.0,46.0,3.170935272519671,Raw,EpiEstim,Marginalised
7,NaN,38,3.244274321930933,2.7300000000000004,3.82,16.517859229520173,2.0,30.0,42.90007185761114,28.0,60.0,2.8582403140958412,Raw,EpiEstim,Marginalised
8,NaN,60,3.3388494465932466,2.8800000000000003,3.83,16.670241910608624,2.0,30.0,54.42941268946639,38.0,73.0,3.5380526966845713,Raw,EpiEstim,Marginalised
9,NaN,66,3.246089082199089,2.86,3.6599999999999997,17.10177856126463,3.0,30.0,73.53044420000691,55.0,94.0,4.350926714283292,Raw,EpiEstim,Marginalised
10,NaN,79,3.1120201078890286,2.76,3.4599999999999995,17.116786339069545,2.0,30.0,92.66600278546927,71.0,116.0,8.41182822797974,Raw,EpiEstim,Marginalised
11,NaN,77,2.625332020076829,2.1100000000000003,3.09,8.91046461292743,2.0,29.0,107.61815922696381,78.0,137.0,22.3754869502382,Raw,EpiEstim,Marginalised
12,NaN,78,1.9024714415792139,1.6099999999999999,2.23,2.037089562495187,2.0,3.0,97.0229568557101,70.0,128.0,11.787396182239458,Raw,EpiEstim,Marginalised
13,NaN,54,1.3247521342387951,1.11,1.5599999999999998,2.0004601140830025,2.0,2.0,94.39647174016261,68.0,124.0,32.28379141567822,Raw,EpiEstim,Marginalised
14,NaN,63,1.0067168495198469,0.83,1.2,2.000121266524227,2.0,2.0,62.530209792026454,41.0,87.0,2.7252723931463696,Raw,EpiEstim,Marginalised
15,NaN,58,0.9394975851619491,0.7799999999999999,1.11,2.0001382246648554,2.0,2.0,68.84368502693061,47.0,94.0,6.217110859033733,Raw,EpiEstim,Marginalised
16,NaN,44,0.7546612120940642,0.62,0.9099999999999999,2.0000427449949187,2.0,2.0,60.306169292814936,40.0,83.0,10.572412801601832,Raw,EpiEstim,Marginalised
17,NaN,28,0.5334833560312464,0.42,0.66,2.0000035490554584,2.0,2.0,43.99642795113931,27.0,64.0,10.93263881591636,Raw,EpiEstim,Marginalised
18,NaN,22,0.3875195713830517,0.29000000000000004,0.5,2.000000986814796,2.0,2.0,27.25298853292544,14.0,43.0,2.933312764762406,Raw,EpiEstim,Marginalised
19,NaN,24,0.3857472328664966,0.28,0.5,2.0000012666252855,2.0,2.0,20.81447863898745,10.0,34.0,2.26364309657866,Raw,EpiEstim,Marginalised
20,NaN,15,0.36774604387632526,0.26,0.49,2.0000018068326804,2.0,2.0,21.81779762819526,11.0,36.0,3.930762001725011,Raw,EpiEstim,Marginalised
21,NaN,26,0.4479947800549713,0.32,0.59,2.000003168669309,2.0,2.0,13.476387016477672,5.0,24.0,9.814487380974185,Raw,EpiEstim,Marginalised
22,NaN,13,0.5097347624539992,0.36,0.6799999999999999,2.000010341457413,2.0,2.0,22.201805410079537,11.0,36.0,5.873641824434127,Raw,EpiEstim,Marginalised
23,NaN,14,0.4319974237710888,0.29000000000000004,0.61,2.000014192270749,2.0,2.0,11.482246087520432,4.0,22.0,1.7695808982862684,Raw,EpiEstim,Marginalised
24,NaN,10,0.46334155676399147,0.3,0.66,2.000018135321407,2.0,2.0,12.523198180098715,4.0,23.0,1.4673150306360003,Raw,EpiEstim,Marginalised
25,NaN,22,0.7185197692131513,0.49,0.9800000000000001,2.000010044105645,2.0,2.0,9.412144138937489,3.0,19.0,10.294307570138638,Raw,EpiEstim,Marginalised
26,NaN,15,0.9463196251794395,0.67,1.27,2.000015238967457,2.0,2.0,20.203049665192292,10.0,34.0,2.8755288411144377,Raw,EpiEstim,Marginalised
27,NaN,40,1.5499508226024252,1.17,1.98,2.000006447404456,2.0,2.0,14.460762728555725,6.0,26.0,22.609358613069517,Raw,EpiEstim,Marginalised
28,NaN,14,1.6157374566387457,1.22,2.07,2.0003791330032734,2.0,2.0,39.419924081497676,24.0,58.0,20.476377163728646,Raw,EpiEstim,Marginalised
29,NaN,10,0.7277658493150416,0.4700000000000001,1.0399999999999998,2.000002760501229,2.0,2.0,15.515678013557592,6.0,28.0,3.0692787685957903,Raw,EpiEstim,Marginalised
30,NaN,16,0.7414315825590385,0.49,1.05,2.000004165899401,2.0,2.0,11.674848557780868,4.0,23.0,2.825370614264987,Raw,EpiEstim,Marginalised
31,NaN,10,0.6991306783232197,0.45999999999999996,0.99,2.0000074382869406,2.0,2.0,17.645467586790012,7.0,31.0,4.6239761542474085,Raw,EpiEstim,Marginalised
32,NaN,21,0.8123122842664957,0.56,1.12,2.0000175594673637,2.0,2.0,10.808956665161478,3.0,21.0,7.756534315814056,Raw,EpiEstim,Marginalised
33,NaN,23,1.1809933132941746,0.8599999999999999,1.5499999999999998,2.0000061484519653,2.0,2.0,20.499693603416535,10.0,34.0,1.9978420020716314,Raw,EpiEstim,Marginalised
34,NaN,24,1.3459249496719536,0.99,1.7499999999999998,2.000005818190516,2.0,2.0,22.068539160646388,11.0,36.0,1.8516220270296986,Raw,EpiEstim,Marginalised
35,NaN,11,1.0634785905854272,0.7400000000000001,1.44,2.0000059487013417,2.0,2.0,23.963185320410048,12.0,39.0,9.17037818987451,Raw,EpiEstim,Marginalised
