eta,p,movingaverage,model
0.001,0.0,Raw,EpiFilter
0.002,0.0,Raw,EpiFilter
0.003,0.0,Raw,EpiFilter
0.004,0.0,Raw,EpiFilter
0.005,0.0,Raw,EpiFilter
0.006,0.0,Raw,EpiFilter
0.007,0.0,Raw,EpiFilter
0.008,0.0,Raw,EpiFilter
0.009,1.761355e-317,Raw,EpiFilter
0.01,6.094772020380396e-304,Raw,EpiFilter
0.011,2.710919959700103e-292,Raw,EpiFilter
0.012,4.4972493966093566e-282,Raw,EpiFilter
0.013,5.997305684174183e-273,Raw,EpiFilter
0.014,1.123053440538022e-264,Raw,EpiFilter
0.015,4.4433659868971024e-257,Raw,EpiFilter
0.016,5.0231494872722144e-250,Raw,EpiFilter
0.017,2.0319107050871407e-243,Raw,EpiFilter
0.018000000000000002,3.4834149331504917e-237,Raw,EpiFilter
0.019,2.878097374657675e-231,Raw,EpiFilter
0.02,1.264825925242459e-225,Raw,EpiFilter
0.021,3.191407123411796e-220,Raw,EpiFilter
0.022000000000000002,4.909006837969979e-215,Raw,EpiFilter
0.023,4.827584822627122e-210,Raw,EpiFilter
0.024,3.153635583026094e-205,Raw,EpiFilter
0.025,1.4118721138642768e-200,Raw,EpiFilter
0.026000000000000002,4.445339211049293e-196,Raw,EpiFilter
0.027,1.0059486564428246e-191,Raw,EpiFilter
0.028,1.6667313524726264e-187,Raw,EpiFilter
0.028999999999999998,2.0547650252102344e-183,Raw,EpiFilter
0.030000000000000002,1.9116873284096566e-179,Raw,EpiFilter
0.031,1.3593182895365231e-175,Raw,EpiFilter
0.032,7.472067503063604e-172,Raw,EpiFilter
0.033,3.208616946854785e-168,Raw,EpiFilter
0.033999999999999996,1.0867982017144212e-164,Raw,EpiFilter
0.035,2.9298432147098155e-161,Raw,EpiFilter
0.036000000000000004,6.339784236373871e-158,Raw,EpiFilter
0.037,1.1099522472885564e-154,Raw,EpiFilter
0.038,1.5842400289897386e-151,Raw,EpiFilter
0.039,1.8567559428773913e-148,Raw,EpiFilter
0.04,1.7992672662845152e-145,Raw,EpiFilter
0.041,1.4511287187995576e-142,Raw,EpiFilter
0.041999999999999996,9.80236312923027e-140,Raw,EpiFilter
0.043000000000000003,5.579644027543338e-137,Raw,EpiFilter
0.044000000000000004,2.6919509580786124e-134,Raw,EpiFilter
0.045,1.1070067323872319e-131,Raw,EpiFilter
0.046,3.9012299294266336e-129,Raw,EpiFilter
0.047,1.1843470338490865e-126,Raw,EpiFilter
0.048,3.112837294785135e-124,Raw,EpiFilter
0.049,7.117490543359515e-122,Raw,EpiFilter
0.049999999999999996,1.4223469867172487e-119,Raw,EpiFilter
0.051000000000000004,2.4953556301425953e-117,Raw,EpiFilter
0.052000000000000005,3.8598919961973156e-115,Raw,EpiFilter
0.053,5.286050109474164e-113,Raw,EpiFilter
0.054,6.434737811330853e-111,Raw,EpiFilter
0.055,6.98938063854156e-109,Raw,EpiFilter
0.056,6.799181097073269e-107,Raw,EpiFilter
