k,p,simulation,model
1,1.9970323765295117e-39,NZCOVID,EpiEstim
2,0.9957142220353818,NZCOVID,EpiEstim
3,0.00428577795097909,NZCOVID,EpiEstim
4,1.3639089063287392e-11,NZCOVID,EpiEstim
5,1.3231883966913502e-20,NZCOVID,EpiEstim
6,2.1279941288039158e-29,NZCOVID,EpiEstim
7,5.043999905098023e-39,NZCOVID,EpiEstim
8,4.554456871463188e-48,NZCOVID,EpiEstim
9,1.0936436212278559e-57,NZCOVID,EpiEstim
10,4.780853824651706e-67,NZCOVID,EpiEstim
11,3.973480955534951e-77,NZCOVID,EpiEstim
12,3.7826134040196753e-87,NZCOVID,EpiEstim
13,3.8270941000232006e-96,NZCOVID,EpiEstim
14,1.730821031873793e-105,NZCOVID,EpiEstim
15,3.5569553540259e-114,NZCOVID,EpiEstim
16,2.462640282671293e-122,NZCOVID,EpiEstim
17,2.0053639114721193e-130,NZCOVID,EpiEstim
18,9.128779321795518e-138,NZCOVID,EpiEstim
19,1.0916352518174382e-144,NZCOVID,EpiEstim
20,2.1832893008443478e-150,NZCOVID,EpiEstim
21,4.271454705585685e-155,NZCOVID,EpiEstim
22,2.7188070305143486e-159,NZCOVID,EpiEstim
23,5.430967135675072e-163,NZCOVID,EpiEstim
24,1.0993850839125374e-166,NZCOVID,EpiEstim
25,6.828460760827523e-170,NZCOVID,EpiEstim
26,1.8202702986977317e-172,NZCOVID,EpiEstim
27,1.2610118302135704e-174,NZCOVID,EpiEstim
28,2.0272484438184623e-176,NZCOVID,EpiEstim
29,9.857278196897176e-178,NZCOVID,EpiEstim
30,8.326260284029512e-179,NZCOVID,EpiEstim
1,1.0,flu,EpiEstim
2,0.0,flu,EpiEstim
3,0.0,flu,EpiEstim
4,0.0,flu,EpiEstim
5,0.0,flu,EpiEstim
6,0.0,flu,EpiEstim
7,0.0,flu,EpiEstim
8,0.0,flu,EpiEstim
9,0.0,flu,EpiEstim
10,0.0,flu,EpiEstim
11,0.0,flu,EpiEstim
12,0.0,flu,EpiEstim
13,0.0,flu,EpiEstim
14,0.0,flu,EpiEstim
15,0.0,flu,EpiEstim
16,0.0,flu,EpiEstim
17,0.0,flu,EpiEstim
18,0.0,flu,EpiEstim
19,0.0,flu,EpiEstim
20,0.0,flu,EpiEstim
21,0.0,flu,EpiEstim
22,0.0,flu,EpiEstim
23,0.0,flu,EpiEstim
24,0.0,flu,EpiEstim
25,0.0,flu,EpiEstim
26,0.0,flu,EpiEstim
27,0.0,flu,EpiEstim
28,0.0,flu,EpiEstim
