t,swll,k,simulation
1,0.0,1,Random walk
2,0.0,1,Random walk
3,-6.366963941596509,1,Random walk
4,-6.369764288028236,1,Random walk
5,-6.343228816722251,1,Random walk
6,-6.366338087727041,1,Random walk
7,-6.347808073131333,1,Random walk
8,-6.360771120811835,1,Random walk
9,-6.385510973478354,1,Random walk
10,-6.3632639363920305,1,Random walk
11,-6.365589486665774,1,Random walk
12,-6.367150438712802,1,Random walk
13,-6.386321671542717,1,Random walk
14,-6.387659972048102,1,Random walk
15,-6.375219364342215,1,Random walk
16,-6.4351277789045795,1,Random walk
17,-6.438334867896241,1,Random walk
18,-6.473505650558089,1,Random walk
19,-6.549737127466322,1,Random walk
20,-6.554352542472957,1,Random walk
21,-6.636791951932754,1,Random walk
22,-6.66842902984612,1,Random walk
23,-6.728390621870862,1,Random walk
24,-6.733179967019371,1,Random walk
25,-6.788656424611116,1,Random walk
26,-6.846477106267866,1,Random walk
27,-6.829844621129087,1,Random walk
28,-6.863667323704149,1,Random walk
29,-6.8744045281117465,1,Random walk
30,-6.868771054112949,1,Random walk
31,-6.947132096872068,1,Random walk
32,-6.9339448231712275,1,Random walk
33,-6.951672189521599,1,Random walk
34,-6.95658352603369,1,Random walk
35,-6.933982362720796,1,Random walk
36,-6.955768800536379,1,Random walk
37,-6.95424259916129,1,Random walk
38,-7.007074936326305,1,Random walk
39,-6.980683629696976,1,Random walk
40,-7.025832874681733,1,Random walk
41,-7.054868410311194,1,Random walk
42,-7.082113239478659,1,Random walk
43,-7.156772896566988,1,Random walk
44,-7.22388547819447,1,Random walk
45,-7.258484852050756,1,Random walk
46,-7.298435368925073,1,Random walk
47,-7.325412896548226,1,Random walk
48,-7.344300062698645,1,Random walk
49,-7.41629707227726,1,Random walk
50,-7.413371187896997,1,Random walk
51,-7.480655945815066,1,Random walk
52,-7.477582363410434,1,Random walk
53,-7.485948385372151,1,Random walk
54,-7.510646365074583,1,Random walk
55,-7.531032838085935,1,Random walk
56,-7.566678363957937,1,Random walk
57,-7.588961960350275,1,Random walk
58,-7.639749662778922,1,Random walk
59,-7.646340253193218,1,Random walk
60,-7.661587572907216,1,Random walk
61,-7.669129952038304,1,Random walk
62,-7.678061408205471,1,Random walk
63,-7.684423421209843,1,Random walk
64,-7.637108143515217,1,Random walk
65,-7.66076052676647,1,Random walk
66,-7.616626691868294,1,Random walk
67,-7.580363014510512,1,Random walk
68,-7.570303890926315,1,Random walk
69,-7.511243315649173,1,Random walk
70,-7.480639165167883,1,Random walk
71,-7.421226602048042,1,Random walk
72,-7.358457821819572,1,Random walk
73,-7.290495009880399,1,Random walk
74,-7.217785160433161,1,Random walk
75,-7.131985626724973,1,Random walk
76,-7.059626264336027,1,Random walk
77,-7.012560383433804,1,Random walk
78,-6.892626108030509,1,Random walk
79,-6.836297482609856,1,Random walk
80,-6.810205596475573,1,Random walk
81,-6.717894442339571,1,Random walk
82,-6.652322955585696,1,Random walk
83,-6.562771498508198,1,Random walk
84,-6.481656974926262,1,Random walk
85,-6.398125714595421,1,Random walk
86,-6.2808802828118875,1,Random walk
87,-6.234615646985295,1,Random walk
88,-6.099663405786526,1,Random walk
89,-6.017527067714404,1,Random walk
90,-5.925320501363553,1,Random walk
91,-5.815940922617553,1,Random walk
92,-5.737832810654776,1,Random walk
93,-5.6315340963964235,1,Random walk
94,-5.582958335053508,1,Random walk
95,-5.4835948502734855,1,Random walk
96,-5.435354468108869,1,Random walk
97,-5.356641414350543,1,Random walk
98,-5.292457920923395,1,Random walk
99,-5.296601676891486,1,Random walk
100,-5.257773093066076,1,Random walk
1,0.0,2,Random walk
2,0.0,2,Random walk
3,-3.5905249995995803,2,Random walk
4,-3.5823148158576714,2,Random walk
5,-4.069739005073529,2,Random walk
6,-4.2300116598126465,2,Random walk
7,-3.6935269415371295,2,Random walk
8,-3.6842932843220524,2,Random walk
9,-3.879747370469204,2,Random walk
10,-4.211103200107374,2,Random walk
11,-3.5537028160482578,2,Random walk
12,-3.5276906124636866,2,Random walk
13,-3.829893056613116,2,Random walk
14,-3.579036587216251,2,Random walk
15,-3.736274518843288,2,Random walk
16,-5.412708542885838,2,Random walk
17,-3.731429522721726,2,Random walk
18,-3.765747887574747,2,Random walk
19,-4.78296996504946,2,Random walk
20,-4.56523193670327,2,Random walk
21,-4.461836797354607,2,Random walk
22,-4.085514747163728,2,Random walk
23,-3.884128198117253,2,Random walk
24,-5.3615113784923665,2,Random walk
25,-3.966078903549743,2,Random walk
26,-4.224930064986694,2,Random walk
27,-6.221412945989755,2,Random walk
28,-3.855769335191411,2,Random walk
29,-3.9022209199140434,2,Random walk
30,-4.151459361406097,2,Random walk
31,-8.810388169884703,2,Random walk
32,-4.651681966442368,2,Random walk
33,-3.906362290322477,2,Random walk
34,-4.140083196501507,2,Random walk
35,-5.541368154274636,2,Random walk
36,-4.241578939129795,2,Random walk
37,-3.8230896460092936,2,Random walk
38,-7.196382145216546,2,Random walk
39,-5.09009909948071,2,Random walk
40,-4.945148587288884,2,Random walk
41,-4.044377754037555,2,Random walk
42,-4.004869501614451,2,Random walk
43,-5.498575885696084,2,Random walk
44,-4.486708530152555,2,Random walk
45,-4.7334736057788405,2,Random walk
46,-4.662967798302816,2,Random walk
47,-5.139060019535634,2,Random walk
48,-4.965459899436837,2,Random walk
49,-6.646503207417425,2,Random walk
50,-5.647763009392918,2,Random walk
51,-6.673633968519539,2,Random walk
52,-5.848191132821455,2,Random walk
53,-4.810933251924098,2,Random walk
54,-4.1800988729148685,2,Random walk
55,-4.213522124737324,2,Random walk
56,-5.006855914273899,2,Random walk
57,-4.251039378885821,2,Random walk
58,-5.338574732485313,2,Random walk
59,-5.522818767508056,2,Random walk
60,-4.931390445473539,2,Random walk
61,-5.068180948338863,2,Random walk
62,-4.360319229738366,2,Random walk
63,-4.194473791511143,2,Random walk
64,-10.462810820210677,2,Random walk
65,-8.275231508901015,2,Random walk
66,-5.844054355192441,2,Random walk
67,-4.441218561021003,2,Random walk
68,-5.389544694751464,2,Random walk
69,-5.85576862588772,2,Random walk
70,-4.102983603444841,2,Random walk
71,-4.81392922203969,2,Random walk
72,-4.48940205777879,2,Random walk
73,-4.086037726213959,2,Random walk
74,-3.7336890933350446,2,Random walk
75,-3.821219986911217,2,Random walk
76,-4.096405879262278,2,Random walk
77,-7.217392122539451,2,Random walk
78,-6.912643401528385,2,Random walk
79,-4.412071000338443,2,Random walk
80,-6.8478807089373674,2,Random walk
81,-4.9678960747860685,2,Random walk
82,-3.720712292879341,2,Random walk
83,-5.188305118710929,2,Random walk
84,-3.5411362899429264,2,Random walk
85,-3.129284898556861,2,Random walk
86,-3.93468211190833,2,Random walk
87,-8.80344117856103,2,Random walk
88,-4.082012400249582,2,Random walk
89,-3.4561103332999465,2,Random walk
90,-3.074690002802356,2,Random walk
91,-3.2275721141136415,2,Random walk
92,-3.0370301592666706,2,Random walk
93,-3.0507532231624452,2,Random walk
94,-3.9014681616302624,2,Random walk
95,-3.000660268014066,2,Random walk
96,-3.2356540614117293,2,Random walk
97,-2.918183660748099,2,Random walk
98,-2.827558974501791,2,Random walk
99,-3.9429971904649292,2,Random walk
100,-2.972968551653281,2,Random walk
1,0.0,3,Random walk
2,0.0,3,Random walk
3,-18.57231343089842,3,Random walk
4,-3.5243524316288983,3,Random walk
5,-3.936544516409299,3,Random walk
6,-3.6839340256406103,3,Random walk
7,-3.3765598643213366,3,Random walk
8,-3.4491385308538156,3,Random walk
9,-4.143830923068009,3,Random walk
10,-3.796973118244722,3,Random walk
11,-3.8017001790553593,3,Random walk
12,-3.3947052839897083,3,Random walk
13,-3.77701062852492,3,Random walk
14,-3.5117644227549363,3,Random walk
15,-3.6538921528882895,3,Random walk
