t,swll,eta,simulation
1,0.0,0.05,Random walk
2,-6.873284030007523,0.05,Random walk
3,-3.6392235559622486,0.05,Random walk
4,-3.5864826983748688,0.05,Random walk
5,-3.8144243526717756,0.05,Random walk
6,-3.7467190448465075,0.05,Random walk
7,-3.4310400306470163,0.05,Random walk
8,-3.5693738357136873,0.05,Random walk
9,-4.159703014246939,0.05,Random walk
10,-3.589226107531573,0.05,Random walk
11,-3.587142826848824,0.05,Random walk
12,-3.491626495690638,0.05,Random walk
13,-3.6517483735568312,0.05,Random walk
14,-3.536277831702516,0.05,Random walk
15,-3.5376136273026377,0.05,Random walk
16,-5.241258580670875,0.05,Random walk
17,-3.7922802617389113,0.05,Random walk
18,-3.974303698488228,0.05,Random walk
19,-5.963756691031907,0.05,Random walk
20,-3.652760023794222,0.05,Random walk
21,-4.443348466310243,0.05,Random walk
22,-3.741962924196084,0.05,Random walk
23,-3.805636182720406,0.05,Random walk
24,-5.2762192171447335,0.05,Random walk
25,-3.8910153729311845,0.05,Random walk
26,-4.034131465170287,0.05,Random walk
27,-5.650982328256842,0.05,Random walk
28,-4.120986926992761,0.05,Random walk
29,-4.143161113979264,0.05,Random walk
30,-4.630913320779807,0.05,Random walk
31,-7.148467998910554,0.05,Random walk
32,-3.851472127272996,0.05,Random walk
33,-3.86518642963476,0.05,Random walk
34,-4.162519958062452,0.05,Random walk
35,-6.4299109323027634,0.05,Random walk
36,-3.8390109835607156,0.05,Random walk
37,-3.8023446527298397,0.05,Random walk
38,-7.372442203726242,0.05,Random walk
39,-3.8750112785725657,0.05,Random walk
40,-4.8394275225149554,0.05,Random walk
41,-4.530858524816807,0.05,Random walk
42,-4.0924049550820225,0.05,Random walk
43,-6.022221803425482,0.05,Random walk
44,-5.855683830744987,0.05,Random walk
45,-4.151317738383373,0.05,Random walk
46,-4.723998347859851,0.05,Random walk
47,-5.933220478976783,0.05,Random walk
48,-6.4312126001846845,0.05,Random walk
49,-4.874093757805808,0.05,Random walk
50,-4.807516762278261,0.05,Random walk
51,-5.554282769210574,0.05,Random walk
52,-4.7244225734061,0.05,Random walk
53,-5.358994066536195,0.05,Random walk
54,-4.301972837510661,0.05,Random walk
55,-4.246106122423543,0.05,Random walk
56,-5.056276361124045,0.05,Random walk
57,-4.5568429272109405,0.05,Random walk
58,-5.739220894368187,0.05,Random walk
59,-4.630303476687326,0.05,Random walk
60,-5.2709689760452125,0.05,Random walk
61,-5.7935365271566,0.05,Random walk
62,-5.021346481835721,0.05,Random walk
63,-4.4640831906703715,0.05,Random walk
64,-9.836954778409945,0.05,Random walk
65,-5.031724543029263,0.05,Random walk
66,-4.87750389894273,0.05,Random walk
67,-4.958251771338605,0.05,Random walk
68,-4.627068536829302,0.05,Random walk
69,-4.979447316669767,0.05,Random walk
70,-4.0548689207048785,0.05,Random walk
71,-4.7689851762191156,0.05,Random walk
72,-5.1777578049385555,0.05,Random walk
73,-4.88833323928675,0.05,Random walk
74,-4.232658785236297,0.05,Random walk
75,-4.2415655803287855,0.05,Random walk
76,-3.7288246875677777,0.05,Random walk
77,-8.018953515573337,0.05,Random walk
78,-4.174687811288197,0.05,Random walk
79,-3.822985899748319,0.05,Random walk
80,-8.353310560838038,0.05,Random walk
81,-3.5081846895695827,0.05,Random walk
82,-3.7170551274935217,0.05,Random walk
83,-6.175662161155,0.05,Random walk
84,-5.586101440685434,0.05,Random walk
85,-3.9026365885212697,0.05,Random walk
86,-5.266733631380397,0.05,Random walk
87,-6.036072878405932,0.05,Random walk
88,-2.936694802619632,0.05,Random walk
89,-3.39631956875955,0.05,Random walk
90,-3.2756306957365378,0.05,Random walk
91,-2.82915042116916,0.05,Random walk
92,-2.8630424677628916,0.05,Random walk
93,-2.7797787785366364,0.05,Random walk
94,-3.7231716958774204,0.05,Random walk
95,-2.742704011103062,0.05,Random walk
96,-3.5543002685941105,0.05,Random walk
97,-2.8205111037340265,0.05,Random walk
98,-2.6747419280325344,0.05,Random walk
99,-4.846616636013192,0.05,Random walk
100,-3.9577152877128805,0.05,Random walk
1,0.0,0.06,Random walk
2,-6.8732840300075235,0.06,Random walk
3,-3.660578205363498,0.06,Random walk
4,-3.6123799128867375,0.06,Random walk
5,-3.837607784758856,0.06,Random walk
6,-3.7910389334148142,0.06,Random walk
