t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,simulation,model,fit
1,1.05075579797784,109,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1866.1916905928972,Standard,EpiEstim,Marginalised
2,1.15900937123493,123,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1852.7426110455237,Standard,EpiEstim,Marginalised
3,1.27904687521183,132,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1844.1317345043988,Standard,EpiEstim,Marginalised
4,1.25432592311175,130,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1846.042898159187,Standard,EpiEstim,Marginalised
5,1.21901276609247,132,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1844.1317345043988,Standard,EpiEstim,Marginalised
6,1.31982461556305,138,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1838.406350278761,Standard,EpiEstim,Marginalised
7,1.33426741549276,144,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1832.6931261612133,Standard,EpiEstim,Marginalised
8,1.33722605619131,154,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1823.1981084277224,Standard,EpiEstim,Marginalised
9,1.38122648595819,166,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1811.8486742105295,Standard,EpiEstim,Marginalised
10,1.46980665176169,179,5.005,0.25,9.75,15.5,1.0,30.0,2960.0,148.0,5772.0,1799.6083431853647,Standard,EpiEstim,Marginalised
11,1.25954778340346,154,1.207605005391676,1.11,1.3,13.402807798616845,2.0,29.0,177.24179121238376,145.0,207.0,13.076081646594627,Standard,EpiEstim,Marginalised
12,1.3479105093351,203,1.2502569923369913,1.1600000000000001,1.32,16.705122871448975,3.0,30.0,179.99531983683048,150.0,209.0,15.78472680953215,Standard,EpiEstim,Marginalised
