t,TrueRt,Cases,mean,lower,upper,mean_param,lower_param,upper_param,mean_cases,lower_cases,upper_cases,crps,simulation,model,fit
1,1.05075579797784,109,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1866.1916905928972,Random walk,EpiEstim,SI Uncertainty
2,1.15900937123493,123,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1852.7426110455237,Random walk,EpiEstim,SI Uncertainty
3,1.27904687521183,132,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1844.1317345043988,Random walk,EpiEstim,SI Uncertainty
4,1.25432592311175,130,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1846.042898159187,Random walk,EpiEstim,SI Uncertainty
5,1.21901276609247,132,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1844.1317345043988,Random walk,EpiEstim,SI Uncertainty
6,1.31982461556305,138,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1838.406350278761,Random walk,EpiEstim,SI Uncertainty
7,1.33426741549276,144,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1832.6931261612133,Random walk,EpiEstim,SI Uncertainty
8,1.33722605619131,154,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1823.1981084277224,Random walk,EpiEstim,SI Uncertainty
9,1.38122648595819,166,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1811.8486742105295,Random walk,EpiEstim,SI Uncertainty
10,1.46980665176169,179,5.005000000000003,0.25024048096192386,9.759759519038077,15.500000000000014,1,30,2959.9999999999973,148,5772,1799.6083431853647,Random walk,EpiEstim,SI Uncertainty
11,1.25954778340346,154,1.2057671799060892,1.1111022044088177,1.2912825651302604,13.350683114172304,2,29,177.45789069705447,145,208,13.203467856892091,Random walk,EpiEstim,SI Uncertainty
12,1.3479105093351,203,1.2484463155031045,1.1711623246492986,1.3113026052104209,16.679300258209793,3,30,180.09475329055505,150,209,15.695582306636464,Random walk,EpiEstim,SI Uncertainty
13,1.35394452271656,184,1.2425533754939215,1.1511422845691384,1.3113026052104209,16.68657496692638,4,30,189.88897191710413,161,220,4.387225549561864,Random walk,EpiEstim,SI Uncertainty
14,1.43794293409087,228,1.2762110636670587,1.211202404809619,1.3713627254509018,17.03861894284995,3,30,197.71845152179887,168,229,21.982956002201423,Random walk,EpiEstim,SI Uncertainty
15,1.32395180390399,194,1.257397311902173,1.1911823647294588,1.331322645290581,17.83594183090596,3,30,210.22667285039176,180,242,9.66039289810222,Random walk,EpiEstim,SI Uncertainty
16,1.29365707384879,204,1.2462310280573088,1.1711623246492986,1.3113026052104209,18.036681703407485,4,30,216.20413948643466,185,249,7.175439810786315,Random walk,EpiEstim,SI Uncertainty
17,1.19042944124553,211,1.2349693670729922,1.1711623246492986,1.2912825651302604,17.784103601952303,4,30,221.2412036671214,190,254,6.222107715680796,Random walk,EpiEstim,SI Uncertainty
18,1.02019672710724,212,1.222697973822167,1.1511422845691384,1.2912825651302604,17.056327549322912,3,30,226.16966037828374,195,259,8.354681526995616,Random walk,EpiEstim,SI Uncertainty
19,1.13748865883978,197,1.1886832993018697,1.0910821643286572,1.2512424849699397,13.80023145584433,3,29,228.34558070613807,195,262,22.2322070835025,Random walk,EpiEstim,SI Uncertainty
20,1.2926471263587,230,1.1938887550148423,1.1111022044088177,1.2512424849699397,14.659539237555457,3,29,229.32777150048508,194,263,4.0292562885995,Random walk,EpiEstim,SI Uncertainty
21,1.24790806219295,244,1.2050056348554068,1.131122244488978,1.2512424849699397,15.901591711389226,3,29,235.9780505735968,203,269,5.429485455230402,Random walk,EpiEstim,SI Uncertainty
22,1.26992577182373,223,1.1927492705657117,1.1111022044088177,1.2512424849699397,14.788022649303091,3,29,242.94381805306776,210,277,12.322503966385174,Random walk,EpiEstim,SI Uncertainty
23,1.37300234856143,276,1.2124887071101411,1.1711623246492986,1.2512424849699397,16.355877579851857,4,29,248.18555697478197,215,282,19.039406084824677,Random walk,EpiEstim,SI Uncertainty
24,1.26157750118038,285,1.2250424722341773,1.1711623246492986,1.2712625250501002,16.625435963780646,3,30,259.3833868848849,227,293,17.077128396820843,Random walk,EpiEstim,SI Uncertainty
25,1.24239833405177,296,1.241764772504686,1.1911823647294588,1.3513426853707415,15.938737980523184,3,30,274.1642490113561,239,313,13.96737777027257,Random walk,EpiEstim,SI Uncertainty
26,1.15133041435367,281,1.2322896763992275,1.1911823647294588,1.2912825651302604,17.03075822049202,4,30,286.9828690893121,252,325,4.928628609766038,Random walk,EpiEstim,SI Uncertainty
27,0.937442694472502,202,1.1610355433693005,0.9709619238476953,1.2312224448897795,13.814648205101424,2,27,296.17458368635283,258,336,83.07210992401717,Random walk,EpiEstim,SI Uncertainty
28,0.80466476571653,215,0.8713033553154225,0.7707615230460922,0.9909819639278556,2.1186390537305093,2,3,211.1533516158348,169,267,6.2165528318152194,Random walk,EpiEstim,SI Uncertainty
29,0.83997253619983,204,0.8549385092964689,0.7707615230460922,0.9309218436873746,2.1402926729745073,2,3,214.96965826451924,176,257,6.857256362758721,Random walk,EpiEstim,SI Uncertainty
30,0.770540542072998,177,0.7858838229917089,0.7107014028056112,0.8708617234468937,2.082148798153198,2,3,202.77514767238608,165,243,16.186415485425208,Random walk,EpiEstim,SI Uncertainty
31,0.876339512072316,221,0.8332926959493505,0.7507414829659319,0.9109018036072144,2.1835083496905563,2,3,175.62484858713492,140,213,34.93789063002857,Random walk,EpiEstim,SI Uncertainty
32,0.935836791908507,229,0.9617345510221453,0.8708617234468937,1.0510420841683366,2.03409824917705,2,3,216.09153814950793,176,259,8.151590694849395,Random walk,EpiEstim,SI Uncertainty
33,0.946752658260147,208,0.9538515633793708,0.8708617234468937,1.0510420841683366,2.046149987961826,2,3,226.14269160111888,186,269,10.547817189780982,Random walk,EpiEstim,SI Uncertainty
34,0.938354461845845,189,0.8801408938756178,0.7907815631262524,0.9709619238476953,2.0269685487277007,2,3,206.32799695908466,168,247,10.08859796772351,Random walk,EpiEstim,SI Uncertainty
35,0.922556578053314,189,0.850517200881288,0.7707615230460922,0.9309218436873746,2.0300166391656664,2,3,186.8388565098699,151,226,4.628337766638133,Random walk,EpiEstim,SI Uncertainty
36,0.972493464862293,218,0.9314301626646706,0.8508416833667334,1.0310220440881765,2.018143017762132,2,2,186.04531557746168,150,225,22.082233338899865,Random walk,EpiEstim,SI Uncertainty
37,0.875822968174508,187,0.941644763566607,0.8508416833667334,1.0310220440881765,2.0437917853628123,2,3,215.19264242990727,176,257,17.901441322696183,Random walk,EpiEstim,SI Uncertainty
38,0.848120494406299,183,0.8750959193914096,0.7907815631262524,0.9709619238476953,2.033745673254839,2,3,185.61601128837245,149,225,4.596273898849486,Random walk,EpiEstim,SI Uncertainty
39,0.649925608997018,131,0.753797541615965,0.6706613226452905,0.830821643286573,2.0106518621574474,2,2,180.75071680844323,145,219,39.11819995011569,Random walk,EpiEstim,SI Uncertainty
40,0.658019222189197,138,0.6623400432721556,0.5905811623246493,0.7507414829659319,2.010372408246608,2,2,127.97706915454026,98,161,6.389151884918666,Random walk,EpiEstim,SI Uncertainty
41,0.736653639942764,132,0.688567029672051,0.6106012024048095,0.7707615230460922,2.011250532258153,2,2,133.15921635021792,103,166,3.774907211533254,Random walk,EpiEstim,SI Uncertainty
42,0.534615273272704,89,0.5898670791304381,0.510501002004008,0.6706613226452905,2.0047152811763933,2,2,126.76096260518486,97,159,28.940608286791562,Random walk,EpiEstim,SI Uncertainty
43,0.528510247902397,79,0.4739661075238009,0.41040080160320636,0.5505410821643286,2.000869753486816,2,2,84.53217346804897,61,111,3.7781919707954823,Random walk,EpiEstim,SI Uncertainty
44,0.508145468302673,88,0.5045128241686259,0.4304208416833667,0.5905811623246493,2.0010187897901446,2,2,74.07002715732048,52,99,8.854892671591752,Random walk,EpiEstim,SI Uncertainty
45,0.44697277599999,69,0.5129752339156592,0.4304208416833667,0.5905811623246493,2.0017689451451184,2,2,81.99967547103893,59,108,7.642926245180838,Random walk,EpiEstim,SI Uncertainty
46,0.514484786149741,89,0.5611737834977351,0.4704609218436873,0.6506412825651302,2.0032637288163744,2,2,64.1134503560555,44,87,18.819540330784886,Random walk,EpiEstim,SI Uncertainty
47,0.687666652758221,63,0.5867082874102799,0.49048096192384766,0.6906813627254509,2.01131967751515,2,2,82.7584056143842,59,109,13.097331139547954,Random walk,EpiEstim,SI Uncertainty
48,0.68915182037088,79,0.5961079113166755,0.510501002004008,0.6906813627254509,2.033629427890727,2,3,59.14135541571567,40,81,14.217993874168473,Random walk,EpiEstim,SI Uncertainty
49,0.724661142715747,55,0.604337146069851,0.510501002004008,0.7107014028056112,2.0985754194059822,2,3,73.07046580219011,51,98,11.751768308529533,Random walk,EpiEstim,SI Uncertainty
50,0.840263024138111,71,0.6233868580448343,0.5305210420841683,0.7307214428857716,2.2554590471784817,2,3,53.886173396633225,35,75,11.767651248828667,Random walk,EpiEstim,SI Uncertainty
51,0.976407115736378,106,0.930312642499906,0.7907815631262524,1.071062124248497,2.000802743058756,2,2,67.04481295393354,46,91,32.556645508280276,Random walk,EpiEstim,SI Uncertainty
52,0.809572465850976,67,0.9580976150867295,0.8108016032064127,1.1111022044088177,2.0138539657777645,2,2,102.65113255416294,76,132,27.585902919752098,Random walk,EpiEstim,SI Uncertainty
53,0.735767795852321,61,0.7362031966684349,0.6106012024048095,0.8708617234468937,2.002052205559753,2,2,65.7629274441288,45,89,3.290126818192964,Random walk,EpiEstim,SI Uncertainty
54,0.682530545189007,77,0.8204373507183071,0.6906813627254509,0.9709619238476953,2.0021384425632185,2,2,59.631509081815835,40,82,11.949983720403532,Random walk,EpiEstim,SI Uncertainty
55,0.645923232664183,48,0.7685182998261817,0.6506412825651302,0.9109018036072144,2.007844554773285,2,2,75.49856216154504,53,101,20.666743741364346,Random walk,EpiEstim,SI Uncertainty
56,0.653307826746064,49,0.6194586488075531,0.510501002004008,0.7507414829659319,2.00484922696473,2,2,47.00599418812733,30,67,2.491405881687937,Random walk,EpiEstim,SI Uncertainty
57,0.654546787631544,57,0.7067081962546983,0.570561122244489,0.8508416833667334,2.003692677420881,2,2,47.43949540126114,30,68,5.991036945912537,Random walk,EpiEstim,SI Uncertainty
58,0.740303004888021,64,0.8461284322619826,0.7107014028056112,1.011002004008016,2.0016928200051107,2,2,55.13107791779657,36,77,5.506273902957816,Random walk,EpiEstim,SI Uncertainty
59,0.629911413056697,46,0.8031463179840392,0.6706613226452905,0.950941883767535,2.0029434582372705,2,2,62.47594726104326,42,86,10.719220028526077,Random walk,EpiEstim,SI Uncertainty
60,0.66478464188997,39,0.6466250858381727,0.510501002004008,0.7907815631262524,2.0011734723518715,2,2,45.02912811194743,28,65,3.4818305149487507,Random walk,EpiEstim,SI Uncertainty
61,0.599627547992097,45,0.6683467527190299,0.5305210420841683,0.8108016032064127,2.001547011140706,2,2,37.93310937842634,23,56,4.428862413088419,Random walk,EpiEstim,SI Uncertainty
62,0.623908199446909,25,0.5871088984958921,0.45044088176352703,0.7307214428857716,2.0027023927759875,2,2,43.567623073676494,27,63,13.449525231696665,Random walk,EpiEstim,SI Uncertainty
63,0.6598634125902,29,0.4825138000943171,0.3703607214428858,0.6106012024048095,2.0036591929617877,2,2,24.265654909985322,12,39,3.0637453308840064,Random walk,EpiEstim,SI Uncertainty
64,0.717115543950159,36,0.6211386988401035,0.49048096192384766,0.7707615230460922,2.0016126871892843,2,2,27.703319642934094,15,43,5.340935228233125,Random walk,EpiEstim,SI Uncertainty
65,0.925592364770454,49,0.8707578195590555,0.6906813627254509,1.071062124248497,2.0002207867114095,2,2,34.35672546241778,20,52,10.443408108546631,Random walk,EpiEstim,SI Uncertainty
66,0.987107738116638,53,1.1047631889431746,0.9109018036072144,1.331322645290581,2.0000744618226083,2,2,47.619625236223136,30,68,3.6027907364889318,Random walk,EpiEstim,SI Uncertainty
67,1.02435827657331,39,1.028144630142206,0.830821643286573,1.2512424849699397,2.0001061142606495,2,2,52.9300705202995,34,74,8.771460190591657,Random walk,EpiEstim,SI Uncertainty
68,0.873799137534769,42,0.9192295982870069,0.7307214428857716,1.131122244488978,2.000120228930927,2,2,39.33961698885854,23,58,2.4923938944591324,Random walk,EpiEstim,SI Uncertainty
69,0.909444023549459,33,0.8615873681228443,0.6706613226452905,1.071062124248497,2.000151053935069,2,2,42.367296053697814,26,62,5.4223528385170745,Random walk,EpiEstim,SI Uncertainty
70,0.976222168201091,44,0.8975993271539069,0.7107014028056112,1.1111022044088177,2.000260210488737,2,2,33.18381222487964,19,50,7.156888127976407,Random walk,EpiEstim,SI Uncertainty
71,0.996468476611257,48,1.0880409396174524,0.8708617234468937,1.3113026052104209,2.000144434594251,2,2,44.197149731625586,27,64,2.940158635227178,Random walk,EpiEstim,SI Uncertainty
72,1.09900209489661,44,1.0954287696181735,0.8908817635270541,1.331322645290581,2.000179594478118,2,2,48.76111215470484,31,69,3.03001129898642,Random walk,EpiEstim,SI Uncertainty
73,0.943010942561359,38,0.9756744914964175,0.7707615230460922,1.1911823647294588,2.0001552583741775,2,2,44.97821271058158,28,65,3.950293606923484,Random walk,EpiEstim,SI Uncertainty
74,0.976883460044748,47,1.0100000067458728,0.8108016032064127,1.2312224448897795,2.000216805894509,2,2,38.72623870971523,23,57,5.191555620171915,Random walk,EpiEstim,SI Uncertainty
75,0.961959830272741,43,1.0682764580003257,0.8508416833667334,1.2912825651302604,2.0002787034235174,2,2,47.924859432558584,30,68,3.075056733510875,Random walk,EpiEstim,SI Uncertainty
76,1.0091507222337,36,0.9359660054903082,0.7507414829659319,1.1511422845691384,2.0002237728452825,2,2,43.95634022492905,27,64,4.49635682621511,Random walk,EpiEstim,SI Uncertainty
77,0.935757419047802,40,0.9019643544736571,0.7107014028056112,1.1111022044088177,2.000284380299496,2,2,36.603124076880114,21,55,2.6692188880185244,Random walk,EpiEstim,SI Uncertainty
78,0.913152537129962,35,0.8969265443785457,0.7107014028056112,1.1111022044088177,2.0003615549794467,2,2,40.4457782925176,24,59,3.171841152955113,Random walk,EpiEstim,SI Uncertainty
79,1.04529031057593,46,0.9795181899891823,0.7707615230460922,1.211202404809619,2.0004654184017574,2,2,35.28271891234604,20,53,7.023179109230483,Random walk,EpiEstim,SI Uncertainty
80,1.01211333437453,37,1.0138093468688478,0.8108016032064127,1.2512424849699397,2.00080940821384,2,2,46.52207924805238,29,67,5.489263964553623,Random walk,EpiEstim,SI Uncertainty
81,1.19935431101699,41,0.9595054011538838,0.7507414829659319,1.1911823647294588,2.0010312662577645,2,2,37.55058547012412,22,56,2.7041775103827432,Random walk,EpiEstim,SI Uncertainty
82,1.38549521020649,78,1.4663101967136312,1.211202404809619,1.7317234468937874,2.0000364908847112,2,2,41.58461260911821,25,61,31.304133015607995,Random walk,EpiEstim,SI Uncertainty
83,1.09715233869553,39,1.4122054946257614,1.1711623246492986,1.6716633266533067,2.0026648900112516,2,2,82.23906249844131,58,109,35.92241100485272,Random walk,EpiEstim,SI Uncertainty
84,1.0743656787913,55,1.0955811903168229,0.8908817635270541,1.331322645290581,2.006815664784112,2,2,41.276506391850425,25,61,9.327546823406884,Random walk,EpiEstim,SI Uncertainty
85,1.02816103456437,58,1.2707341907365093,1.0510420841683366,1.5115030060120243,2.005032335231425,2,2,57.485766659199115,38,80,2.5521735137053825,Random walk,EpiEstim,SI Uncertainty
86,1.16846520553051,56,1.2407727300576368,1.0310220440881765,1.4714629258517036,2.005844469415653,2,2,60.81625501950822,41,84,3.251870902273712,Random walk,EpiEstim,SI Uncertainty
87,1.11991873158349,59,1.210217095963292,0.9909819639278556,1.431422845691383,2.006714830523545,2,2,58.66049790022825,39,81,2.562072708080483,Random walk,EpiEstim,SI Uncertainty
88,1.23624808384336,62,1.2321912930487469,1.0310220440881765,1.4514428857715431,2.0076627021152045,2,2,61.68059094965379,41,85,2.62424092633941,Random walk,EpiEstim,SI Uncertainty
89,1.20476686479896,56,1.1640431380278025,0.9709619238476953,1.3913827655310622,2.0085352504669194,2,2,64.82544241770066,44,89,5.028370751662332,Random walk,EpiEstim,SI Uncertainty
